2025-09-04 11:54:22,902 - INFO - Starting download of OneMap data for 820000 postal codes
2025-09-04 11:54:22,910 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-09-04 11:54:33,757 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-09-04 11:54:42,417 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-09-04 11:54:46,213 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-09-04 11:55:05,930 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-09-04 11:55:28,955 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-09-04 11:55:37,308 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-09-04 11:55:40,574 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-09-04 11:55:50,055 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-09-04 11:56:04,325 - INFO - Processing progress: 10000/820000 postal codes, current records: 83
2025-09-04 11:56:14,819 - INFO - Processing progress: 11000/820000 postal codes, current records: 95
2025-09-04 11:56:28,183 - INFO - Processing progress: 12000/820000 postal codes, current records: 95
2025-09-04 11:56:37,850 - INFO - Processing progress: 13000/820000 postal codes, current records: 95
2025-09-04 11:56:41,232 - INFO - Processing progress: 14000/820000 postal codes, current records: 95
2025-09-04 11:56:49,237 - INFO - Processing progress: 15000/820000 postal codes, current records: 95
2025-09-04 11:56:52,447 - INFO - Processing progress: 16000/820000 postal codes, current records: 95
2025-09-04 11:56:55,733 - INFO - Processing progress: 17000/820000 postal codes, current records: 95
2025-09-04 11:57:05,757 - INFO - Processing progress: 18000/820000 postal codes, current records: 95
2025-09-04 11:57:16,058 - INFO - Processing progress: 19000/820000 postal codes, current records: 95
2025-09-04 11:57:26,487 - INFO - Processing progress: 20000/820000 postal codes, current records: 95
2025-09-04 11:57:35,005 - INFO - Processing progress: 21000/820000 postal codes, current records: 98
2025-09-04 11:57:44,030 - INFO - Processing progress: 22000/820000 postal codes, current records: 98
2025-09-04 11:57:54,145 - INFO - Processing progress: 23000/820000 postal codes, current records: 98
