2025-11-15 01:44:10,775 - INFO - Starting download of OneMap data for 820000 postal codes
2025-11-15 01:44:10,789 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-11-15 01:44:13,858 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-11-15 01:44:23,410 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-11-15 01:44:25,859 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-11-15 01:44:35,357 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-11-15 01:44:37,853 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-11-15 01:44:47,532 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-11-15 01:44:56,794 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-11-15 01:45:04,154 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-11-15 01:45:07,177 - INFO - Processing progress: 10000/820000 postal codes, current records: 96
2025-11-15 01:45:16,387 - INFO - Processing progress: 11000/820000 postal codes, current records: 108
2025-11-15 01:45:24,398 - INFO - Processing progress: 12000/820000 postal codes, current records: 108
2025-11-15 01:45:26,858 - INFO - Processing progress: 13000/820000 postal codes, current records: 108
2025-11-15 01:45:36,616 - INFO - Processing progress: 14000/820000 postal codes, current records: 108
2025-11-15 01:45:44,619 - INFO - Processing progress: 15000/820000 postal codes, current records: 108
2025-11-15 01:45:47,071 - INFO - Processing progress: 16000/820000 postal codes, current records: 108
2025-11-15 01:45:54,674 - INFO - Processing progress: 17000/820000 postal codes, current records: 108
2025-11-15 01:46:02,039 - INFO - Processing progress: 18000/820000 postal codes, current records: 108
2025-11-15 01:46:11,499 - INFO - Processing progress: 19000/820000 postal codes, current records: 108
2025-11-15 01:46:21,101 - INFO - Processing progress: 20000/820000 postal codes, current records: 108
2025-11-15 01:46:23,763 - INFO - Processing progress: 21000/820000 postal codes, current records: 111
2025-11-15 01:46:26,162 - INFO - Processing progress: 22000/820000 postal codes, current records: 111
2025-11-15 01:46:28,672 - INFO - Processing progress: 23000/820000 postal codes, current records: 111
2025-11-15 01:46:31,162 - INFO - Processing progress: 24000/820000 postal codes, current records: 111
2025-11-15 01:46:33,620 - INFO - Processing progress: 25000/820000 postal codes, current records: 111
2025-11-15 01:46:42,158 - INFO - Processing progress: 26000/820000 postal codes, current records: 111
2025-11-15 01:46:49,713 - INFO - Processing progress: 27000/820000 postal codes, current records: 111
2025-11-15 01:46:52,182 - INFO - Processing progress: 28000/820000 postal codes, current records: 111
2025-11-15 01:47:01,683 - INFO - Processing progress: 29000/820000 postal codes, current records: 111
2025-11-15 01:47:04,427 - INFO - Processing progress: 30000/820000 postal codes, current records: 136
2025-11-15 01:48:05,976 - INFO - Processing progress: 31000/820000 postal codes, current records: 168
2025-11-15 01:48:08,948 - INFO - Processing progress: 32000/820000 postal codes, current records: 168
2025-11-15 01:48:11,443 - INFO - Processing progress: 33000/820000 postal codes, current records: 168
2025-11-15 01:48:13,993 - INFO - Processing progress: 34000/820000 postal codes, current records: 168
2025-11-15 01:48:16,483 - INFO - Processing progress: 35000/820000 postal codes, current records: 168
2025-11-15 01:48:25,517 - INFO - Processing progress: 36000/820000 postal codes, current records: 168
2025-11-15 01:48:32,879 - INFO - Processing progress: 37000/820000 postal codes, current records: 168
2025-11-15 01:48:35,420 - INFO - Processing progress: 38000/820000 postal codes, current records: 168
2025-11-15 01:48:37,879 - INFO - Processing progress: 39000/820000 postal codes, current records: 168
2025-11-15 01:48:40,796 - INFO - Processing progress: 40000/820000 postal codes, current records: 290
2025-11-15 01:48:50,479 - INFO - Processing progress: 41000/820000 postal codes, current records: 759
2025-11-15 01:49:00,184 - INFO - Processing progress: 42000/820000 postal codes, current records: 774
2025-11-15 01:49:02,879 - INFO - Processing progress: 43000/820000 postal codes, current records: 779
2025-11-15 01:49:05,319 - INFO - Processing progress: 44000/820000 postal codes, current records: 780
2025-11-15 01:49:14,909 - INFO - Processing progress: 45000/820000 postal codes, current records: 780
2025-11-15 01:49:17,449 - INFO - Processing progress: 46000/820000 postal codes, current records: 780
2025-11-15 01:49:25,868 - INFO - Processing progress: 47000/820000 postal codes, current records: 780
2025-11-15 01:49:28,396 - INFO - Processing progress: 48000/820000 postal codes, current records: 780
2025-11-15 01:49:37,899 - INFO - Processing progress: 49000/820000 postal codes, current records: 780
2025-11-15 01:49:41,297 - INFO - Processing progress: 50000/820000 postal codes, current records: 1402
2025-11-15 01:49:51,633 - INFO - Processing progress: 51000/820000 postal codes, current records: 1960
2025-11-15 01:50:00,240 - INFO - Processing progress: 52000/820000 postal codes, current records: 1960
2025-11-15 01:50:03,170 - INFO - Processing progress: 53000/820000 postal codes, current records: 1960
2025-11-15 01:50:12,700 - INFO - Processing progress: 54000/820000 postal codes, current records: 1960
2025-11-15 01:50:22,429 - INFO - Processing progress: 55000/820000 postal codes, current records: 1960
2025-11-15 01:50:25,486 - INFO - Processing progress: 56000/820000 postal codes, current records: 1960
2025-11-15 01:50:28,006 - INFO - Processing progress: 57000/820000 postal codes, current records: 1960
2025-11-15 01:50:30,555 - INFO - Processing progress: 58000/820000 postal codes, current records: 1960
2025-11-15 01:50:38,112 - INFO - Processing progress: 59000/820000 postal codes, current records: 1960
2025-11-15 01:50:47,646 - INFO - Processing progress: 60000/820000 postal codes, current records: 2229
2025-11-15 01:50:50,938 - INFO - Processing progress: 61000/820000 postal codes, current records: 2728
2025-11-15 01:50:59,034 - INFO - Processing progress: 62000/820000 postal codes, current records: 2728
2025-11-15 01:51:01,627 - INFO - Processing progress: 63000/820000 postal codes, current records: 2728
2025-11-15 01:51:04,221 - INFO - Processing progress: 64000/820000 postal codes, current records: 2728
2025-11-15 01:51:12,919 - INFO - Processing progress: 65000/820000 postal codes, current records: 2728
2025-11-15 01:51:15,447 - INFO - Processing progress: 66000/820000 postal codes, current records: 2728
2025-11-15 01:51:17,909 - INFO - Processing progress: 67000/820000 postal codes, current records: 2728
2025-11-15 01:51:26,506 - INFO - Processing progress: 68000/820000 postal codes, current records: 2728
2025-11-15 01:51:34,388 - INFO - Processing progress: 69000/820000 postal codes, current records: 2728
2025-11-15 01:51:37,200 - INFO - Processing progress: 70000/820000 postal codes, current records: 2792
2025-11-15 01:51:46,175 - INFO - Processing progress: 71000/820000 postal codes, current records: 2917
2025-11-15 01:51:55,748 - INFO - Processing progress: 72000/820000 postal codes, current records: 2950
2025-11-15 01:52:05,406 - INFO - Processing progress: 73000/820000 postal codes, current records: 2961
2025-11-15 01:52:07,959 - INFO - Processing progress: 74000/820000 postal codes, current records: 2970
2025-11-15 01:52:10,467 - INFO - Processing progress: 75000/820000 postal codes, current records: 2971
2025-11-15 01:52:19,615 - INFO - Processing progress: 76000/820000 postal codes, current records: 2971
2025-11-15 01:52:29,356 - INFO - Processing progress: 77000/820000 postal codes, current records: 2980
2025-11-15 01:52:31,806 - INFO - Processing progress: 78000/820000 postal codes, current records: 2980
2025-11-15 01:52:34,281 - INFO - Processing progress: 79000/820000 postal codes, current records: 2980
2025-11-15 01:52:44,540 - INFO - Processing progress: 80000/820000 postal codes, current records: 3569
