2025-10-15 01:43:13,396 - INFO - Starting download of OneMap data for 820000 postal codes
2025-10-15 01:43:13,404 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-10-15 01:43:22,589 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-10-15 01:43:25,765 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-10-15 01:43:29,359 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-10-15 01:43:37,633 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-10-15 01:43:41,516 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-10-15 01:43:44,748 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-10-15 01:43:48,441 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-10-15 01:43:58,962 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-10-15 01:44:08,176 - INFO - Processing progress: 10000/820000 postal codes, current records: 84
2025-10-15 01:44:18,462 - INFO - Processing progress: 11000/820000 postal codes, current records: 96
2025-10-15 01:44:26,462 - INFO - Processing progress: 12000/820000 postal codes, current records: 96
2025-10-15 01:44:35,291 - INFO - Processing progress: 13000/820000 postal codes, current records: 96
2025-10-15 01:44:38,748 - INFO - Processing progress: 14000/820000 postal codes, current records: 96
2025-10-15 01:44:47,258 - INFO - Processing progress: 15000/820000 postal codes, current records: 96
2025-10-15 01:44:56,279 - INFO - Processing progress: 16000/820000 postal codes, current records: 96
2025-10-15 01:44:59,697 - INFO - Processing progress: 17000/820000 postal codes, current records: 96
2025-10-15 01:45:08,511 - INFO - Processing progress: 18000/820000 postal codes, current records: 96
2025-10-15 01:45:18,753 - INFO - Processing progress: 19000/820000 postal codes, current records: 96
2025-10-15 01:45:22,000 - INFO - Processing progress: 20000/820000 postal codes, current records: 96
2025-10-15 01:45:25,457 - INFO - Processing progress: 21000/820000 postal codes, current records: 99
2025-10-15 01:45:28,669 - INFO - Processing progress: 22000/820000 postal codes, current records: 99
2025-10-15 01:45:38,400 - INFO - Processing progress: 23000/820000 postal codes, current records: 99
2025-10-15 01:45:42,071 - INFO - Processing progress: 24000/820000 postal codes, current records: 99
2025-10-15 01:45:45,253 - INFO - Processing progress: 25000/820000 postal codes, current records: 99
2025-10-15 01:45:48,629 - INFO - Processing progress: 26000/820000 postal codes, current records: 99
2025-10-15 01:45:51,832 - INFO - Processing progress: 27000/820000 postal codes, current records: 99
2025-10-15 01:45:55,647 - INFO - Processing progress: 28000/820000 postal codes, current records: 99
2025-10-15 01:46:03,802 - INFO - Processing progress: 29000/820000 postal codes, current records: 99
2025-10-15 01:46:13,986 - INFO - Processing progress: 30000/820000 postal codes, current records: 124
2025-10-15 01:46:18,999 - INFO - Processing progress: 31000/820000 postal codes, current records: 156
2025-10-15 01:46:29,145 - INFO - Processing progress: 32000/820000 postal codes, current records: 156
2025-10-15 01:46:32,458 - INFO - Processing progress: 33000/820000 postal codes, current records: 156
2025-10-15 01:46:36,759 - INFO - Processing progress: 34000/820000 postal codes, current records: 156
2025-10-15 01:46:40,109 - INFO - Processing progress: 35000/820000 postal codes, current records: 156
2025-10-15 01:46:43,296 - INFO - Processing progress: 36000/820000 postal codes, current records: 156
2025-10-15 01:46:52,702 - INFO - Processing progress: 37000/820000 postal codes, current records: 156
2025-10-15 01:47:00,163 - INFO - Processing progress: 38000/820000 postal codes, current records: 156
2025-10-15 01:47:08,701 - INFO - Processing progress: 39000/820000 postal codes, current records: 156
2025-10-15 01:47:18,464 - INFO - Processing progress: 40000/820000 postal codes, current records: 277
2025-10-15 01:47:23,055 - INFO - Processing progress: 41000/820000 postal codes, current records: 746
2025-10-15 01:47:33,355 - INFO - Processing progress: 42000/820000 postal codes, current records: 761
2025-10-15 01:47:36,567 - INFO - Processing progress: 43000/820000 postal codes, current records: 766
2025-10-15 01:47:45,834 - INFO - Processing progress: 44000/820000 postal codes, current records: 767
2025-10-15 01:47:56,183 - INFO - Processing progress: 45000/820000 postal codes, current records: 767
2025-10-15 01:48:06,176 - INFO - Processing progress: 46000/820000 postal codes, current records: 767
2025-10-15 01:48:09,803 - INFO - Processing progress: 47000/820000 postal codes, current records: 767
2025-10-15 01:48:18,395 - INFO - Processing progress: 48000/820000 postal codes, current records: 767
2025-10-15 01:48:21,837 - INFO - Processing progress: 49000/820000 postal codes, current records: 767
2025-10-15 01:48:39,564 - INFO - Processing progress: 50000/820000 postal codes, current records: 1389
2025-10-15 01:48:59,347 - INFO - Processing progress: 51000/820000 postal codes, current records: 1947
2025-10-15 01:49:08,705 - INFO - Processing progress: 52000/820000 postal codes, current records: 1947
2025-10-15 01:49:18,945 - INFO - Processing progress: 53000/820000 postal codes, current records: 1947
2025-10-15 01:49:29,248 - INFO - Processing progress: 54000/820000 postal codes, current records: 1947
2025-10-15 01:49:37,892 - INFO - Processing progress: 55000/820000 postal codes, current records: 1947
2025-10-15 01:49:41,137 - INFO - Processing progress: 56000/820000 postal codes, current records: 1947
2025-10-15 01:49:44,301 - INFO - Processing progress: 57000/820000 postal codes, current records: 1947
2025-10-15 01:49:51,708 - INFO - Processing progress: 58000/820000 postal codes, current records: 1947
2025-10-15 01:50:00,363 - INFO - Processing progress: 59000/820000 postal codes, current records: 1947
2025-10-15 01:50:10,777 - INFO - Processing progress: 60000/820000 postal codes, current records: 2219
2025-10-15 01:50:19,206 - INFO - Processing progress: 61000/820000 postal codes, current records: 2718
2025-10-15 01:50:22,399 - INFO - Processing progress: 62000/820000 postal codes, current records: 2718
2025-10-15 01:50:32,028 - INFO - Processing progress: 63000/820000 postal codes, current records: 2718
2025-10-15 01:50:35,276 - INFO - Processing progress: 64000/820000 postal codes, current records: 2718
2025-10-15 01:50:43,884 - INFO - Processing progress: 65000/820000 postal codes, current records: 2718
2025-10-15 01:50:54,105 - INFO - Processing progress: 66000/820000 postal codes, current records: 2718
2025-10-15 01:50:57,280 - INFO - Processing progress: 67000/820000 postal codes, current records: 2718
2025-10-15 01:51:00,593 - INFO - Processing progress: 68000/820000 postal codes, current records: 2718
2025-10-15 01:51:04,103 - INFO - Processing progress: 69000/820000 postal codes, current records: 2718
2025-10-15 01:51:07,656 - INFO - Processing progress: 70000/820000 postal codes, current records: 2782
2025-10-15 01:51:18,229 - INFO - Processing progress: 71000/820000 postal codes, current records: 2907
2025-10-15 01:51:27,287 - INFO - Processing progress: 72000/820000 postal codes, current records: 2940
2025-10-15 01:51:35,783 - INFO - Processing progress: 73000/820000 postal codes, current records: 2951
2025-10-15 01:51:45,831 - INFO - Processing progress: 74000/820000 postal codes, current records: 2960
2025-10-15 01:51:56,000 - INFO - Processing progress: 75000/820000 postal codes, current records: 2961
2025-10-15 01:51:59,923 - INFO - Processing progress: 76000/820000 postal codes, current records: 2961
2025-10-15 01:52:08,378 - INFO - Processing progress: 77000/820000 postal codes, current records: 2970
2025-10-15 01:52:11,622 - INFO - Processing progress: 78000/820000 postal codes, current records: 2970
2025-10-15 01:52:14,867 - INFO - Processing progress: 79000/820000 postal codes, current records: 2970
2025-10-15 01:52:24,737 - INFO - Processing progress: 80000/820000 postal codes, current records: 3559
2025-10-15 01:52:35,198 - INFO - Processing progress: 81000/820000 postal codes, current records: 4213
2025-10-15 01:52:43,834 - INFO - Processing progress: 82000/820000 postal codes, current records: 4281
