2026-02-15 02:46:23,606 - INFO - Starting download of OneMap data for 820000 postal codes
2026-02-15 02:46:23,615 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2026-02-15 02:46:33,674 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2026-02-15 02:46:43,843 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2026-02-15 02:46:51,337 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2026-02-15 02:47:01,121 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2026-02-15 02:47:10,603 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2026-02-15 02:47:20,138 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2026-02-15 02:47:23,139 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2026-02-15 02:47:26,237 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2026-02-15 02:47:35,512 - INFO - Processing progress: 10000/820000 postal codes, current records: 98
2026-02-15 02:47:45,674 - INFO - Processing progress: 11000/820000 postal codes, current records: 110
2026-02-15 02:47:53,540 - INFO - Processing progress: 12000/820000 postal codes, current records: 110
2026-02-15 02:48:03,477 - INFO - Processing progress: 13000/820000 postal codes, current records: 110
2026-02-15 02:48:13,577 - INFO - Processing progress: 14000/820000 postal codes, current records: 110
2026-02-15 02:48:23,694 - INFO - Processing progress: 15000/820000 postal codes, current records: 110
2026-02-15 02:48:33,549 - INFO - Processing progress: 16000/820000 postal codes, current records: 110
2026-02-15 02:48:41,548 - INFO - Processing progress: 17000/820000 postal codes, current records: 110
2026-02-15 02:48:51,529 - INFO - Processing progress: 18000/820000 postal codes, current records: 110
2026-02-15 02:48:54,525 - INFO - Processing progress: 19000/820000 postal codes, current records: 110
2026-02-15 02:48:57,515 - INFO - Processing progress: 20000/820000 postal codes, current records: 110
2026-02-15 02:49:04,904 - INFO - Processing progress: 21000/820000 postal codes, current records: 113
2026-02-15 02:49:07,892 - INFO - Processing progress: 22000/820000 postal codes, current records: 113
2026-02-15 02:49:17,831 - INFO - Processing progress: 23000/820000 postal codes, current records: 113
2026-02-15 02:49:27,881 - INFO - Processing progress: 24000/820000 postal codes, current records: 113
2026-02-15 02:49:37,993 - INFO - Processing progress: 25000/820000 postal codes, current records: 113
2026-02-15 02:49:45,422 - INFO - Processing progress: 26000/820000 postal codes, current records: 113
2026-02-15 02:49:55,591 - INFO - Processing progress: 27000/820000 postal codes, current records: 113
2026-02-15 02:49:58,715 - INFO - Processing progress: 28000/820000 postal codes, current records: 113
2026-02-15 02:50:09,031 - INFO - Processing progress: 29000/820000 postal codes, current records: 113
2026-02-15 02:50:19,467 - INFO - Processing progress: 30000/820000 postal codes, current records: 138
2026-02-15 02:50:22,672 - INFO - Processing progress: 31000/820000 postal codes, current records: 171
2026-02-15 02:50:25,652 - INFO - Processing progress: 32000/820000 postal codes, current records: 171
2026-02-15 02:50:28,690 - INFO - Processing progress: 33000/820000 postal codes, current records: 171
2026-02-15 02:50:31,695 - INFO - Processing progress: 34000/820000 postal codes, current records: 171
2026-02-15 02:50:41,170 - INFO - Processing progress: 35000/820000 postal codes, current records: 171
2026-02-15 02:50:51,273 - INFO - Processing progress: 36000/820000 postal codes, current records: 171
2026-02-15 02:51:00,811 - INFO - Processing progress: 37000/820000 postal codes, current records: 171
2026-02-15 02:51:04,003 - INFO - Processing progress: 38000/820000 postal codes, current records: 171
2026-02-15 02:51:13,994 - INFO - Processing progress: 39000/820000 postal codes, current records: 171
2026-02-15 02:51:24,579 - INFO - Processing progress: 40000/820000 postal codes, current records: 291
2026-02-15 02:51:28,383 - INFO - Processing progress: 41000/820000 postal codes, current records: 759
2026-02-15 02:51:31,487 - INFO - Processing progress: 42000/820000 postal codes, current records: 774
2026-02-15 02:51:34,590 - INFO - Processing progress: 43000/820000 postal codes, current records: 779
2026-02-15 02:51:44,642 - INFO - Processing progress: 44000/820000 postal codes, current records: 780
2026-02-15 02:51:54,186 - INFO - Processing progress: 45000/820000 postal codes, current records: 780
2026-02-15 02:52:04,292 - INFO - Processing progress: 46000/820000 postal codes, current records: 780
2026-02-15 02:52:14,276 - INFO - Processing progress: 47000/820000 postal codes, current records: 780
2026-02-15 02:52:17,656 - INFO - Processing progress: 48000/820000 postal codes, current records: 780
2026-02-15 02:52:27,718 - INFO - Processing progress: 49000/820000 postal codes, current records: 780
2026-02-15 02:52:31,800 - INFO - Processing progress: 50000/820000 postal codes, current records: 1397
2026-02-15 02:52:42,173 - INFO - Processing progress: 51000/820000 postal codes, current records: 1955
2026-02-15 02:52:51,973 - INFO - Processing progress: 52000/820000 postal codes, current records: 1955
2026-02-15 02:53:00,194 - INFO - Processing progress: 53000/820000 postal codes, current records: 1955
2026-02-15 02:53:03,379 - INFO - Processing progress: 54000/820000 postal codes, current records: 1955
2026-02-15 02:53:13,225 - INFO - Processing progress: 55000/820000 postal codes, current records: 1955
2026-02-15 02:53:23,210 - INFO - Processing progress: 56000/820000 postal codes, current records: 1955
2026-02-15 02:53:26,217 - INFO - Processing progress: 57000/820000 postal codes, current records: 1955
2026-02-15 02:53:36,390 - INFO - Processing progress: 58000/820000 postal codes, current records: 1955
2026-02-15 02:53:44,719 - INFO - Processing progress: 59000/820000 postal codes, current records: 1955
2026-02-15 02:53:52,440 - INFO - Processing progress: 60000/820000 postal codes, current records: 2223
2026-02-15 02:54:00,944 - INFO - Processing progress: 61000/820000 postal codes, current records: 2722
2026-02-15 02:54:11,524 - INFO - Processing progress: 62000/820000 postal codes, current records: 2722
2026-02-15 02:54:14,526 - INFO - Processing progress: 63000/820000 postal codes, current records: 2722
2026-02-15 02:54:17,531 - INFO - Processing progress: 64000/820000 postal codes, current records: 2722
2026-02-15 02:54:27,586 - INFO - Processing progress: 65000/820000 postal codes, current records: 2722
2026-02-15 02:54:37,956 - INFO - Processing progress: 66000/820000 postal codes, current records: 2722
2026-02-15 02:54:41,159 - INFO - Processing progress: 67000/820000 postal codes, current records: 2722
2026-02-15 02:54:44,147 - INFO - Processing progress: 68000/820000 postal codes, current records: 2722
2026-02-15 02:54:47,110 - INFO - Processing progress: 69000/820000 postal codes, current records: 2722
2026-02-15 02:54:50,477 - INFO - Processing progress: 70000/820000 postal codes, current records: 2786
2026-02-15 02:55:00,651 - INFO - Processing progress: 71000/820000 postal codes, current records: 2911
2026-02-15 02:55:11,127 - INFO - Processing progress: 72000/820000 postal codes, current records: 2944
2026-02-15 02:55:20,970 - INFO - Processing progress: 73000/820000 postal codes, current records: 2956
2026-02-15 02:55:23,940 - INFO - Processing progress: 74000/820000 postal codes, current records: 2964
2026-02-15 02:55:33,961 - INFO - Processing progress: 75000/820000 postal codes, current records: 2965
2026-02-15 02:55:41,710 - INFO - Processing progress: 76000/820000 postal codes, current records: 2965
2026-02-15 02:55:51,751 - INFO - Processing progress: 77000/820000 postal codes, current records: 2974
2026-02-15 02:55:54,886 - INFO - Processing progress: 78000/820000 postal codes, current records: 2974
2026-02-15 02:56:05,066 - INFO - Processing progress: 79000/820000 postal codes, current records: 2974
