2026-03-15 02:53:26,529 - INFO - Starting download of OneMap data for 820000 postal codes
2026-03-15 02:53:26,539 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2026-03-15 02:53:29,114 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2026-03-15 02:53:31,139 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2026-03-15 02:53:33,134 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2026-03-15 02:53:35,137 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2026-03-15 02:53:37,137 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2026-03-15 02:53:39,133 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2026-03-15 02:53:41,139 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2026-03-15 02:53:43,135 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2026-03-15 02:53:45,322 - INFO - Processing progress: 10000/820000 postal codes, current records: 8
2026-03-15 02:53:47,398 - INFO - Processing progress: 11000/820000 postal codes, current records: 11
2026-03-15 02:53:49,857 - INFO - Processing progress: 12000/820000 postal codes, current records: 11
2026-03-15 02:53:51,874 - INFO - Processing progress: 13000/820000 postal codes, current records: 11
2026-03-15 02:53:53,880 - INFO - Processing progress: 14000/820000 postal codes, current records: 11
2026-03-15 02:53:55,895 - INFO - Processing progress: 15000/820000 postal codes, current records: 11
2026-03-15 02:53:57,901 - INFO - Processing progress: 16000/820000 postal codes, current records: 11
2026-03-15 02:53:59,907 - INFO - Processing progress: 17000/820000 postal codes, current records: 11
2026-03-15 02:54:01,950 - INFO - Processing progress: 18000/820000 postal codes, current records: 11
2026-03-15 02:54:10,672 - INFO - Processing progress: 19000/820000 postal codes, current records: 11
2026-03-15 02:54:19,702 - INFO - Processing progress: 20000/820000 postal codes, current records: 11
2026-03-15 02:54:28,591 - INFO - Processing progress: 21000/820000 postal codes, current records: 11
2026-03-15 02:54:36,529 - INFO - Processing progress: 22000/820000 postal codes, current records: 11
2026-03-15 02:54:38,550 - INFO - Processing progress: 23000/820000 postal codes, current records: 11
2026-03-15 02:54:40,568 - INFO - Processing progress: 24000/820000 postal codes, current records: 11
2026-03-15 02:54:42,565 - INFO - Processing progress: 25000/820000 postal codes, current records: 11
2026-03-15 02:54:51,215 - INFO - Processing progress: 26000/820000 postal codes, current records: 11
2026-03-15 02:54:53,204 - INFO - Processing progress: 27000/820000 postal codes, current records: 11
2026-03-15 02:55:01,683 - INFO - Processing progress: 28000/820000 postal codes, current records: 11
2026-03-15 02:55:10,644 - INFO - Processing progress: 29000/820000 postal codes, current records: 11
2026-03-15 02:55:12,868 - INFO - Processing progress: 30000/820000 postal codes, current records: 17
2026-03-15 02:55:14,869 - INFO - Processing progress: 31000/820000 postal codes, current records: 17
2026-03-15 02:55:16,824 - INFO - Processing progress: 32000/820000 postal codes, current records: 17
2026-03-15 02:55:18,815 - INFO - Processing progress: 33000/820000 postal codes, current records: 17
2026-03-15 02:55:27,029 - INFO - Processing progress: 34000/820000 postal codes, current records: 17
2026-03-15 02:55:34,770 - INFO - Processing progress: 35000/820000 postal codes, current records: 17
2026-03-15 02:55:36,752 - INFO - Processing progress: 36000/820000 postal codes, current records: 17
