2025-05-15 09:14:27,448 - INFO - Starting download of OneMap data for 820000 postal codes
2025-05-15 09:14:27,456 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-05-15 09:14:38,740 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-05-15 09:14:48,912 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-05-15 09:14:52,376 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-05-15 09:14:56,586 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-05-15 09:15:06,895 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-05-15 09:15:10,373 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-05-15 09:15:20,387 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-05-15 09:15:30,519 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-05-15 09:15:34,176 - INFO - Processing progress: 10000/820000 postal codes, current records: 82
2025-05-15 09:15:37,536 - INFO - Processing progress: 11000/820000 postal codes, current records: 93
2025-05-15 09:15:40,836 - INFO - Processing progress: 12000/820000 postal codes, current records: 93
2025-05-15 09:15:44,187 - INFO - Processing progress: 13000/820000 postal codes, current records: 93
2025-05-15 09:15:47,602 - INFO - Processing progress: 14000/820000 postal codes, current records: 93
2025-05-15 09:15:57,014 - INFO - Processing progress: 15000/820000 postal codes, current records: 93
2025-05-15 09:16:06,603 - INFO - Processing progress: 16000/820000 postal codes, current records: 93
2025-05-15 09:16:10,220 - INFO - Processing progress: 17000/820000 postal codes, current records: 93
2025-05-15 09:16:13,317 - INFO - Processing progress: 18000/820000 postal codes, current records: 93
2025-05-15 09:16:23,106 - INFO - Processing progress: 19000/820000 postal codes, current records: 93
2025-05-15 09:16:26,159 - INFO - Processing progress: 20000/820000 postal codes, current records: 93
2025-05-15 09:16:29,509 - INFO - Processing progress: 21000/820000 postal codes, current records: 96
2025-05-15 09:16:32,622 - INFO - Processing progress: 22000/820000 postal codes, current records: 96
2025-05-15 09:16:35,773 - INFO - Processing progress: 23000/820000 postal codes, current records: 96
2025-05-15 09:16:45,974 - INFO - Processing progress: 24000/820000 postal codes, current records: 96
2025-05-15 09:16:55,754 - INFO - Processing progress: 25000/820000 postal codes, current records: 96
2025-05-15 09:17:05,035 - INFO - Processing progress: 26000/820000 postal codes, current records: 96
2025-05-15 09:17:15,089 - INFO - Processing progress: 27000/820000 postal codes, current records: 96
2025-05-15 09:17:18,189 - INFO - Processing progress: 28000/820000 postal codes, current records: 96
2025-05-15 09:17:21,153 - INFO - Processing progress: 29000/820000 postal codes, current records: 96
2025-05-15 09:17:31,550 - INFO - Processing progress: 30000/820000 postal codes, current records: 118
2025-05-15 09:17:34,811 - INFO - Processing progress: 31000/820000 postal codes, current records: 148
2025-05-15 09:17:44,210 - INFO - Processing progress: 32000/820000 postal codes, current records: 148
2025-05-15 09:17:47,373 - INFO - Processing progress: 33000/820000 postal codes, current records: 148
2025-05-15 09:17:54,826 - INFO - Processing progress: 34000/820000 postal codes, current records: 148
2025-05-15 09:18:04,928 - INFO - Processing progress: 35000/820000 postal codes, current records: 148
2025-05-15 09:19:05,893 - INFO - Processing progress: 36000/820000 postal codes, current records: 148
2025-05-15 09:19:16,558 - INFO - Processing progress: 37000/820000 postal codes, current records: 148
2025-05-15 09:19:26,337 - INFO - Processing progress: 38000/820000 postal codes, current records: 148
2025-05-15 09:19:29,379 - INFO - Processing progress: 39000/820000 postal codes, current records: 148
2025-05-15 09:19:39,210 - INFO - Processing progress: 40000/820000 postal codes, current records: 268
2025-05-15 09:19:49,329 - INFO - Processing progress: 41000/820000 postal codes, current records: 737
2025-05-15 09:19:58,855 - INFO - Processing progress: 42000/820000 postal codes, current records: 752
2025-05-15 09:20:02,094 - INFO - Processing progress: 43000/820000 postal codes, current records: 757
2025-05-15 09:20:11,523 - INFO - Processing progress: 44000/820000 postal codes, current records: 758
2025-05-15 09:20:19,724 - INFO - Processing progress: 45000/820000 postal codes, current records: 758
2025-05-15 09:20:29,756 - INFO - Processing progress: 46000/820000 postal codes, current records: 758
2025-05-15 09:20:39,439 - INFO - Processing progress: 47000/820000 postal codes, current records: 758
2025-05-15 09:20:48,392 - INFO - Processing progress: 48000/820000 postal codes, current records: 758
2025-05-15 09:20:52,125 - INFO - Processing progress: 49000/820000 postal codes, current records: 758
2025-05-15 09:21:03,150 - INFO - Processing progress: 50000/820000 postal codes, current records: 1379
2025-05-15 09:21:07,343 - INFO - Processing progress: 51000/820000 postal codes, current records: 1943
2025-05-15 09:21:16,429 - INFO - Processing progress: 52000/820000 postal codes, current records: 1943
2025-05-15 09:21:26,678 - INFO - Processing progress: 53000/820000 postal codes, current records: 1943
2025-05-15 09:21:34,027 - INFO - Processing progress: 54000/820000 postal codes, current records: 1943
2025-05-15 09:21:44,069 - INFO - Processing progress: 55000/820000 postal codes, current records: 1943
2025-05-15 09:21:54,187 - INFO - Processing progress: 56000/820000 postal codes, current records: 1943
2025-05-15 09:22:03,346 - INFO - Processing progress: 57000/820000 postal codes, current records: 1943
2025-05-15 09:22:13,499 - INFO - Processing progress: 58000/820000 postal codes, current records: 1943
2025-05-15 09:22:23,613 - INFO - Processing progress: 59000/820000 postal codes, current records: 1943
2025-05-15 09:22:27,323 - INFO - Processing progress: 60000/820000 postal codes, current records: 2215
2025-05-15 09:22:37,931 - INFO - Processing progress: 61000/820000 postal codes, current records: 2714
2025-05-15 09:22:47,933 - INFO - Processing progress: 62000/820000 postal codes, current records: 2714
2025-05-15 09:22:57,810 - INFO - Processing progress: 63000/820000 postal codes, current records: 2714
2025-05-15 09:23:00,989 - INFO - Processing progress: 64000/820000 postal codes, current records: 2714
2025-05-15 09:23:11,053 - INFO - Processing progress: 65000/820000 postal codes, current records: 2714
2025-05-15 09:23:14,073 - INFO - Processing progress: 66000/820000 postal codes, current records: 2714
2025-05-15 09:23:22,816 - INFO - Processing progress: 67000/820000 postal codes, current records: 2714
2025-05-15 09:23:26,321 - INFO - Processing progress: 68000/820000 postal codes, current records: 2714
2025-05-15 09:23:29,261 - INFO - Processing progress: 69000/820000 postal codes, current records: 2714
2025-05-15 09:23:32,903 - INFO - Processing progress: 70000/820000 postal codes, current records: 2778
2025-05-15 09:23:43,262 - INFO - Processing progress: 71000/820000 postal codes, current records: 2901
2025-05-15 09:23:53,436 - INFO - Processing progress: 72000/820000 postal codes, current records: 2934
2025-05-15 09:23:56,581 - INFO - Processing progress: 73000/820000 postal codes, current records: 2945
2025-05-15 09:24:05,707 - INFO - Processing progress: 74000/820000 postal codes, current records: 2954
2025-05-15 09:24:13,968 - INFO - Processing progress: 75000/820000 postal codes, current records: 2955
2025-05-15 09:24:17,082 - INFO - Processing progress: 76000/820000 postal codes, current records: 2955
2025-05-15 09:24:20,603 - INFO - Processing progress: 77000/820000 postal codes, current records: 2964
2025-05-15 09:24:29,184 - INFO - Processing progress: 78000/820000 postal codes, current records: 2964
2025-05-15 09:24:36,878 - INFO - Processing progress: 79000/820000 postal codes, current records: 2964
2025-05-15 09:24:47,753 - INFO - Processing progress: 80000/820000 postal codes, current records: 3553
2025-05-15 09:24:58,954 - INFO - Processing progress: 81000/820000 postal codes, current records: 4209
2025-05-15 09:25:02,717 - INFO - Processing progress: 82000/820000 postal codes, current records: 4277
2025-05-15 09:25:12,721 - INFO - Processing progress: 83000/820000 postal codes, current records: 4286
2025-05-15 09:25:22,838 - INFO - Processing progress: 84000/820000 postal codes, current records: 4287
2025-05-15 09:25:32,944 - INFO - Processing progress: 85000/820000 postal codes, current records: 4287
2025-05-15 09:25:43,385 - INFO - Processing progress: 86000/820000 postal codes, current records: 4287
2025-05-15 09:25:52,831 - INFO - Processing progress: 87000/820000 postal codes, current records: 4287
2025-05-15 09:26:02,593 - INFO - Processing progress: 88000/820000 postal codes, current records: 4287
2025-05-15 09:26:05,875 - INFO - Processing progress: 89000/820000 postal codes, current records: 4297
2025-05-15 09:26:11,279 - INFO - Processing progress: 90000/820000 postal codes, current records: 5004
2025-05-15 09:26:14,943 - INFO - Processing progress: 91000/820000 postal codes, current records: 5222
2025-05-15 09:26:24,742 - INFO - Processing progress: 92000/820000 postal codes, current records: 5282
2025-05-15 09:26:34,701 - INFO - Processing progress: 93000/820000 postal codes, current records: 5307
2025-05-15 09:26:37,743 - INFO - Processing progress: 94000/820000 postal codes, current records: 5325
2025-05-15 09:26:40,882 - INFO - Processing progress: 95000/820000 postal codes, current records: 5334
2025-05-15 09:26:51,276 - INFO - Processing progress: 96000/820000 postal codes, current records: 5335
2025-05-15 09:26:59,588 - INFO - Processing progress: 97000/820000 postal codes, current records: 5335
2025-05-15 09:27:02,756 - INFO - Processing progress: 98000/820000 postal codes, current records: 5335
2025-05-15 09:27:12,887 - INFO - Processing progress: 99000/820000 postal codes, current records: 5335
2025-05-15 09:27:16,376 - INFO - Processing progress: 100000/820000 postal codes, current records: 5354
2025-05-15 09:27:26,723 - INFO - Processing progress: 101000/820000 postal codes, current records: 5474
2025-05-15 09:27:36,733 - INFO - Processing progress: 102000/820000 postal codes, current records: 5501
2025-05-15 09:27:46,943 - INFO - Processing progress: 103000/820000 postal codes, current records: 5503
2025-05-15 09:27:49,948 - INFO - Processing progress: 104000/820000 postal codes, current records: 5504
2025-05-15 09:27:58,018 - INFO - Processing progress: 105000/820000 postal codes, current records: 5504
2025-05-15 09:28:08,134 - INFO - Processing progress: 106000/820000 postal codes, current records: 5504
2025-05-15 09:28:11,323 - INFO - Processing progress: 107000/820000 postal codes, current records: 5504
2025-05-15 09:28:14,345 - INFO - Processing progress: 108000/820000 postal codes, current records: 5504
2025-05-15 09:28:25,931 - INFO - Processing progress: 109000/820000 postal codes, current records: 6030
2025-05-15 09:28:38,638 - INFO - Processing progress: 110000/820000 postal codes, current records: 6713
2025-05-15 09:28:48,342 - INFO - Processing progress: 111000/820000 postal codes, current records: 7349
2025-05-15 09:28:58,817 - INFO - Processing progress: 112000/820000 postal codes, current records: 7611
2025-05-15 09:29:08,183 - INFO - Processing progress: 113000/820000 postal codes, current records: 7657
2025-05-15 09:29:17,033 - INFO - Processing progress: 114000/820000 postal codes, current records: 7670
