2025-07-15 02:01:12,592 - INFO - Starting download of OneMap data for 820000 postal codes
2025-07-15 02:01:12,599 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-07-15 02:01:16,464 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-07-15 02:01:19,853 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-07-15 02:01:23,298 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-07-15 02:01:33,468 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-07-15 02:01:44,086 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-07-15 02:01:47,327 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-07-15 02:01:51,058 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-07-15 02:01:59,054 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-07-15 02:02:03,052 - INFO - Processing progress: 10000/820000 postal codes, current records: 82
2025-07-15 02:02:12,245 - INFO - Processing progress: 11000/820000 postal codes, current records: 94
2025-07-15 02:02:15,479 - INFO - Processing progress: 12000/820000 postal codes, current records: 94
2025-07-15 02:02:18,763 - INFO - Processing progress: 13000/820000 postal codes, current records: 94
2025-07-15 02:02:27,800 - INFO - Processing progress: 14000/820000 postal codes, current records: 94
2025-07-15 02:02:31,058 - INFO - Processing progress: 15000/820000 postal codes, current records: 94
2025-07-15 02:02:41,293 - INFO - Processing progress: 16000/820000 postal codes, current records: 94
2025-07-15 02:02:44,516 - INFO - Processing progress: 17000/820000 postal codes, current records: 94
2025-07-15 02:02:53,265 - INFO - Processing progress: 18000/820000 postal codes, current records: 94
2025-07-15 02:02:56,501 - INFO - Processing progress: 19000/820000 postal codes, current records: 94
2025-07-15 02:03:06,831 - INFO - Processing progress: 20000/820000 postal codes, current records: 94
2025-07-15 02:03:11,095 - INFO - Processing progress: 21000/820000 postal codes, current records: 97
2025-07-15 02:03:14,312 - INFO - Processing progress: 22000/820000 postal codes, current records: 97
2025-07-15 02:03:23,093 - INFO - Processing progress: 23000/820000 postal codes, current records: 97
2025-07-15 02:03:32,277 - INFO - Processing progress: 24000/820000 postal codes, current records: 97
2025-07-15 02:03:35,457 - INFO - Processing progress: 25000/820000 postal codes, current records: 97
2025-07-15 02:03:38,581 - INFO - Processing progress: 26000/820000 postal codes, current records: 97
2025-07-15 02:03:46,764 - INFO - Processing progress: 27000/820000 postal codes, current records: 97
2025-07-15 02:03:49,931 - INFO - Processing progress: 28000/820000 postal codes, current records: 97
2025-07-15 02:04:00,029 - INFO - Processing progress: 29000/820000 postal codes, current records: 97
2025-07-15 02:04:07,980 - INFO - Processing progress: 30000/820000 postal codes, current records: 119
2025-07-15 02:04:11,496 - INFO - Processing progress: 31000/820000 postal codes, current records: 149
2025-07-15 02:04:14,627 - INFO - Processing progress: 32000/820000 postal codes, current records: 149
2025-07-15 02:04:22,031 - INFO - Processing progress: 33000/820000 postal codes, current records: 149
2025-07-15 02:04:31,311 - INFO - Processing progress: 34000/820000 postal codes, current records: 149
2025-07-15 02:04:40,094 - INFO - Processing progress: 35000/820000 postal codes, current records: 149
2025-07-15 02:04:43,433 - INFO - Processing progress: 36000/820000 postal codes, current records: 149
2025-07-15 02:04:48,429 - INFO - Processing progress: 37000/820000 postal codes, current records: 149
2025-07-15 02:04:51,604 - INFO - Processing progress: 38000/820000 postal codes, current records: 149
2025-07-15 02:04:54,773 - INFO - Processing progress: 39000/820000 postal codes, current records: 149
2025-07-15 02:04:58,584 - INFO - Processing progress: 40000/820000 postal codes, current records: 269
2025-07-15 02:05:02,860 - INFO - Processing progress: 41000/820000 postal codes, current records: 738
2025-07-15 02:05:06,201 - INFO - Processing progress: 42000/820000 postal codes, current records: 753
2025-07-15 02:05:15,982 - INFO - Processing progress: 43000/820000 postal codes, current records: 758
2025-07-15 02:05:20,327 - INFO - Processing progress: 44000/820000 postal codes, current records: 759
