2026-04-15 03:17:07,457 - INFO - Starting download of OneMap data for 820000 postal codes
2026-04-15 03:17:07,466 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2026-04-15 03:17:10,762 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2026-04-15 03:17:13,383 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2026-04-15 03:17:16,043 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2026-04-15 03:17:18,912 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2026-04-15 03:17:21,652 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2026-04-15 03:17:24,378 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2026-04-15 03:17:27,216 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2026-04-15 03:17:36,866 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2026-04-15 03:17:46,957 - INFO - Processing progress: 10000/820000 postal codes, current records: 3
2026-04-15 03:17:56,029 - INFO - Processing progress: 11000/820000 postal codes, current records: 3
2026-04-15 03:18:17,938 - INFO - Processing progress: 12000/820000 postal codes, current records: 3
2026-04-15 03:18:28,147 - INFO - Processing progress: 13000/820000 postal codes, current records: 3
2026-04-15 03:18:44,945 - INFO - Processing progress: 14000/820000 postal codes, current records: 3
2026-04-15 03:19:00,999 - INFO - Processing progress: 15000/820000 postal codes, current records: 3
2026-04-15 03:19:03,790 - INFO - Processing progress: 16000/820000 postal codes, current records: 3
2026-04-15 03:19:24,976 - INFO - Processing progress: 17000/820000 postal codes, current records: 3
2026-04-15 03:19:44,995 - INFO - Processing progress: 18000/820000 postal codes, current records: 3
2026-04-15 03:19:59,639 - INFO - Processing progress: 19000/820000 postal codes, current records: 3
2026-04-15 03:20:02,559 - INFO - Processing progress: 20000/820000 postal codes, current records: 3
2026-04-15 03:20:05,632 - INFO - Processing progress: 21000/820000 postal codes, current records: 4
2026-04-15 03:20:15,259 - INFO - Processing progress: 22000/820000 postal codes, current records: 4
2026-04-15 03:20:25,917 - INFO - Processing progress: 23000/820000 postal codes, current records: 4
2026-04-15 03:20:54,236 - INFO - Processing progress: 24000/820000 postal codes, current records: 4
