2025-06-15 02:00:53,651 - INFO - Starting download of OneMap data for 820000 postal codes
2025-06-15 02:00:53,658 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-06-15 02:01:03,290 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-06-15 02:01:06,256 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-06-15 02:01:09,186 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-06-15 02:01:19,158 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-06-15 02:01:22,066 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-06-15 02:01:24,951 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-06-15 02:01:33,385 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-06-15 02:01:43,032 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-06-15 02:01:50,403 - INFO - Processing progress: 10000/820000 postal codes, current records: 82
2025-06-15 02:01:59,480 - INFO - Processing progress: 11000/820000 postal codes, current records: 93
2025-06-15 02:02:02,553 - INFO - Processing progress: 12000/820000 postal codes, current records: 93
2025-06-15 02:02:05,516 - INFO - Processing progress: 13000/820000 postal codes, current records: 93
2025-06-15 02:02:14,072 - INFO - Processing progress: 14000/820000 postal codes, current records: 93
2025-06-15 02:02:16,949 - INFO - Processing progress: 15000/820000 postal codes, current records: 93
2025-06-15 02:02:26,548 - INFO - Processing progress: 16000/820000 postal codes, current records: 93
2025-06-15 02:02:29,396 - INFO - Processing progress: 17000/820000 postal codes, current records: 93
2025-06-15 02:02:32,222 - INFO - Processing progress: 18000/820000 postal codes, current records: 93
2025-06-15 02:02:42,307 - INFO - Processing progress: 19000/820000 postal codes, current records: 93
2025-06-15 02:02:49,909 - INFO - Processing progress: 20000/820000 postal codes, current records: 93
2025-06-15 02:02:52,896 - INFO - Processing progress: 21000/820000 postal codes, current records: 96
2025-06-15 02:03:02,658 - INFO - Processing progress: 22000/820000 postal codes, current records: 96
2025-06-15 02:03:05,641 - INFO - Processing progress: 23000/820000 postal codes, current records: 96
2025-06-15 02:03:08,576 - INFO - Processing progress: 24000/820000 postal codes, current records: 96
2025-06-15 02:03:11,512 - INFO - Processing progress: 25000/820000 postal codes, current records: 96
2025-06-15 02:03:14,438 - INFO - Processing progress: 26000/820000 postal codes, current records: 96
2025-06-15 02:03:17,398 - INFO - Processing progress: 27000/820000 postal codes, current records: 96
2025-06-15 02:03:27,352 - INFO - Processing progress: 28000/820000 postal codes, current records: 96
2025-06-15 02:03:36,566 - INFO - Processing progress: 29000/820000 postal codes, current records: 96
2025-06-15 02:03:46,747 - INFO - Processing progress: 30000/820000 postal codes, current records: 118
2025-06-15 02:03:49,885 - INFO - Processing progress: 31000/820000 postal codes, current records: 148
2025-06-15 02:03:58,518 - INFO - Processing progress: 32000/820000 postal codes, current records: 148
2025-06-15 02:04:01,464 - INFO - Processing progress: 33000/820000 postal codes, current records: 148
2025-06-15 02:04:11,143 - INFO - Processing progress: 34000/820000 postal codes, current records: 148
2025-06-15 02:04:20,922 - INFO - Processing progress: 35000/820000 postal codes, current records: 148
2025-06-15 02:04:30,773 - INFO - Processing progress: 36000/820000 postal codes, current records: 148
2025-06-15 02:04:38,981 - INFO - Processing progress: 37000/820000 postal codes, current records: 148
2025-06-15 02:04:46,777 - INFO - Processing progress: 38000/820000 postal codes, current records: 148
