2025-12-31 08:16:20,638 - INFO - Starting download of OneMap data for 820000 postal codes
2025-12-31 08:16:20,651 - INFO - Processing progress: 1000/820000 postal codes, current records: 0
2025-12-31 08:16:25,004 - INFO - Processing progress: 2000/820000 postal codes, current records: 0
2025-12-31 08:16:36,289 - INFO - Processing progress: 3000/820000 postal codes, current records: 0
2025-12-31 08:16:46,905 - INFO - Processing progress: 4000/820000 postal codes, current records: 0
2025-12-31 08:16:57,571 - INFO - Processing progress: 5000/820000 postal codes, current records: 0
2025-12-31 08:17:07,783 - INFO - Processing progress: 6000/820000 postal codes, current records: 0
2025-12-31 08:17:18,152 - INFO - Processing progress: 7000/820000 postal codes, current records: 0
2025-12-31 08:17:29,460 - INFO - Processing progress: 8000/820000 postal codes, current records: 0
2025-12-31 08:17:39,886 - INFO - Processing progress: 9000/820000 postal codes, current records: 0
2025-12-31 08:18:41,091 - INFO - Processing progress: 10000/820000 postal codes, current records: 96
2025-12-31 08:18:53,123 - INFO - Processing progress: 11000/820000 postal codes, current records: 108
2025-12-31 08:19:03,812 - INFO - Processing progress: 12000/820000 postal codes, current records: 108
2025-12-31 08:19:14,511 - INFO - Processing progress: 13000/820000 postal codes, current records: 108
2025-12-31 08:19:25,235 - INFO - Processing progress: 14000/820000 postal codes, current records: 108
2025-12-31 08:19:34,189 - INFO - Processing progress: 15000/820000 postal codes, current records: 108
2025-12-31 08:19:45,029 - INFO - Processing progress: 16000/820000 postal codes, current records: 108
2025-12-31 08:19:55,973 - INFO - Processing progress: 17000/820000 postal codes, current records: 108
2025-12-31 08:19:59,413 - INFO - Processing progress: 18000/820000 postal codes, current records: 108
2025-12-31 08:20:03,262 - INFO - Processing progress: 19000/820000 postal codes, current records: 108
2025-12-31 08:20:14,015 - INFO - Processing progress: 20000/820000 postal codes, current records: 108
2025-12-31 08:20:25,028 - INFO - Processing progress: 21000/820000 postal codes, current records: 111
2025-12-31 08:20:35,335 - INFO - Processing progress: 22000/820000 postal codes, current records: 111
2025-12-31 08:20:46,385 - INFO - Processing progress: 23000/820000 postal codes, current records: 111
2025-12-31 08:20:56,255 - INFO - Processing progress: 24000/820000 postal codes, current records: 111
2025-12-31 08:21:07,086 - INFO - Processing progress: 25000/820000 postal codes, current records: 111
2025-12-31 08:21:16,364 - INFO - Processing progress: 26000/820000 postal codes, current records: 111
2025-12-31 08:21:27,635 - INFO - Processing progress: 27000/820000 postal codes, current records: 111
2025-12-31 08:21:37,912 - INFO - Processing progress: 28000/820000 postal codes, current records: 111
2025-12-31 08:21:48,651 - INFO - Processing progress: 29000/820000 postal codes, current records: 111
2025-12-31 08:21:59,570 - INFO - Processing progress: 30000/820000 postal codes, current records: 136
2025-12-31 08:22:10,184 - INFO - Processing progress: 31000/820000 postal codes, current records: 168
2025-12-31 08:22:21,500 - INFO - Processing progress: 32000/820000 postal codes, current records: 168
2025-12-31 08:22:24,725 - INFO - Processing progress: 33000/820000 postal codes, current records: 168
2025-12-31 08:22:35,124 - INFO - Processing progress: 34000/820000 postal codes, current records: 168
2025-12-31 08:22:43,079 - INFO - Processing progress: 35000/820000 postal codes, current records: 168
2025-12-31 08:22:46,878 - INFO - Processing progress: 36000/820000 postal codes, current records: 168
2025-12-31 08:22:57,220 - INFO - Processing progress: 37000/820000 postal codes, current records: 168
2025-12-31 08:23:08,415 - INFO - Processing progress: 38000/820000 postal codes, current records: 168
2025-12-31 08:23:18,991 - INFO - Processing progress: 39000/820000 postal codes, current records: 168
2025-12-31 08:23:30,495 - INFO - Processing progress: 40000/820000 postal codes, current records: 290
2025-12-31 08:23:40,516 - INFO - Processing progress: 41000/820000 postal codes, current records: 759
2025-12-31 08:23:43,803 - INFO - Processing progress: 42000/820000 postal codes, current records: 774
2025-12-31 08:23:54,124 - INFO - Processing progress: 43000/820000 postal codes, current records: 779
2025-12-31 08:24:05,767 - INFO - Processing progress: 44000/820000 postal codes, current records: 780
2025-12-31 08:24:16,238 - INFO - Processing progress: 45000/820000 postal codes, current records: 780
2025-12-31 08:24:27,088 - INFO - Processing progress: 46000/820000 postal codes, current records: 780
2025-12-31 08:24:30,620 - INFO - Processing progress: 47000/820000 postal codes, current records: 780
2025-12-31 08:24:41,075 - INFO - Processing progress: 48000/820000 postal codes, current records: 780
2025-12-31 08:24:51,273 - INFO - Processing progress: 49000/820000 postal codes, current records: 780
2025-12-31 08:25:03,987 - INFO - Processing progress: 50000/820000 postal codes, current records: 1402
2025-12-31 08:25:16,412 - INFO - Processing progress: 51000/820000 postal codes, current records: 1960
2025-12-31 08:25:24,461 - INFO - Processing progress: 52000/820000 postal codes, current records: 1960
2025-12-31 08:25:34,921 - INFO - Processing progress: 53000/820000 postal codes, current records: 1960
2025-12-31 08:25:45,780 - INFO - Processing progress: 54000/820000 postal codes, current records: 1960
2025-12-31 08:25:54,056 - INFO - Processing progress: 55000/820000 postal codes, current records: 1960
2025-12-31 08:26:04,492 - INFO - Processing progress: 56000/820000 postal codes, current records: 1960
2025-12-31 08:26:15,061 - INFO - Processing progress: 57000/820000 postal codes, current records: 1960
2025-12-31 08:26:26,178 - INFO - Processing progress: 58000/820000 postal codes, current records: 1960
2025-12-31 08:26:35,830 - INFO - Processing progress: 59000/820000 postal codes, current records: 1960
2025-12-31 08:26:47,208 - INFO - Processing progress: 60000/820000 postal codes, current records: 2228
2025-12-31 08:27:02,874 - INFO - Processing progress: 61000/820000 postal codes, current records: 2727
