2026-05-15 04:00:43,055 - INFO - Processing progress: 72000/820000 postal codes, current records: 0
2026-05-15 04:00:45,472 - INFO - Processing progress: 73000/820000 postal codes, current records: 0
2026-05-15 04:00:47,825 - INFO - Processing progress: 74000/820000 postal codes, current records: 0
2026-05-15 04:00:50,410 - INFO - Processing progress: 75000/820000 postal codes, current records: 0
2026-05-15 04:00:52,857 - INFO - Processing progress: 76000/820000 postal codes, current records: 0
2026-05-15 04:00:55,239 - INFO - Processing progress: 77000/820000 postal codes, current records: 0
2026-05-15 04:00:57,599 - INFO - Processing progress: 78000/820000 postal codes, current records: 0
2026-05-15 04:00:59,981 - INFO - Processing progress: 79000/820000 postal codes, current records: 0
2026-05-15 04:01:02,606 - INFO - Processing progress: 80000/820000 postal codes, current records: 0
2026-05-15 04:01:05,012 - INFO - Processing progress: 81000/820000 postal codes, current records: 0
2026-05-15 04:01:07,371 - INFO - Processing progress: 82000/820000 postal codes, current records: 0
2026-05-15 04:01:09,850 - INFO - Processing progress: 83000/820000 postal codes, current records: 0
2026-05-15 04:01:12,214 - INFO - Processing progress: 84000/820000 postal codes, current records: 0
2026-05-15 04:01:14,639 - INFO - Processing progress: 85000/820000 postal codes, current records: 0
2026-05-15 04:01:36,518 - INFO - Processing progress: 86000/820000 postal codes, current records: 0
2026-05-15 04:01:45,925 - INFO - Processing progress: 87000/820000 postal codes, current records: 0
2026-05-15 04:01:59,923 - INFO - Processing progress: 88000/820000 postal codes, current records: 0
2026-05-15 04:02:02,282 - INFO - Processing progress: 89000/820000 postal codes, current records: 0
2026-05-15 04:02:05,089 - INFO - Processing progress: 90000/820000 postal codes, current records: 0
2026-05-15 04:02:07,451 - INFO - Processing progress: 91000/820000 postal codes, current records: 0
2026-05-15 04:02:09,825 - INFO - Processing progress: 92000/820000 postal codes, current records: 0
2026-05-15 04:02:12,211 - INFO - Processing progress: 93000/820000 postal codes, current records: 0
2026-05-15 04:02:14,550 - INFO - Processing progress: 94000/820000 postal codes, current records: 0
2026-05-15 04:02:16,906 - INFO - Processing progress: 95000/820000 postal codes, current records: 0
2026-05-15 04:02:19,411 - INFO - Processing progress: 96000/820000 postal codes, current records: 0
2026-05-15 04:02:21,760 - INFO - Processing progress: 97000/820000 postal codes, current records: 0
2026-05-15 04:02:24,122 - INFO - Processing progress: 98000/820000 postal codes, current records: 0
2026-05-15 04:02:47,310 - INFO - Processing progress: 99000/820000 postal codes, current records: 0
2026-05-15 04:03:10,097 - INFO - Processing progress: 100000/820000 postal codes, current records: 0
2026-05-15 04:03:22,466 - INFO - Processing progress: 101000/820000 postal codes, current records: 1
2026-05-15 04:03:24,842 - INFO - Processing progress: 102000/820000 postal codes, current records: 1
2026-05-15 04:03:27,197 - INFO - Processing progress: 103000/820000 postal codes, current records: 1
2026-05-15 04:03:29,583 - INFO - Processing progress: 104000/820000 postal codes, current records: 1
2026-05-15 04:03:31,941 - INFO - Processing progress: 105000/820000 postal codes, current records: 1
2026-05-15 04:03:34,291 - INFO - Processing progress: 106000/820000 postal codes, current records: 1
2026-05-15 04:03:36,794 - INFO - Processing progress: 107000/820000 postal codes, current records: 1
2026-05-15 04:03:48,452 - INFO - Processing progress: 108000/820000 postal codes, current records: 1
2026-05-15 04:03:51,050 - INFO - Processing progress: 109000/820000 postal codes, current records: 1
2026-05-15 04:03:53,648 - INFO - Processing progress: 110000/820000 postal codes, current records: 1
2026-05-15 04:03:56,025 - INFO - Processing progress: 111000/820000 postal codes, current records: 1
2026-05-15 04:03:58,410 - INFO - Processing progress: 112000/820000 postal codes, current records: 1
2026-05-15 04:04:00,782 - INFO - Processing progress: 113000/820000 postal codes, current records: 1
2026-05-15 04:04:03,242 - INFO - Processing progress: 114000/820000 postal codes, current records: 1
2026-05-15 04:04:05,632 - INFO - Processing progress: 115000/820000 postal codes, current records: 1
2026-05-15 04:04:08,075 - INFO - Processing progress: 116000/820000 postal codes, current records: 1
2026-05-15 04:04:10,466 - INFO - Processing progress: 117000/820000 postal codes, current records: 1
2026-05-15 04:04:13,053 - INFO - Processing progress: 118000/820000 postal codes, current records: 1
2026-05-15 04:04:15,478 - INFO - Processing progress: 119000/820000 postal codes, current records: 1
2026-05-15 04:04:31,743 - INFO - Processing progress: 120000/820000 postal codes, current records: 5
2026-05-15 04:04:43,934 - INFO - Processing progress: 121000/820000 postal codes, current records: 8
2026-05-15 04:04:46,316 - INFO - Processing progress: 122000/820000 postal codes, current records: 8
2026-05-15 04:04:48,663 - INFO - Processing progress: 123000/820000 postal codes, current records: 8
2026-05-15 04:05:13,064 - INFO - Processing progress: 124000/820000 postal codes, current records: 8
2026-05-15 04:05:20,671 - INFO - Processing progress: 125000/820000 postal codes, current records: 8
2026-05-15 04:05:23,233 - INFO - Processing progress: 126000/820000 postal codes, current records: 8
2026-05-15 04:05:25,603 - INFO - Processing progress: 127000/820000 postal codes, current records: 8
2026-05-15 04:05:43,648 - INFO - Processing progress: 128000/820000 postal codes, current records: 8
2026-05-15 04:05:57,788 - INFO - Processing progress: 129000/820000 postal codes, current records: 8
2026-05-15 04:06:07,195 - INFO - Processing progress: 130000/820000 postal codes, current records: 8
2026-05-15 04:06:09,594 - INFO - Processing progress: 131000/820000 postal codes, current records: 8
2026-05-15 04:06:11,995 - INFO - Processing progress: 132000/820000 postal codes, current records: 8
2026-05-15 04:06:34,255 - INFO - Processing progress: 133000/820000 postal codes, current records: 8
2026-05-15 04:06:56,922 - INFO - Processing progress: 134000/820000 postal codes, current records: 10
2026-05-15 04:07:48,800 - INFO - Processing progress: 135000/820000 postal codes, current records: 10
2026-05-15 04:08:00,658 - INFO - Processing progress: 136000/820000 postal codes, current records: 10
2026-05-15 04:08:03,028 - INFO - Processing progress: 137000/820000 postal codes, current records: 10
2026-05-15 04:08:17,898 - INFO - Processing progress: 138000/820000 postal codes, current records: 10
2026-05-15 04:08:40,837 - INFO - Processing progress: 139000/820000 postal codes, current records: 10
2026-05-15 04:08:43,876 - INFO - Processing progress: 140000/820000 postal codes, current records: 10
2026-05-15 04:08:46,330 - INFO - Processing progress: 141000/820000 postal codes, current records: 10
2026-05-15 04:08:48,746 - INFO - Processing progress: 142000/820000 postal codes, current records: 10
2026-05-15 04:08:51,105 - INFO - Processing progress: 143000/820000 postal codes, current records: 10
2026-05-15 04:08:53,435 - INFO - Processing progress: 144000/820000 postal codes, current records: 10
2026-05-15 04:08:55,761 - INFO - Processing progress: 145000/820000 postal codes, current records: 10
2026-05-15 04:08:58,156 - INFO - Processing progress: 146000/820000 postal codes, current records: 10
2026-05-15 04:09:13,025 - INFO - Processing progress: 147000/820000 postal codes, current records: 10
2026-05-15 04:09:15,381 - INFO - Processing progress: 148000/820000 postal codes, current records: 10
2026-05-15 04:09:18,071 - INFO - Processing progress: 149000/820000 postal codes, current records: 10
2026-05-15 04:09:20,459 - INFO - Processing progress: 150000/820000 postal codes, current records: 10
2026-05-15 04:09:22,832 - INFO - Processing progress: 151000/820000 postal codes, current records: 10
2026-05-15 04:09:39,245 - INFO - Processing progress: 152000/820000 postal codes, current records: 11
2026-05-15 04:09:54,460 - INFO - Processing progress: 153000/820000 postal codes, current records: 12
2026-05-15 04:09:56,831 - INFO - Processing progress: 154000/820000 postal codes, current records: 12
2026-05-15 04:09:59,181 - INFO - Processing progress: 155000/820000 postal codes, current records: 12
2026-05-15 04:10:11,628 - INFO - Processing progress: 156000/820000 postal codes, current records: 12
2026-05-15 04:10:23,496 - INFO - Processing progress: 157000/820000 postal codes, current records: 12
2026-05-15 04:10:25,915 - INFO - Processing progress: 158000/820000 postal codes, current records: 12
2026-05-15 04:10:28,275 - INFO - Processing progress: 159000/820000 postal codes, current records: 12
2026-05-15 04:10:36,932 - INFO - Processing progress: 160000/820000 postal codes, current records: 12
2026-05-15 04:10:39,388 - INFO - Processing progress: 161000/820000 postal codes, current records: 12
2026-05-15 04:10:41,920 - INFO - Processing progress: 162000/820000 postal codes, current records: 12
2026-05-15 04:10:44,524 - INFO - Processing progress: 163000/820000 postal codes, current records: 12
2026-05-15 04:10:46,974 - INFO - Processing progress: 164000/820000 postal codes, current records: 12
2026-05-15 04:10:56,325 - INFO - Processing progress: 165000/820000 postal codes, current records: 12
2026-05-15 04:10:58,741 - INFO - Processing progress: 166000/820000 postal codes, current records: 12
2026-05-15 04:11:01,113 - INFO - Processing progress: 167000/820000 postal codes, current records: 12
2026-05-15 04:11:03,531 - INFO - Processing progress: 168000/820000 postal codes, current records: 12
2026-05-15 04:11:05,919 - INFO - Processing progress: 169000/820000 postal codes, current records: 12
2026-05-15 04:11:08,466 - INFO - Processing progress: 170000/820000 postal codes, current records: 12
2026-05-15 04:11:22,066 - INFO - Processing progress: 171000/820000 postal codes, current records: 12
2026-05-15 04:11:36,086 - INFO - Processing progress: 172000/820000 postal codes, current records: 12
2026-05-15 04:11:48,204 - INFO - Processing progress: 173000/820000 postal codes, current records: 12
2026-05-15 04:11:56,378 - INFO - Processing progress: 174000/820000 postal codes, current records: 12
2026-05-15 04:11:58,775 - INFO - Processing progress: 175000/820000 postal codes, current records: 12
2026-05-15 04:12:06,600 - INFO - Processing progress: 176000/820000 postal codes, current records: 12
2026-05-15 04:12:09,205 - INFO - Processing progress: 177000/820000 postal codes, current records: 12
2026-05-15 04:12:22,646 - INFO - Processing progress: 178000/820000 postal codes, current records: 12
2026-05-15 04:12:33,808 - INFO - Processing progress: 179000/820000 postal codes, current records: 12
2026-05-15 04:12:36,319 - INFO - Processing progress: 180000/820000 postal codes, current records: 12
2026-05-15 04:12:38,721 - INFO - Processing progress: 181000/820000 postal codes, current records: 12
2026-05-15 04:12:46,282 - INFO - Processing progress: 182000/820000 postal codes, current records: 12
2026-05-15 04:13:09,544 - INFO - Processing progress: 183000/820000 postal codes, current records: 12
2026-05-15 04:13:17,296 - INFO - Processing progress: 184000/820000 postal codes, current records: 12
2026-05-15 04:13:24,679 - INFO - Processing progress: 185000/820000 postal codes, current records: 12
2026-05-15 04:13:27,031 - INFO - Processing progress: 186000/820000 postal codes, current records: 12
2026-05-15 04:13:29,369 - INFO - Processing progress: 187000/820000 postal codes, current records: 12
2026-05-15 04:13:31,698 - INFO - Processing progress: 188000/820000 postal codes, current records: 12
2026-05-15 04:13:34,179 - INFO - Processing progress: 189000/820000 postal codes, current records: 12
2026-05-15 04:13:36,536 - INFO - Processing progress: 190000/820000 postal codes, current records: 12
2026-05-15 04:13:38,944 - INFO - Processing progress: 191000/820000 postal codes, current records: 12
2026-05-15 04:13:41,295 - INFO - Processing progress: 192000/820000 postal codes, current records: 12
2026-05-15 04:13:43,675 - INFO - Processing progress: 193000/820000 postal codes, current records: 12
2026-05-15 04:13:46,290 - INFO - Processing progress: 194000/820000 postal codes, current records: 12
2026-05-15 04:13:54,119 - INFO - Processing progress: 195000/820000 postal codes, current records: 12
2026-05-15 04:13:56,472 - INFO - Processing progress: 196000/820000 postal codes, current records: 12
2026-05-15 04:13:59,026 - INFO - Processing progress: 197000/820000 postal codes, current records: 12
2026-05-15 04:14:01,453 - INFO - Processing progress: 198000/820000 postal codes, current records: 12
2026-05-15 04:14:03,923 - INFO - Processing progress: 199000/820000 postal codes, current records: 12
2026-05-15 04:14:06,288 - INFO - Processing progress: 200000/820000 postal codes, current records: 12
2026-05-15 04:14:08,684 - INFO - Processing progress: 201000/820000 postal codes, current records: 12
2026-05-15 04:14:49,277 - INFO - Processing progress: 202000/820000 postal codes, current records: 13
2026-05-15 04:14:52,291 - INFO - Processing progress: 203000/820000 postal codes, current records: 13
2026-05-15 04:14:54,901 - INFO - Processing progress: 204000/820000 postal codes, current records: 13
2026-05-15 04:14:57,323 - INFO - Processing progress: 205000/820000 postal codes, current records: 13
2026-05-15 04:14:59,699 - INFO - Processing progress: 206000/820000 postal codes, current records: 13
2026-05-15 04:15:02,056 - INFO - Processing progress: 207000/820000 postal codes, current records: 13
2026-05-15 04:15:04,442 - INFO - Processing progress: 208000/820000 postal codes, current records: 13
2026-05-15 04:15:06,971 - INFO - Processing progress: 209000/820000 postal codes, current records: 13
2026-05-15 04:15:22,511 - INFO - Processing progress: 210000/820000 postal codes, current records: 13
2026-05-15 04:16:10,149 - INFO - Processing progress: 211000/820000 postal codes, current records: 15
2026-05-15 04:16:13,145 - INFO - Processing progress: 212000/820000 postal codes, current records: 15
2026-05-15 04:16:15,673 - INFO - Processing progress: 213000/820000 postal codes, current records: 15
2026-05-15 04:16:18,116 - INFO - Processing progress: 214000/820000 postal codes, current records: 15
2026-05-15 04:16:20,605 - INFO - Processing progress: 215000/820000 postal codes, current records: 15
2026-05-15 04:16:23,072 - INFO - Processing progress: 216000/820000 postal codes, current records: 15
2026-05-15 04:16:25,439 - INFO - Processing progress: 217000/820000 postal codes, current records: 15
2026-05-15 04:16:27,822 - INFO - Processing progress: 218000/820000 postal codes, current records: 15
2026-05-15 04:16:30,222 - INFO - Processing progress: 219000/820000 postal codes, current records: 15
2026-05-15 04:16:32,650 - INFO - Processing progress: 220000/820000 postal codes, current records: 15
2026-05-15 04:16:35,263 - INFO - Processing progress: 221000/820000 postal codes, current records: 15
2026-05-15 04:16:44,103 - INFO - Processing progress: 222000/820000 postal codes, current records: 15
2026-05-15 04:17:04,931 - INFO - Processing progress: 223000/820000 postal codes, current records: 15
2026-05-15 04:17:18,678 - INFO - Processing progress: 224000/820000 postal codes, current records: 15
2026-05-15 04:17:21,037 - INFO - Processing progress: 225000/820000 postal codes, current records: 15
2026-05-15 04:17:23,502 - INFO - Processing progress: 226000/820000 postal codes, current records: 15
2026-05-15 04:17:25,851 - INFO - Processing progress: 227000/820000 postal codes, current records: 15
2026-05-15 04:17:28,218 - INFO - Processing progress: 228000/820000 postal codes, current records: 15
2026-05-15 04:17:30,569 - INFO - Processing progress: 229000/820000 postal codes, current records: 15
2026-05-15 04:17:33,690 - INFO - Processing progress: 230000/820000 postal codes, current records: 15
2026-05-15 04:17:41,328 - INFO - Processing progress: 231000/820000 postal codes, current records: 16
2026-05-15 04:17:43,708 - INFO - Processing progress: 232000/820000 postal codes, current records: 16
2026-05-15 04:17:46,075 - INFO - Processing progress: 233000/820000 postal codes, current records: 16
2026-05-15 04:18:14,359 - INFO - Processing progress: 234000/820000 postal codes, current records: 16
2026-05-15 04:18:17,356 - INFO - Processing progress: 235000/820000 postal codes, current records: 16
2026-05-15 04:18:19,697 - INFO - Processing progress: 236000/820000 postal codes, current records: 16
2026-05-15 04:18:27,722 - INFO - Processing progress: 237000/820000 postal codes, current records: 16
2026-05-15 04:18:37,130 - INFO - Processing progress: 238000/820000 postal codes, current records: 16
2026-05-15 04:18:39,709 - INFO - Processing progress: 239000/820000 postal codes, current records: 16
2026-05-15 04:18:42,164 - INFO - Processing progress: 240000/820000 postal codes, current records: 16
2026-05-15 04:18:44,549 - INFO - Processing progress: 241000/820000 postal codes, current records: 16
2026-05-15 04:18:46,935 - INFO - Processing progress: 242000/820000 postal codes, current records: 16
2026-05-15 04:18:49,303 - INFO - Processing progress: 243000/820000 postal codes, current records: 16
2026-05-15 04:18:51,810 - INFO - Processing progress: 244000/820000 postal codes, current records: 16
2026-05-15 04:18:54,170 - INFO - Processing progress: 245000/820000 postal codes, current records: 16
2026-05-15 04:18:56,520 - INFO - Processing progress: 246000/820000 postal codes, current records: 16
2026-05-15 04:19:05,612 - INFO - Processing progress: 247000/820000 postal codes, current records: 16
