blk_no,street,postal_code,name,lat,lon,change_type,prev_name,prev_lat,prev_lon,location_change_meters,is_non_residential,name_formatted,address_formatted
59,MARINA COASTAL DRIVE,19964,NIL,1.26797299807086,103.859122035309,new_building,,,,,False,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964"
70,TELOK AYER STREET,48458,AMOY HOTEL,1.28303335965486,103.848666383796,new_building,,,,,True,Amoy Hotel,"70 Telok Ayer Street Amoy Hotel, Singapore 48458"
3,PRINCE EDWARD ROAD,69835,THE SKYWATERS,1.27572262809462,103.847266612595,new_building,,,,,False,3 Prince Edward Road,"3 Prince Edward Road, Singapore 69835"
8A,SHENTON WAY,69846,THE SKYWATERS,1.27572262809462,103.847266612595,new_building,,,,,False,8A Shenton Way,"8A Shenton Way, Singapore 69846"
437,CLEMENTI CLOSE,120437,CLEMENTI EMERALD,1.31664918422922,103.762051682614,new_building,,,,,False,437 Clementi Close,"437 Clementi Close, Singapore 120437"
438,CLEMENTI CLOSE,120438,CLEMENTI EMERALD,1.31729073830566,103.762656171406,new_building,,,,,False,438 Clementi Close,"438 Clementi Close, Singapore 120438"
437A,CLEMENTI CLOSE,121437,CLEMENTI EMERALD,1.31647266685186,103.762961522245,new_building,,,,,False,437A Clementi Close,"437A Clementi Close, Singapore 121437"
438A,CLEMENTI CLOSE,121438,CLEMENTI EMERALD,1.31686971326399,103.762723628508,new_building,,,,,False,438A Clementi Close,"438A Clementi Close, Singapore 121438"
437B,CLEMENTI CLOSE,122437,CLEMENTI EMERALD,1.31662373060985,103.762393868662,new_building,,,,,False,437B Clementi Close,"437B Clementi Close, Singapore 122437"
438B,CLEMENTI CLOSE,122438,CLEMENTI EMERALD,1.31725205617556,103.762959005306,new_building,,,,,False,438B Clementi Close,"438B Clementi Close, Singapore 122438"
185,MEI CHIN ROAD,140185,STIRLING HORIZON,1.29200741192021,103.800962553555,new_building,,,,,False,185 Mei Chin Road,"185 Mei Chin Road, Singapore 140185"
186,MEI CHIN ROAD,140186,STIRLING HORIZON,1.29166535542444,103.801236930997,new_building,,,,,False,186 Mei Chin Road,"186 Mei Chin Road, Singapore 140186"
187,MEI CHIN ROAD,140187,STIRLING HORIZON,1.29301990039928,103.801810807466,new_building,,,,,False,187 Mei Chin Road,"187 Mei Chin Road, Singapore 140187"
189,MEI CHIN ROAD,140189,STIRLING HORIZON,1.29381487720351,103.801889533735,new_building,,,,,False,189 Mei Chin Road,"189 Mei Chin Road, Singapore 140189"
190,MEI CHIN ROAD,140190,STIRLING HORIZON,1.29413953888947,103.802034176316,new_building,,,,,False,190 Mei Chin Road,"190 Mei Chin Road, Singapore 140190"
186A,MEI CHIN ROAD,141186,STIRLING HORIZON,1.29206919022228,103.801396859311,new_building,,,,,False,186A Mei Chin Road,"186A Mei Chin Road, Singapore 141186"
187A,MEI CHIN ROAD,141187,STIRLING HORIZON,1.29333044071733,103.801842672075,new_building,,,,,False,187A Mei Chin Road,"187A Mei Chin Road, Singapore 141187"
186B,MEI CHIN ROAD,142186,STIRLING HORIZON,1.29272711304594,103.801627215937,new_building,,,,,False,186B Mei Chin Road,"186B Mei Chin Road, Singapore 142186"
523,UPPER CHANGI ROAD,142945,NIL,1.33553516929138,103.952775835916,new_building,,,,,False,523 Upper Changi Road,"523 Upper Changi Road, Singapore 142945"
7,KIM SENG ROAD,169556,ZYON GALLERIA,1.29057222318949,103.833663072327,new_building,,,,,False,7 Kim Seng Road,"7 Kim Seng Road, Singapore 169556"
253,VICTORIA STREET,188068,BUGIS VILLAGE,1.30090252607461,103.855262679246,new_building,,,,,False,253 Victoria Street,"253 Victoria Street, Singapore 188068"
65,QUEEN STREET,188544,BUGIS VILLAGE,1.30089736824545,103.854869709434,new_building,,,,,False,65 Queen Street,"65 Queen Street, Singapore 188544"
66,QUEEN STREET,188545,BUGIS VILLAGE,1.30089736824545,103.854869709434,new_building,,,,,False,66 Queen Street,"66 Queen Street, Singapore 188545"
67,QUEEN STREET,188546,BUGIS VILLAGE,1.30089736824545,103.854869709434,new_building,,,,,False,67 Queen Street,"67 Queen Street, Singapore 188546"
20,CRAWFORD STREET,190020,CRAWFORD HEIGHTS,1.30563432294019,103.864739448575,new_building,,,,,False,20 Crawford Street,"20 Crawford Street, Singapore 190020"
21,CRAWFORD STREET,190021,CRAWFORD HEIGHTS,1.30501456390922,103.864674954432,new_building,,,,,False,21 Crawford Street,"21 Crawford Street, Singapore 190021"
20A,CRAWFORD STREET,191020,CRAWFORD HEIGHTS,1.30519457504196,103.864786099367,new_building,,,,,False,20A Crawford Street,"20A Crawford Street, Singapore 191020"
598,SERANGOON ROAD,218210,NIL,1.31522075766025,103.858397109361,new_building,,,,,False,598 Serangoon Road,"598 Serangoon Road, Singapore 218210"
100A,NORFOLK ROAD,219833,NIL,1.31570075546604,103.847354541269,new_building,,,,,False,100A Norfolk Road,"100A Norfolk Road, Singapore 219833"
23,HERTFORD ROAD,219907,NIL,1.31315416408335,103.848215870566,new_building,,,,,False,23 Hertford Road,"23 Hertford Road, Singapore 219907"
27,HERTFORD ROAD,219908,NIL,1.31324129713639,103.848303346261,new_building,,,,,False,27 Hertford Road,"27 Hertford Road, Singapore 219908"
29,MACKENZIE ROAD,228683,MACKENZIE REGENCY,1.30465722284432,103.849480361389,new_building,,,,,False,29 Mackenzie Road,"29 Mackenzie Road, Singapore 228683"
17,UNITY STREET,239595,ROBERTSON WALK,1.29173909592834,103.841194495006,new_building,,,,,False,17 Unity Street,"17 Unity Street, Singapore 239595"
111,TANGLIN ROAD,240111,ALEXANDRA VISTA,1.29343629413741,103.81622390245,new_building,,,,,False,111 Tanglin Road,"111 Tanglin Road, Singapore 240111"
112,TANGLIN ROAD,240112,ALEXANDRA VISTA,1.29304343218374,103.81674358779,new_building,,,,,False,112 Tanglin Road,"112 Tanglin Road, Singapore 240112"
111A,TANGLIN ROAD,241111,ALEXANDRA VISTA,1.29370691110386,103.816326985176,new_building,,,,,False,111A Tanglin Road,"111A Tanglin Road, Singapore 241111"
112A,TANGLIN ROAD,241112,ALEXANDRA VISTA,1.29292792023667,103.817179588292,new_building,,,,,False,112A Tanglin Road,"112A Tanglin Road, Singapore 241112"
111B,TANGLIN ROAD,242111,ALEXANDRA VISTA,1.29313079573355,103.816174023979,new_building,,,,,False,111B Tanglin Road,"111B Tanglin Road, Singapore 242111"
1,ZION CLOSE,247811,MILL POINT,1.29290709268773,103.830450365955,new_building,,,,,False,1 Zion Close,"1 Zion Close, Singapore 247811"
7A,TANGLIN HILL,248042,TANGLIN BRUNEI HOSTEL,1.30250096960999,103.813976677975,new_building,,,,,False,7A Tanglin Hill,"7A Tanglin Hill, Singapore 248042"
90,FERNHILL ROAD,259131,LADYHILL PARK,1.31181048077139,103.823534083764,new_building,,,,,True,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131"
