Postal Code,Building Name,Full Address,Non-Residential,Date Added
19964,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964",False,15/11/2025
48458,Amoy Hotel,"70 Telok Ayer Street Amoy Hotel, Singapore 48458",True,15/11/2025
120437,437 Clementi Close,"437 Clementi Close, Singapore 120437",False,15/11/2025
120438,438 Clementi Close,"438 Clementi Close, Singapore 120438",False,15/11/2025
121437,437A Clementi Close,"437A Clementi Close, Singapore 121437",False,15/11/2025
121438,438A Clementi Close,"438A Clementi Close, Singapore 121438",False,15/11/2025
122437,437B Clementi Close,"437B Clementi Close, Singapore 122437",False,15/11/2025
122438,438B Clementi Close,"438B Clementi Close, Singapore 122438",False,15/11/2025
129634,Clementi Polyclinic,"2 Clementi Close Clementi Polyclinic, Singapore 129634",True,15/11/2025
140185,185 Mei Chin Road,"185 Mei Chin Road, Singapore 140185",False,15/11/2025
140186,186 Mei Chin Road,"186 Mei Chin Road, Singapore 140186",False,15/11/2025
140187,187 Mei Chin Road,"187 Mei Chin Road, Singapore 140187",False,15/11/2025
140189,189 Mei Chin Road,"189 Mei Chin Road, Singapore 140189",False,15/11/2025
140190,190 Mei Chin Road,"190 Mei Chin Road, Singapore 140190",False,15/11/2025
141186,186A Mei Chin Road,"186A Mei Chin Road, Singapore 141186",False,15/11/2025
141187,187A Mei Chin Road,"187A Mei Chin Road, Singapore 141187",False,15/11/2025
142186,186B Mei Chin Road,"186B Mei Chin Road, Singapore 142186",False,15/11/2025
169556,7 Kim Seng Road,"7 Kim Seng Road, Singapore 169556",False,15/11/2025
188068,253 Victoria Street,"253 Victoria Street, Singapore 188068",False,15/11/2025
188544,65 Queen Street,"65 Queen Street, Singapore 188544",False,15/11/2025
188545,66 Queen Street,"66 Queen Street, Singapore 188545",False,15/11/2025
188546,67 Queen Street,"67 Queen Street, Singapore 188546",False,15/11/2025
190020,20 Crawford Street,"20 Crawford Street, Singapore 190020",False,15/11/2025
190021,21 Crawford Street,"21 Crawford Street, Singapore 190021",False,15/11/2025
191020,20A Crawford Street,"20A Crawford Street, Singapore 191020",False,15/11/2025
218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",False,15/11/2025
219833,100A Norfolk Road,"100A Norfolk Road, Singapore 219833",False,15/11/2025
228683,29 Mackenzie Road,"29 Mackenzie Road, Singapore 228683",False,15/11/2025
239595,17 Unity Street,"17 Unity Street, Singapore 239595",False,15/11/2025
240111,111 Tanglin Road,"111 Tanglin Road, Singapore 240111",False,15/11/2025
240112,112 Tanglin Road,"112 Tanglin Road, Singapore 240112",False,15/11/2025
241111,111A Tanglin Road,"111A Tanglin Road, Singapore 241111",False,15/11/2025
241112,112A Tanglin Road,"112A Tanglin Road, Singapore 241112",False,15/11/2025
242111,111B Tanglin Road,"111B Tanglin Road, Singapore 242111",False,15/11/2025
247811,1 Zion Close,"1 Zion Close, Singapore 247811",False,15/11/2025
248042,7A Tanglin Hill,"7A Tanglin Hill, Singapore 248042",False,15/11/2025
259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",True,15/11/2025
270067,67 Holland Village Way,"67 Holland Village Way, Singapore 270067",False,15/11/2025
270068,68 Holland Village Way,"68 Holland Village Way, Singapore 270068",False,15/11/2025
271068,68A Holland Village Way,"68A Holland Village Way, Singapore 271068",False,15/11/2025
278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",True,15/11/2025
279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",True,15/11/2025
289359,79A Hillcrest Road,"79A Hillcrest Road, Singapore 289359",False,15/11/2025
299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",True,15/11/2025
299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",False,15/11/2025
309297,2A Jalan Pasiran,"2A Jalan Pasiran, Singapore 309297",False,15/11/2025
309313,4 Jalan Pasir Ria,"4 Jalan Pasir Ria, Singapore 309313",False,15/11/2025
309314,4A Jalan Pasir Ria,"4A Jalan Pasir Ria, Singapore 309314",False,15/11/2025
309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",False,15/11/2025
309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",False,15/11/2025
309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",False,15/11/2025
309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",False,15/11/2025
338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",False,15/11/2025
338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",False,15/11/2025
338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",False,15/11/2025
349994,51 Alkaff Crescent,"51 Alkaff Crescent, Singapore 349994",False,15/11/2025
359564,3A Melrose Drive,"3A Melrose Drive, Singapore 359564",False,15/11/2025
359575,3B Melrose Drive,"3B Melrose Drive, Singapore 359575",False,15/11/2025
367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",True,15/11/2025
370135,135 Merpati Road,"135 Merpati Road, Singapore 370135",False,15/11/2025
370136,136 Merpati Road,"136 Merpati Road, Singapore 370136",False,15/11/2025
371135,135A Merpati Road,"135A Merpati Road, Singapore 371135",False,15/11/2025
371136,136A Merpati Road,"136A Merpati Road, Singapore 371136",False,15/11/2025
419383,Kimnan Park,"68A Jalan Selamat Kimnan Park, Singapore 419383",True,15/11/2025
426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",False,15/11/2025
438584,92 Meyer Road,"92 Meyer Road, Singapore 438584",False,15/11/2025
438585,10 Founders Drive,"10 Founders Drive, Singapore 438585",False,15/11/2025
438661,13 Jalan Nuri,"13 Jalan Nuri, Singapore 438661",False,15/11/2025
438662,47 Meyer Road,"47 Meyer Road, Singapore 438662",False,15/11/2025
449972,101A Marine Parade Road,"101A Marine Parade Road, Singapore 449972",False,15/11/2025
456285,33B Woo Mon Chew Road,"33B Woo Mon Chew Road, Singapore 456285",False,15/11/2025
456341,133A Upper East Coast Road,"133A Upper East Coast Road, Singapore 456341",False,15/11/2025
456827,Marine Garden,"26C Siglap Road Marine Garden, Singapore 456827",True,15/11/2025
460911,911 Bayshore Street,"911 Bayshore Street, Singapore 460911",False,15/11/2025
460912,912 Bayshore Street,"912 Bayshore Street, Singapore 460912",False,15/11/2025
460913,913 Bayshore Street,"913 Bayshore Street, Singapore 460913",False,15/11/2025
460914,914 Bayshore Street,"914 Bayshore Street, Singapore 460914",False,15/11/2025
460915,915 Bayshore Street,"915 Bayshore Street, Singapore 460915",False,15/11/2025
460916,916 Bayshore Street,"916 Bayshore Street, Singapore 460916",False,15/11/2025
461911,911A Bayshore Street,"911A Bayshore Street, Singapore 461911",False,15/11/2025
461912,912A Bayshore Street,"912A Bayshore Street, Singapore 461912",False,15/11/2025
461914,914A Bayshore Street,"914A Bayshore Street, Singapore 461914",False,15/11/2025
461915,915A Bayshore Street,"915A Bayshore Street, Singapore 461915",False,15/11/2025
461916,916A Bayshore Street,"916A Bayshore Street, Singapore 461916",False,15/11/2025
462911,911B Bayshore Street,"911B Bayshore Street, Singapore 462911",False,15/11/2025
462912,912B Bayshore Street,"912B Bayshore Street, Singapore 462912",False,15/11/2025
462915,915B Bayshore Street,"915B Bayshore Street, Singapore 462915",False,15/11/2025
462916,916B Bayshore Street,"916B Bayshore Street, Singapore 462916",False,15/11/2025
463911,911C Bayshore Street,"911C Bayshore Street, Singapore 463911",False,15/11/2025
463912,912C Bayshore Street,"912C Bayshore Street, Singapore 463912",False,15/11/2025
468466,109 Tanah Merah Kechil Road South,"109 Tanah Merah Kechil Road South, Singapore 468466",False,15/11/2025
468467,111 Tanah Merah Kechil Road South,"111 Tanah Merah Kechil Road South, Singapore 468467",False,15/11/2025
468468,113 Tanah Merah Kechil Road South,"113 Tanah Merah Kechil Road South, Singapore 468468",False,15/11/2025
488904,East View Garden,"58A Meragi Road East View Garden, Singapore 488904",True,15/11/2025
489719,Changi Business Park Central 2,"89A Changi Business Park Central 2, Singapore 489719",True,15/11/2025
508806,32 Jalan Loyang Besar,"32 Jalan Loyang Besar, Singapore 508806",False,15/11/2025
508826,22 Jalan Loyang Besar,"22 Jalan Loyang Besar, Singapore 508826",False,15/11/2025
508827,24 Jalan Loyang Besar,"24 Jalan Loyang Besar, Singapore 508827",False,15/11/2025
508828,26 Jalan Loyang Besar,"26 Jalan Loyang Besar, Singapore 508828",False,15/11/2025
508829,28 Jalan Loyang Besar,"28 Jalan Loyang Besar, Singapore 508829",False,15/11/2025
508830,30 Jalan Loyang Besar,"30 Jalan Loyang Besar, Singapore 508830",False,15/11/2025
508831,12 Jalan Loyang Besar,"12 Jalan Loyang Besar, Singapore 508831",False,15/11/2025
508832,14 Jalan Loyang Besar,"14 Jalan Loyang Besar, Singapore 508832",False,15/11/2025
508833,16 Jalan Loyang Besar,"16 Jalan Loyang Besar, Singapore 508833",False,15/11/2025
508834,18 Jalan Loyang Besar,"18 Jalan Loyang Besar, Singapore 508834",False,15/11/2025
508835,20 Jalan Loyang Besar,"20 Jalan Loyang Besar, Singapore 508835",False,15/11/2025
508855,2 Jalan Loyang Besar,"2 Jalan Loyang Besar, Singapore 508855",False,15/11/2025
508856,4 Jalan Loyang Besar,"4 Jalan Loyang Besar, Singapore 508856",False,15/11/2025
508857,6 Jalan Loyang Besar,"6 Jalan Loyang Besar, Singapore 508857",False,15/11/2025
508858,8 Jalan Loyang Besar,"8 Jalan Loyang Besar, Singapore 508858",False,15/11/2025
508859,10 Jalan Loyang Besar,"10 Jalan Loyang Besar, Singapore 508859",False,15/11/2025
508881,10 Changi Creek Way,"10 Changi Creek Way, Singapore 508881",False,15/11/2025
509970,Sree Ramar Temple,"49 Changi Village Road Sree Ramar Temple, Singapore 509970",True,15/11/2025
510591,591 Pasir Ris Green,"591 Pasir Ris Green, Singapore 510591",False,15/11/2025
510592,592 Pasir Ris Green,"592 Pasir Ris Green, Singapore 510592",False,15/11/2025
510593,593 Pasir Ris Drive 3,"593 Pasir Ris Drive 3, Singapore 510593",False,15/11/2025
510594,594 Pasir Ris Drive 3,"594 Pasir Ris Drive 3, Singapore 510594",False,15/11/2025
511591,591A Pasir Ris Green,"591A Pasir Ris Green, Singapore 511591",False,15/11/2025
511592,592A Pasir Ris Green,"592A Pasir Ris Green, Singapore 511592",False,15/11/2025
511593,593A Pasir Ris Drive 3,"593A Pasir Ris Drive 3, Singapore 511593",False,15/11/2025
511594,594A Pasir Ris Drive 3,"594A Pasir Ris Drive 3, Singapore 511594",False,15/11/2025
512591,591B Pasir Ris Green,"591B Pasir Ris Green, Singapore 512591",False,15/11/2025
512592,592B Pasir Ris Green,"592B Pasir Ris Green, Singapore 512592",False,15/11/2025
512593,593B Pasir Ris Drive 3,"593B Pasir Ris Drive 3, Singapore 512593",False,15/11/2025
512594,594B Pasir Ris Drive 3,"594B Pasir Ris Drive 3, Singapore 512594",False,15/11/2025
513593,593C Pasir Ris Drive 3,"593C Pasir Ris Drive 3, Singapore 513593",False,15/11/2025
520169,169 Simei Road,"169 Simei Road, Singapore 520169",False,15/11/2025
520170,170 Simei Road,"170 Simei Road, Singapore 520170",False,15/11/2025
521169,169A Simei Road,"169A Simei Road, Singapore 521169",False,15/11/2025
521170,170A Simei Road,"170A Simei Road, Singapore 521170",False,15/11/2025
522169,169B Simei Road,"169B Simei Road, Singapore 522169",False,15/11/2025
522170,170B Simei Road,"170B Simei Road, Singapore 522170",False,15/11/2025
534554,545 Upper Serangoon Road,"545 Upper Serangoon Road, Singapore 534554",False,15/11/2025
536012,Defu MRT Station (cr07),"1 Serangoon River Road Defu MRT Station (cr07), Singapore 536012",True,15/11/2025
536013,Kallang Paya Lebar Expressway,"600A Kallang Paya Lebar Expressway, Singapore 536013",True,15/11/2025
537197,1 Lorong Low Koon,"1 Lorong Low Koon, Singapore 537197",False,15/11/2025
546388,12A Rosyth Road,"12A Rosyth Road, Singapore 546388",False,15/11/2025
548917,50 Hillside Drive,"50 Hillside Drive, Singapore 548917",False,15/11/2025
548918,50A Hillside Drive,"50A Hillside Drive, Singapore 548918",False,15/11/2025
548919,50B Hillside Drive,"50B Hillside Drive, Singapore 548919",False,15/11/2025
558032,Serangoon Garden Estate,"31 Cowdray Avenue Serangoon Garden Estate, Singapore 558032",True,15/11/2025
559496,2G Burghley Drive,"2G Burghley Drive, Singapore 559496",False,15/11/2025
559592,8A Brighton Crescent,"8A Brighton Crescent, Singapore 559592",False,15/11/2025
559593,8B Brighton Crescent,"8B Brighton Crescent, Singapore 559593",False,15/11/2025
559890,Serangoon Garden Estate,"3B Berwick Drive Serangoon Garden Estate, Singapore 559890",True,15/11/2025
559991,Serangoon Garden Estate,"3C Berwick Drive Serangoon Garden Estate, Singapore 559991",True,15/11/2025
559992,Serangoon Garden Estate,"3D Berwick Drive Serangoon Garden Estate, Singapore 559992",True,15/11/2025
559993,Serangoon Garden Estate,"3E Berwick Drive Serangoon Garden Estate, Singapore 559993",True,15/11/2025
560733,733 Ang Mo Kio Central 3,"733 Ang Mo Kio Central 3, Singapore 560733",False,15/11/2025
560734,734 Ang Mo Kio Central 3,"734 Ang Mo Kio Central 3, Singapore 560734",False,15/11/2025
561733,733A Ang Mo Kio Central 3,"733A Ang Mo Kio Central 3, Singapore 561733",False,15/11/2025
561734,734A Ang Mo Kio Central 3,"734A Ang Mo Kio Central 3, Singapore 561734",False,15/11/2025
562733,733B Ang Mo Kio Central 3,"733B Ang Mo Kio Central 3, Singapore 562733",False,15/11/2025
568618,Mayflower Gardens,"29 Mayflower Road Mayflower Gardens, Singapore 568618",True,15/11/2025
569942,Ang Mo Kio MRT Station (cr11),"80 Ang Mo Kio Avenue 3 Ang Mo Kio MRT Station (cr11), Singapore 569942",True,15/11/2025
575557,51 Upper Thomson Road,"51 Upper Thomson Road, Singapore 575557",False,15/11/2025
578703,9L Jalan Berjaya,"9L Jalan Berjaya, Singapore 578703",False,15/11/2025
578970,Adelphi Park Estate,"13 Gardenia Road Adelphi Park Estate, Singapore 578970",True,15/11/2025
589682,Beauty World Integrated Transport Hub,"100 Upper Bukit Timah Road Beauty World Integrated Transport Hub, Singapore 589682",True,15/11/2025
601338,338A Jurong East Avenue 1,"338A Jurong East Avenue 1, Singapore 601338",False,15/11/2025
610133,133 Yung Ho Walk,"133 Yung Ho Walk, Singapore 610133",False,15/11/2025
610134,134 Yung Ho Walk,"134 Yung Ho Walk, Singapore 610134",False,15/11/2025
610135,135 Yung Ho Walk,"135 Yung Ho Walk, Singapore 610135",False,15/11/2025
610136,136 Yung Ho Walk,"136 Yung Ho Walk, Singapore 610136",False,15/11/2025
611066,66A Yung Kuang Road,"66A Yung Kuang Road, Singapore 611066",False,15/11/2025
611134,134A Yung Ho Walk,"134A Yung Ho Walk, Singapore 611134",False,15/11/2025
611135,135A Yung Ho Walk,"135A Yung Ho Walk, Singapore 611135",False,15/11/2025
611136,136A Yung Ho Walk,"136A Yung Ho Walk, Singapore 611136",False,15/11/2025
612134,134B Yung Ho Walk,"134B Yung Ho Walk, Singapore 612134",False,15/11/2025
612135,135B Yung Ho Walk,"135B Yung Ho Walk, Singapore 612135",False,15/11/2025
619657,Taman Jurong Polyclinic,"20 Yung Kuang Road Taman Jurong Polyclinic, Singapore 619657",True,15/11/2025
619662,6A Yung Ho Road,"6A Yung Ho Road, Singapore 619662",False,15/11/2025
619794,21 Jalan Tukang,"21 Jalan Tukang, Singapore 619794",False,15/11/2025
619834,2G Jalan Papan,"2G Jalan Papan, Singapore 619834",False,15/11/2025
619835,2E Jalan Papan,"2E Jalan Papan, Singapore 619835",False,15/11/2025
628638,23 Lok Yang Way,"23 Lok Yang Way, Singapore 628638",False,15/11/2025
637132,10A Tuas South Avenue 12,"10A Tuas South Avenue 12, Singapore 637132",False,15/11/2025
639061,6 Tuas View Drive,"6 Tuas View Drive, Singapore 639061",False,15/11/2025
639064,24 Tuas South Avenue 10,"24 Tuas South Avenue 10, Singapore 639064",False,15/11/2025
641427,427A Jurong West Avenue 1,"427A Jurong West Avenue 1, Singapore 641427",False,15/11/2025
649920,500 Jalan Bahar,"500 Jalan Bahar, Singapore 649920",False,15/11/2025
659839,10 Bukit Batok West Avenue 9,"10 Bukit Batok West Avenue 9, Singapore 659839",False,15/11/2025
670027,27 Woodlands Road,"27 Woodlands Road, Singapore 670027",False,15/11/2025
670033,33 Woodlands Road,"33 Woodlands Road, Singapore 670033",False,15/11/2025
670489,489 Bukit Panjang Ring Road,"489 Bukit Panjang Ring Road, Singapore 670489",False,15/11/2025
670490,490 Bukit Panjang Ring Road,"490 Bukit Panjang Ring Road, Singapore 670490",False,15/11/2025
670491,491 Bukit Panjang Ring Road,"491 Bukit Panjang Ring Road, Singapore 670491",False,15/11/2025
671489,489A Bukit Panjang Ring Road,"489A Bukit Panjang Ring Road, Singapore 671489",False,15/11/2025
671490,490A Bukit Panjang Ring Road,"490A Bukit Panjang Ring Road, Singapore 671490",False,15/11/2025
671491,491A Bukit Panjang Ring Road,"491A Bukit Panjang Ring Road, Singapore 671491",False,15/11/2025
672490,490B Bukit Panjang Ring Road,"490B Bukit Panjang Ring Road, Singapore 672490",False,15/11/2025
672491,491B Bukit Panjang Ring Road,"491B Bukit Panjang Ring Road, Singapore 672491",False,15/11/2025
673491,491C Bukit Panjang Ring Road,"491C Bukit Panjang Ring Road, Singapore 673491",False,15/11/2025
679350,20A Segar Road,"20A Segar Road, Singapore 679350",False,15/11/2025
699853,Depot,"5 Tengah Close Depot, Singapore 699853",True,15/11/2025
699859,Depot,"3 Tengah Close Depot, Singapore 699859",True,15/11/2025
699929,Tengah Plantation MRT Station (je1),"21 Plantation Crescent Tengah Plantation MRT Station (je1), Singapore 699929",True,15/11/2025
699930,3 Plantation Crescent,"3 Plantation Crescent, Singapore 699930",False,15/11/2025
719830,7 Neo Tiew Harvest Link,"7 Neo Tiew Harvest Link, Singapore 719830",False,15/11/2025
719969,103 Lim Chu Kang Lane 3,"103 Lim Chu Kang Lane 3, Singapore 719969",False,15/11/2025
730219,219 Marsiling Lane,"219 Marsiling Lane, Singapore 730219",False,15/11/2025
730220,220 Marsiling Lane,"220 Marsiling Lane, Singapore 730220",False,15/11/2025
730221,221 Marsiling Lane,"221 Marsiling Lane, Singapore 730221",False,15/11/2025
730223,223 Marsiling Lane,"223 Marsiling Lane, Singapore 730223",False,15/11/2025
730224,224 Marsiling Lane,"224 Marsiling Lane, Singapore 730224",False,15/11/2025
731219,219A Marsiling Lane,"219A Marsiling Lane, Singapore 731219",False,15/11/2025
731220,220A Marsiling Lane,"220A Marsiling Lane, Singapore 731220",False,15/11/2025
731221,221A Marsiling Lane,"221A Marsiling Lane, Singapore 731221",False,15/11/2025
731223,223A Marsiling Lane,"223A Marsiling Lane, Singapore 731223",False,15/11/2025
731224,224A Marsiling Lane,"224A Marsiling Lane, Singapore 731224",False,15/11/2025
732223,223B Marsiling Lane,"223B Marsiling Lane, Singapore 732223",False,15/11/2025
738950,Woodlands Centre Road,"30A Woodlands Centre Road, Singapore 738950",True,15/11/2025
738951,80 Woodlands Drive 16,"80 Woodlands Drive 16, Singapore 738951",False,15/11/2025
739312,Woodlands Polyclinic ()annex Block),"10A Woodlands Street 31 Woodlands Polyclinic ()annex Block), Singapore 739312",True,15/11/2025
739342,Woodlands Checkpoint Extension,"1 Woodlands Centre Road Woodlands Checkpoint Extension, Singapore 739342",True,15/11/2025
758941,575 Sembawang Place,"575 Sembawang Place, Singapore 758941",False,15/11/2025
760962,962 Bah Soon Pah Road,"962 Bah Soon Pah Road, Singapore 760962",False,15/11/2025
760964,964 Bah Soon Pah Road,"964 Bah Soon Pah Road, Singapore 760964",False,15/11/2025
760965,965 Bah Soon Pah Road,"965 Bah Soon Pah Road, Singapore 760965",False,15/11/2025
760966,966 Bah Soon Pah Road,"966 Bah Soon Pah Road, Singapore 760966",False,15/11/2025
760967,967 Bah Soon Pah Road,"967 Bah Soon Pah Road, Singapore 760967",False,15/11/2025
760968,968 Bah Soon Pah Road,"968 Bah Soon Pah Road, Singapore 760968",False,15/11/2025
761962,962A Bah Soon Pah Road,"962A Bah Soon Pah Road, Singapore 761962",False,15/11/2025
761964,964A Bah Soon Pah Road,"964A Bah Soon Pah Road, Singapore 761964",False,15/11/2025
761965,965A Bah Soon Pah Road,"965A Bah Soon Pah Road, Singapore 761965",False,15/11/2025
761967,967A Bah Soon Pah Road,"967A Bah Soon Pah Road, Singapore 761967",False,15/11/2025
761968,968A Bah Soon Pah Road,"968A Bah Soon Pah Road, Singapore 761968",False,15/11/2025
762962,962B Bah Soon Pah Road,"962B Bah Soon Pah Road, Singapore 762962",False,15/11/2025
762964,964B Bah Soon Pah Road,"964B Bah Soon Pah Road, Singapore 762964",False,15/11/2025
762965,965B Bah Soon Pah Road,"965B Bah Soon Pah Road, Singapore 762965",False,15/11/2025
762967,967B Bah Soon Pah Road,"967B Bah Soon Pah Road, Singapore 762967",False,15/11/2025
762968,968B Bah Soon Pah Road,"968B Bah Soon Pah Road, Singapore 762968",False,15/11/2025
763965,965C Bah Soon Pah Road,"965C Bah Soon Pah Road, Singapore 763965",False,15/11/2025
798368,398 Piccadilly,"398 Piccadilly, Singapore 798368",False,15/11/2025
804198,54 Pollen Rise,"54 Pollen Rise, Singapore 804198",False,15/11/2025
804203,47 Pollen Rise,"47 Pollen Rise, Singapore 804203",False,15/11/2025
804204,48 Pollen Rise,"48 Pollen Rise, Singapore 804204",False,15/11/2025
804205,49 Pollen Rise,"49 Pollen Rise, Singapore 804205",False,15/11/2025
804206,50 Pollen Rise,"50 Pollen Rise, Singapore 804206",False,15/11/2025
804207,52 Pollen Rise,"52 Pollen Rise, Singapore 804207",False,15/11/2025
804208,42 Pollen Rise,"42 Pollen Rise, Singapore 804208",False,15/11/2025
804209,43 Pollen Rise,"43 Pollen Rise, Singapore 804209",False,15/11/2025
804210,44 Pollen Rise,"44 Pollen Rise, Singapore 804210",False,15/11/2025
804211,45 Pollen Rise,"45 Pollen Rise, Singapore 804211",False,15/11/2025
804212,46 Pollen Rise,"46 Pollen Rise, Singapore 804212",False,15/11/2025
804213,37 Pollen Rise,"37 Pollen Rise, Singapore 804213",False,15/11/2025
804214,38 Pollen Rise,"38 Pollen Rise, Singapore 804214",False,15/11/2025
804215,39 Pollen Rise,"39 Pollen Rise, Singapore 804215",False,15/11/2025
804216,40 Pollen Rise,"40 Pollen Rise, Singapore 804216",False,15/11/2025
804217,41 Pollen Rise,"41 Pollen Rise, Singapore 804217",False,15/11/2025
804218,32 Pollen Rise,"32 Pollen Rise, Singapore 804218",False,15/11/2025
804219,33 Pollen Rise,"33 Pollen Rise, Singapore 804219",False,15/11/2025
804220,34 Pollen Rise,"34 Pollen Rise, Singapore 804220",False,15/11/2025
804221,35 Pollen Rise,"35 Pollen Rise, Singapore 804221",False,15/11/2025
804222,36 Pollen Rise,"36 Pollen Rise, Singapore 804222",False,15/11/2025
804223,27 Pollen Rise,"27 Pollen Rise, Singapore 804223",False,15/11/2025
804224,28 Pollen Rise,"28 Pollen Rise, Singapore 804224",False,15/11/2025
804225,29 Pollen Rise,"29 Pollen Rise, Singapore 804225",False,15/11/2025
804226,30 Pollen Rise,"30 Pollen Rise, Singapore 804226",False,15/11/2025
804227,31 Pollen Rise,"31 Pollen Rise, Singapore 804227",False,15/11/2025
804228,22 Pollen Rise,"22 Pollen Rise, Singapore 804228",False,15/11/2025
804229,23 Pollen Rise,"23 Pollen Rise, Singapore 804229",False,15/11/2025
804230,24 Pollen Rise,"24 Pollen Rise, Singapore 804230",False,15/11/2025
804231,25 Pollen Rise,"25 Pollen Rise, Singapore 804231",False,15/11/2025
804232,26 Pollen Rise,"26 Pollen Rise, Singapore 804232",False,15/11/2025
804233,17 Pollen Rise,"17 Pollen Rise, Singapore 804233",False,15/11/2025
804234,18 Pollen Rise,"18 Pollen Rise, Singapore 804234",False,15/11/2025
804235,19 Pollen Rise,"19 Pollen Rise, Singapore 804235",False,15/11/2025
804236,20 Pollen Rise,"20 Pollen Rise, Singapore 804236",False,15/11/2025
804237,21 Pollen Rise,"21 Pollen Rise, Singapore 804237",False,15/11/2025
804238,12 Pollen Rise,"12 Pollen Rise, Singapore 804238",False,15/11/2025
804239,13 Pollen Rise,"13 Pollen Rise, Singapore 804239",False,15/11/2025
804240,14 Pollen Rise,"14 Pollen Rise, Singapore 804240",False,15/11/2025
804241,15 Pollen Rise,"15 Pollen Rise, Singapore 804241",False,15/11/2025
804242,16 Pollen Rise,"16 Pollen Rise, Singapore 804242",False,15/11/2025
804243,7 Pollen Rise,"7 Pollen Rise, Singapore 804243",False,15/11/2025
804244,8 Pollen Rise,"8 Pollen Rise, Singapore 804244",False,15/11/2025
804245,9 Pollen Rise,"9 Pollen Rise, Singapore 804245",False,15/11/2025
804246,10 Pollen Rise,"10 Pollen Rise, Singapore 804246",False,15/11/2025
804247,11 Pollen Rise,"11 Pollen Rise, Singapore 804247",False,15/11/2025
804248,2 Pollen Rise,"2 Pollen Rise, Singapore 804248",False,15/11/2025
804249,3 Pollen Rise,"3 Pollen Rise, Singapore 804249",False,15/11/2025
804250,4 Pollen Rise,"4 Pollen Rise, Singapore 804250",False,15/11/2025
804251,5 Pollen Rise,"5 Pollen Rise, Singapore 804251",False,15/11/2025
804252,6 Pollen Rise,"6 Pollen Rise, Singapore 804252",False,15/11/2025
804253,1 Pollen Rise,"1 Pollen Rise, Singapore 804253",False,15/11/2025
804254,58 Pollen Lane,"58 Pollen Lane, Singapore 804254",False,15/11/2025
804255,60 Pollen Lane,"60 Pollen Lane, Singapore 804255",False,15/11/2025
804259,52 Pollen Lane,"52 Pollen Lane, Singapore 804259",False,15/11/2025
804260,53 Pollen Lane,"53 Pollen Lane, Singapore 804260",False,15/11/2025
804261,54 Pollen Lane,"54 Pollen Lane, Singapore 804261",False,15/11/2025
804262,55 Pollen Lane,"55 Pollen Lane, Singapore 804262",False,15/11/2025
804263,56 Pollen Lane,"56 Pollen Lane, Singapore 804263",False,15/11/2025
804264,47 Pollen Lane,"47 Pollen Lane, Singapore 804264",False,15/11/2025
804265,48 Pollen Lane,"48 Pollen Lane, Singapore 804265",False,15/11/2025
804266,49 Pollen Lane,"49 Pollen Lane, Singapore 804266",False,15/11/2025
