Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,89808,395 New Bridge Road,"395 New Bridge Road, Singapore 89808",Residential,27/05/2025,,
New Building,129675,43F West Coast Road,"43F West Coast Road, Singapore 129675",Residential,27/05/2025,,
New Building,129676,43G West Coast Road,"43G West Coast Road, Singapore 129676",Residential,27/05/2025,,
New Building,140018,Tanglin Halt Courtyard,"18 Tanglin Halt Road Tanglin Halt Courtyard, Singapore 140018",Non-Residential,27/05/2025,,
New Building,141017,Tanglin Halt Courtyard,"17A Tanglin Halt Road Tanglin Halt Courtyard, Singapore 141017",Non-Residential,27/05/2025,,
New Building,218210,0598 Serangoon Road,"0598 Serangoon Road, Singapore 218210",Residential,27/05/2025,,
New Building,249628,22 Orchard Boulevard,"22 Orchard Boulevard, Singapore 249628",Residential,27/05/2025,,
New Building,259384,Chip Hock Gardens,"118 Farrer Road Chip Hock Gardens, Singapore 259384",Non-Residential,27/05/2025,,
New Building,259407,Chip Hock Gardens,"120 Gallop Park Road Chip Hock Gardens, Singapore 259407",Non-Residential,27/05/2025,,
New Building,278138,Henry Park,"46A Mount Sinai Road Henry Park, Singapore 278138",Non-Residential,27/05/2025,,
New Building,278623,Mcmahon Park,"Holland Road Mcmahon Park, Singapore 278623",Non-Residential,27/05/2025,,
New Building,279035,2 Holland Village Way,"2 Holland Village Way, Singapore 279035",Residential,27/05/2025,,
New Building,279036,4 Holland Village Way,"4 Holland Village Way, Singapore 279036",Residential,27/05/2025,,
New Building,279037,6 Holland Village Way,"6 Holland Village Way, Singapore 279037",Residential,27/05/2025,,
New Building,279577,Henry Park,"2A Grove Avenue Henry Park, Singapore 279577",Non-Residential,27/05/2025,,
New Building,299920,Dunearn Estate,"Berrima Road, Singapore 299920",Residential,27/05/2025,,
New Building,320118,118 May Road,"118 May Road, Singapore 320118",Residential,27/05/2025,,
New Building,321118,118A May Road,"118A May Road, Singapore 321118",Residential,27/05/2025,,
New Building,380035,35 Upper Boon Keng Road,"35 Upper Boon Keng Road, Singapore 380035",Residential,27/05/2025,,
New Building,380036,36 Upper Boon Keng Road,"36 Upper Boon Keng Road, Singapore 380036",Residential,27/05/2025,,
New Building,380037,37 Upper Boon Keng Road,"37 Upper Boon Keng Road, Singapore 380037",Residential,27/05/2025,,
New Building,381036,36A Upper Boon Keng Road,"36A Upper Boon Keng Road, Singapore 381036",Residential,27/05/2025,,
New Building,381037,37A Upper Boon Keng Road,"37A Upper Boon Keng Road, Singapore 381037",Residential,27/05/2025,,
New Building,382037,37B Upper Boon Keng Road,"37B Upper Boon Keng Road, Singapore 382037",Residential,27/05/2025,,
New Building,410117,117 Jalan Kembangan,"117 Jalan Kembangan, Singapore 410117",Residential,27/05/2025,,
New Building,411117,117A Jalan Kembangan,"117A Jalan Kembangan, Singapore 411117",Residential,27/05/2025,,
New Building,412117,117B Jalan Kembangan,"117B Jalan Kembangan, Singapore 412117",Residential,27/05/2025,,
New Building,418001,18M Jalan Paras,"18M Jalan Paras, Singapore 418001",Residential,27/05/2025,,
New Building,419307,103A Jalan Senang,"103A Jalan Senang, Singapore 419307",Residential,27/05/2025,,
New Building,430024,24 Sampan Place,"24 Sampan Place, Singapore 430024",Residential,27/05/2025,,
New Building,430025,25 Sampan Place,"25 Sampan Place, Singapore 430025",Residential,27/05/2025,,
New Building,430026,26 Kampong Arang Road,"26 Kampong Arang Road, Singapore 430026",Residential,27/05/2025,,
New Building,430027,27 Kampong Arang Road,"27 Kampong Arang Road, Singapore 430027",Residential,27/05/2025,,
New Building,430028,28 Kampong Arang Road,"28 Kampong Arang Road, Singapore 430028",Residential,27/05/2025,,
New Building,430029,29 Kampong Arang Road,"29 Kampong Arang Road, Singapore 430029",Residential,27/05/2025,,
New Building,430031,31 Tanjong Rhu Close,"31 Tanjong Rhu Close, Singapore 430031",Residential,27/05/2025,,
New Building,430032,32 Tanjong Rhu Close,"32 Tanjong Rhu Close, Singapore 430032",Residential,27/05/2025,,
New Building,430033,33 Tanjong Rhu Close,"33 Tanjong Rhu Close, Singapore 430033",Residential,27/05/2025,,
