Postal Code,Building Name,Full Address,Non-Residential,Date Added
19964,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964",False,15/07/2025
119317,Lyndenwoods,"69 Science Park Drive Lyndenwoods, Singapore 119317",True,15/07/2025
120437,437 Clementi Close,"437 Clementi Close, Singapore 120437",False,15/07/2025
120438,438 Clementi Close,"438 Clementi Close, Singapore 120438",False,15/07/2025
121437,437A Clementi Close,"437A Clementi Close, Singapore 121437",False,15/07/2025
121438,438A Clementi Close,"438A Clementi Close, Singapore 121438",False,15/07/2025
122437,437B Clementi C,"437B Clementi C, Singapore 122437",False,15/07/2025
122438,438B Clementi C,"438B Clementi C, Singapore 122438",False,15/07/2025
169564,1 Zion Promendade,"1 Zion Promendade, Singapore 169564",False,15/07/2025
218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",False,15/07/2025
239637,11 River Valley Green,"11 River Valley Green, Singapore 239637",False,15/07/2025
259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",True,15/07/2025
278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",True,15/07/2025
279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",True,15/07/2025
299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",True,15/07/2025
299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",False,15/07/2025
309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",False,15/07/2025
309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",False,15/07/2025
309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",False,15/07/2025
309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",False,15/07/2025
338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",False,15/07/2025
338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",False,15/07/2025
338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",False,15/07/2025
367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",True,15/07/2025
426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",False,15/07/2025
438585,10 Founders Drive,"10 Founders Drive, Singapore 438585",False,15/07/2025
456285,33B Woo Mon Chew Road,"33B Woo Mon Chew Road, Singapore 456285",False,15/07/2025
489719,Changi Business Park Central 2,"89A Changi Business Park Central 2, Singapore 489719",True,15/07/2025
534554,545 Upper Serangoon Road,"545 Upper Serangoon Road, Singapore 534554",False,15/07/2025
546388,12A Rosyth Road,"12A Rosyth Road, Singapore 546388",False,15/07/2025
559890,Serangoon Garden Estate,"3B Berwick Drive Serangoon Garden Estate, Singapore 559890",True,15/07/2025
559991,Serangoon Garden Estate,"3C Berwick Drive Serangoon Garden Estate, Singapore 559991",True,15/07/2025
559992,Serangoon Garden Estate,"3D Berwick Drive Serangoon Garden Estate, Singapore 559992",True,15/07/2025
559993,Serangoon Garden Estate,"3E Berwick Drive Serangoon Garden Estate, Singapore 559993",True,15/07/2025
568618,Mayflower Gardens,"29 Mayflower Road Mayflower Gardens, Singapore 568618",True,15/07/2025
578703,9L Jalan Berjaya,"9L Jalan Berjaya, Singapore 578703",False,15/07/2025
578970,Adelphi Park Estate,"13 Gardenia Road Adelphi Park Estate, Singapore 578970",True,15/07/2025
601338,338A Jurong East Avenue 1,"338A Jurong East Avenue 1, Singapore 601338",False,15/07/2025
611066,66A Yung Kuang Road,"66A Yung Kuang Road, Singapore 611066",False,15/07/2025
619834,2G Jalan Papan,"2G Jalan Papan, Singapore 619834",False,15/07/2025
639061,6 Tuas View Drive,"6 Tuas View Drive, Singapore 639061",False,15/07/2025
641427,427A Jurong West Avenue 1,"427A Jurong West Avenue 1, Singapore 641427",False,15/07/2025
649920,500 Jalan Bahar,"500 Jalan Bahar, Singapore 649920",False,15/07/2025
679350,20A Segar Road,"20A Segar Road, Singapore 679350",False,15/07/2025
739312,Woodlands Polyclinic ()annex Block),"10A Woodlands Street 31 Woodlands Polyclinic ()annex Block), Singapore 739312",True,15/07/2025
759827,51 Canberra Crescent,"51 Canberra Crescent, Singapore 759827",False,15/07/2025
759828,53 Canberra Crescent,"53 Canberra Crescent, Singapore 759828",False,15/07/2025
759829,55 Canberra Crescent,"55 Canberra Crescent, Singapore 759829",False,15/07/2025
759830,57 Canberra Crescent,"57 Canberra Crescent, Singapore 759830",False,15/07/2025
788978,811 Upper Thomson Road,"811 Upper Thomson Road, Singapore 788978",False,15/07/2025
788979,813 Upper Thomson Road,"813 Upper Thomson Road, Singapore 788979",False,15/07/2025
788980,815 Upper Thomson Road,"815 Upper Thomson Road, Singapore 788980",False,15/07/2025
788981,817 Upper Thomson Road,"817 Upper Thomson Road, Singapore 788981",False,15/07/2025
788982,819 Upper Thomson Road,"819 Upper Thomson Road, Singapore 788982",False,15/07/2025
