blk_no,street,postal_code,name,lat,lon
1,BARBARY WALK,149860,SHEPHERD'S HILL ESTATE,1.29025396483741,103.805847898387
3,ANGORA CLOSE,149953,SHEPHERD'S HILL ESTATE,1.29189013698996,103.806258993694
15,ANGORA CLOSE,149959,SHEPHERD'S HILL ESTATE,1.29102673168427,103.805179456846
7,JALAN BUKIT MERAH,150007,NIL,1.28730052130543,103.807988268738
195,PEARL'S HILL TERRACE,168976,NIL,1.28401889471841,103.841554531024
54,WATERLOO STREET,187953,THE THEATRE PRACTICE,1.29856846634248,103.851028384623
152,WATERLOO STREET,187961,KRISHNAN TEMPLE,1.30051473190425,103.852696918565
116,MIDDLE ROAD,188972,ICB ENTERPRISE HOUSE,1.29927207170387,103.853507276608
250,MIDDLE ROAD,188983,NIL,1.30146797174426,103.850668044883
266,MIDDLE ROAD,188991,ELIAS BUILDING,1.30174161356211,103.85034916382
51,BRAS BASAH ROAD,189554,LAZADA ONE,1.29793747849037,103.850182257356
16,BALI LANE,189852,KAMPONG GLAM CONSERVATION AREA,1.300775602893,103.858828374063
55,JALAN SULTAN,198977,KAMPONG GLAM CONSERVATION AREA,1.30244611846016,103.861466062859
81,JALAN SULTAN,198990,NIL,1.30283956654724,103.861226392952
200,JALAN SULTAN,199018,TEXTILE CENTRE,1.30393835645617,103.861630792094
10,UPPER DICKSON ROAD,207470,LITTLE INDIA CONSERVATION AREA,1.30633639902677,103.852299884549
178,TYRWHITT ROAD,207577,AQUEEN PRESTIGE HOTEL - LAVENDER,1.31217007936864,103.861053603138
50,SOMME ROAD,207871,NIL,1.31097982184865,103.858361563272
44,SAM LEONG ROAD,207934,NIL,1.30988686626921,103.856570543369
301,JALAN BESAR,208962,NIL,1.31116816546268,103.858844512385
305,JALAN BESAR,208966,NIL,1.31128761580669,103.85888493716
305A,JALAN BESAR,208966,NIL,1.31128761580669,103.858884936888
305B,JALAN BESAR,208966,NIL,1.31128761580669,103.858884936888
305C,JALAN BESAR,208966,NIL,1.31128761580669,103.858884936888
309,JALAN BESAR,208968,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,1.31132587055681,103.858962389647
309A,JALAN BESAR,208968,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,1.31132587055681,103.858962389647
3,ALLENBY ROAD,209974,NIL,1.31032613893907,103.858995574003
9,SING JOO WALK,217821,NIL,1.31493297480958,103.855218084854
9A,SING JOO WALK,217821,NIL,1.31493297480958,103.855218084854
78,SERANGOON ROAD,217983,LITTLE INDIA CONSERVATION AREA,1.30645561632369,103.851969764304
82,SERANGOON ROAD,217987,LITTLE INDIA CONSERVATION AREA,1.30652662558485,103.852017142103
99,SERANGOON ROAD,218004,LITTLE INDIA CONSERVATION AREA,1.30707603757337,103.851967510148
99A,SERANGOON ROAD,218004,LITTLE INDIA CONSERVATION AREA,1.30707603757337,103.851967510419
102,SERANGOON ROAD,218007,LITTLE INDIA CONSERVATION AREA,1.30696027778789,103.852334844726
102A,SERANGOON ROAD,218007,LITTLE INDIA CONSERVATION AREA,1.30696027778789,103.852334844726
244,SERANGOON ROAD,218088,NIL,1.30986004816034,103.854183097285
586,SERANGOON ROAD,218200,NIL,1.3149211981517,103.858084715421
152,RANGOON ROAD,218429,NIL,1.31618839419555,103.853449274954
152A,RANGOON ROAD,218429,NIL,1.31618839446928,103.853449275226
152B,RANGOON ROAD,218429,NIL,1.31618839446928,103.853449275226
410,RACE COURSE ROAD,218658,NIL,1.31533469729462,103.857548654019
8,RACE COURSE LANE,218735,NIL,1.30952958461491,103.852864384656
8A,RACE COURSE LANE,218735,NIL,1.30952958461491,103.852864384927
8B,RACE COURSE LANE,218735,NIL,1.30952958461491,103.852864384927
134,OWEN ROAD,218937,NIL,1.31434050618826,103.852709752557
158,OWEN ROAD,218952,NIL,1.31469646478289,103.85244895248
41,KERBAU ROAD,219170,LITTLE INDIA CONSERVATION AREA,1.3071643724676,103.850847649707
50,JOO AVENUE,219347,NIL,1.31564380779709,103.854265866635
27,CARLISLE ROAD,219653,NIL,1.31379974906604,103.848524278093
11,JALAN KAYU MANIS,228973,KIMSIA PARK,1.30490264119301,103.834695087106
26,CAIRNHILL ROAD,229655,EMERALD HILL CONSERVATION AREA,1.30331980743622,103.838006706985
10,MARTIN PLACE,237963,MARTIN MODERN,1.29303736708345,103.837772811242
15,TANK ROAD,238065,SRI THENDAYUTHAPANI TEMPLE,1.29440113572579,103.843069489324
49,OXLEY ROAD,238635,OXLEY RESIDENCE,1.29681261311377,103.841190866215
57,MOHAMED SULTAN ROAD,238997,SULTAN-LINK,1.29195461036688,103.839607417226
43,GRANGE ROAD,239705,NIL,1.29948776973855,103.831261585568
302,TANGLIN ROAD,247971,BLK K (PHOENIX PARK OFFICE CAMPUS),1.29772973805477,103.816348381521
302,TANGLIN ROAD,247971,BLK L (PHOENIX PARK OFFICE CAMPUS),1.2975413679411,103.815956724419
5,TANGLIN RISE,247987,TANGLIN HILL CONDOMINIUM,1.30190731505382,103.817612215665
5A,TANGLIN RISE,247987,TANGLIN HILL CONDOMINIUM,1.30189655438619,103.817620092302
2,KAY POH ROAD,248973,THE ASTON,1.29593645811863,103.829849815157
41,JALAN KELAWAR,249276,NIL,1.30065332106951,103.827266750961
8,CHATSWORTH PARK,249815,NIL,1.29759852662006,103.820885267941
16,GALLOP ROAD,258980,GALLOP PARK,1.31712863108796,103.810994684094
2B,ARDMORE PARK,259949,ARDMORE II,1.30958778399004,103.827607798009
6,PRINCE OF WALES ROAD,266968,NIL,1.32395402866033,103.809067670349
8,PRINCE OF WALES ROAD,266969,NIL,1.32383140261269,103.809012344141
24,PRINCE OF WALES ROAD,266977,NIL,1.32298952219267,103.808430633319
5,NAMLY CLOSE,267590,SHAMROCK PARK,1.32563867944205,103.79848497442
51,NAMLY AVENUE,267622,SHAMROCK PARK,1.32639007160825,103.79818112406
58,NAMLY AVENUE,267629,SHAMROCK PARK,1.3266324546376,103.797645848322
65,NAMLY AVENUE,267635,SHAMROCK PARK,1.32560511063803,103.797354463653
23,KINGSMEAD ROAD,267974,NIL,1.32045423228164,103.805169348468
46,KINGSMEAD ROAD,267993,NIL,1.3203282474549,103.806140024003
54H,KING'S ROAD,268108,KING'S GARDEN,1.32085636892693,103.807160195066
66,DUCHESS AVENUE,269204,DUCHESS CREST,1.32466425522295,103.802991509306
18,ASTRID HILL,269941,NIL,1.31983992426216,103.793057523363
5,ASTRID HILL,269944,NIL,1.32014063388856,103.791353058867
11,HOLLAND DRIVE,271011,HOLLAND VISTA,1.30905394546184,103.794063120888
380,LAUREL WOOD AVENUE,275973,THE TENERIFFE,1.32647701459032,103.791033436178
386,LAUREL WOOD AVENUE,275976,THE TENERIFFE,1.32647701459032,103.791033436178
390,LAUREL WOOD AVENUE,275978,THE TENERIFFE,1.32652406354317,103.790686105495
