Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name
Name Change,649000,Jin Fu Gong Temple,"20 Jurong West Street 92 Jin Fu Gong Temple, Singapore 649000",Non-Residential,15/05/2026,NIL
Name Change,327920,3 Saint Wilfred Road,"3 Saint Wilfred Road, Singapore 327920",Residential,15/05/2026,SAINT WILFRID FIELD
