Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,188546,67 Queen Street,"67 Queen Street, Singapore 188546",Residential,04/09/2025,,
New Building,190020,20 Crawford Street,"20 Crawford Street, Singapore 190020",Residential,04/09/2025,,
New Building,190021,21 Crawford Street,"21 Crawford Street, Singapore 190021",Residential,04/09/2025,,
New Building,191020,20A Crawford Street,"20A Crawford Street, Singapore 191020",Residential,04/09/2025,,
New Building,218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",Residential,04/09/2025,,
New Building,239595,17 Unity Street,"17 Unity Street, Singapore 239595",Residential,04/09/2025,,
New Building,247811,1 Zion Close,"1 Zion Close, Singapore 247811",Residential,04/09/2025,,
New Building,259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",Non-Residential,04/09/2025,,
New Building,270067,67 Holland Village Way,"67 Holland Village Way, Singapore 270067",Residential,04/09/2025,,
New Building,270068,68 Holland Village Way,"68 Holland Village Way, Singapore 270068",Residential,04/09/2025,,
New Building,271068,68A Holland Village Way,"68A Holland Village Way, Singapore 271068",Residential,04/09/2025,,
New Building,278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",Non-Residential,04/09/2025,,
New Building,279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",Non-Residential,04/09/2025,,
New Building,299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",Non-Residential,04/09/2025,,
New Building,299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",Residential,04/09/2025,,
New Building,308076,2 Moulmein Road,"2 Moulmein Road, Singapore 308076",Residential,04/09/2025,,
New Building,309297,2A Jalan Pasiran,"2A Jalan Pasiran, Singapore 309297",Residential,04/09/2025,,
New Building,309313,4 Jalan Pasir Ria,"4 Jalan Pasir Ria, Singapore 309313",Residential,04/09/2025,,
New Building,309314,4A Jalan Pasir Ria,"4A Jalan Pasir Ria, Singapore 309314",Residential,04/09/2025,,
New Building,309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",Residential,04/09/2025,,
New Building,309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",Residential,04/09/2025,,
New Building,309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",Residential,04/09/2025,,
New Building,309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",Residential,04/09/2025,,
New Building,338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",Residential,04/09/2025,,
New Building,338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",Residential,04/09/2025,,
New Building,338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",Residential,04/09/2025,,
New Building,367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",Non-Residential,04/09/2025,,
New Building,370135,135 Merpati Road,"135 Merpati Road, Singapore 370135",Residential,04/09/2025,,
New Building,370136,136 Merpati Road,"136 Merpati Road, Singapore 370136",Residential,04/09/2025,,
New Building,371135,135A Merpati Road,"135A Merpati Road, Singapore 371135",Residential,04/09/2025,,
New Building,371136,136A Merpati Road,"136A Merpati Road, Singapore 371136",Residential,04/09/2025,,
New Building,419383,Kimnan Park,"68A Jalan Selamat Kimnan Park, Singapore 419383",Non-Residential,04/09/2025,,
New Building,426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",Residential,04/09/2025,,
New Building,438585,10 Founders Drive,"10 Founders Drive, Singapore 438585",Residential,04/09/2025,,
New Building,438662,47 Meyer Road,"47 Meyer Road, Singapore 438662",Residential,04/09/2025,,
New Building,456285,33B Woo Mon Chew Road,"33B Woo Mon Chew Road, Singapore 456285",Residential,04/09/2025,,
New Building,456827,Marine Garden,"26C Siglap Road Marine Garden, Singapore 456827",Non-Residential,04/09/2025,,
New Building,460911,911 Bayshore Street,"911 Bayshore Street, Singapore 460911",Residential,04/09/2025,,
New Building,460912,912 Bayshore Street,"912 Bayshore Street, Singapore 460912",Residential,04/09/2025,,
New Building,460913,913 Bayshore Street,"913 Bayshore Street, Singapore 460913",Residential,04/09/2025,,
New Building,460914,914 Bayshore Street,"914 Bayshore Street, Singapore 460914",Residential,04/09/2025,,
New Building,460915,915 Bayshore Street,"915 Bayshore Street, Singapore 460915",Residential,04/09/2025,,
New Building,460916,916 Bayshore Street,"916 Bayshore Street, Singapore 460916",Residential,04/09/2025,,
New Building,461911,911A Bayshore Street,"911A Bayshore Street, Singapore 461911",Residential,04/09/2025,,
New Building,461912,912A Bayshore Street,"912A Bayshore Street, Singapore 461912",Residential,04/09/2025,,
New Building,461914,914A Bayshore Street,"914A Bayshore Street, Singapore 461914",Residential,04/09/2025,,
New Building,461915,915A Bayshore Street,"915A Bayshore Street, Singapore 461915",Residential,04/09/2025,,
New Building,461916,916A Bayshore Street,"916A Bayshore Street, Singapore 461916",Residential,04/09/2025,,
New Building,462911,911B Bayshore Street,"911B Bayshore Street, Singapore 462911",Residential,04/09/2025,,
New Building,462912,912B Bayshore Street,"912B Bayshore Street, Singapore 462912",Residential,04/09/2025,,
New Building,462915,915B Bayshore Street,"915B Bayshore Street, Singapore 462915",Residential,04/09/2025,,
New Building,462916,916B Bayshore Street,"916B Bayshore Street, Singapore 462916",Residential,04/09/2025,,
New Building,463911,911C Bayshore Street,"911C Bayshore Street, Singapore 463911",Residential,04/09/2025,,
New Building,463912,912C Bayshore Street,"912C Bayshore Street, Singapore 463912",Residential,04/09/2025,,
New Building,468466,109 Tanah Merah Kechil Road South,"109 Tanah Merah Kechil Road South, Singapore 468466",Residential,04/09/2025,,
New Building,468467,111 Tanah Merah Kechil Road South,"111 Tanah Merah Kechil Road South, Singapore 468467",Residential,04/09/2025,,
New Building,468468,113 Tanah Merah Kechil Road South,"113 Tanah Merah Kechil Road South, Singapore 468468",Residential,04/09/2025,,
New Building,489719,Changi Business Park Central 2,"89A Changi Business Park Central 2, Singapore 489719",Non-Residential,04/09/2025,,
New Building,509970,Sree Ramar Temple,"49 Changi Village Road Sree Ramar Temple, Singapore 509970",Non-Residential,04/09/2025,,
New Building,510591,591 Pasir Ris Green,"591 Pasir Ris Green, Singapore 510591",Residential,04/09/2025,,
New Building,510592,592 Pasir Ris Green,"592 Pasir Ris Green, Singapore 510592",Residential,04/09/2025,,
New Building,510593,593 Pasir Ris Drive 3,"593 Pasir Ris Drive 3, Singapore 510593",Residential,04/09/2025,,
New Building,510594,594 Pasir Ris Drive 3,"594 Pasir Ris Drive 3, Singapore 510594",Residential,04/09/2025,,
New Building,511591,591A Pasir Ris Green,"591A Pasir Ris Green, Singapore 511591",Residential,04/09/2025,,
New Building,511592,592A Pasir Ris Green,"592A Pasir Ris Green, Singapore 511592",Residential,04/09/2025,,
New Building,511593,593A Pasir Ris Drive 3,"593A Pasir Ris Drive 3, Singapore 511593",Residential,04/09/2025,,
New Building,511594,594A Pasir Ris Drive 3,"594A Pasir Ris Drive 3, Singapore 511594",Residential,04/09/2025,,
New Building,512591,591B Pasir Ris Green,"591B Pasir Ris Green, Singapore 512591",Residential,04/09/2025,,
New Building,512592,592B Pasir Ris Green,"592B Pasir Ris Green, Singapore 512592",Residential,04/09/2025,,
New Building,512593,593B Pasir Ris Drive 3,"593B Pasir Ris Drive 3, Singapore 512593",Residential,04/09/2025,,
New Building,512594,594B Pasir Ris Drive 3,"594B Pasir Ris Drive 3, Singapore 512594",Residential,04/09/2025,,
New Building,513593,593C Pasir Ris Drive 3,"593C Pasir Ris Drive 3, Singapore 513593",Residential,04/09/2025,,
New Building,534554,545 Upper Serangoon Road,"545 Upper Serangoon Road, Singapore 534554",Residential,04/09/2025,,
New Building,546388,12A Rosyth Road,"12A Rosyth Road, Singapore 546388",Residential,04/09/2025,,
New Building,548917,50 Hillside Drive,"50 Hillside Drive, Singapore 548917",Residential,04/09/2025,,
New Building,548918,50A Hillside Drive,"50A Hillside Drive, Singapore 548918",Residential,04/09/2025,,
New Building,548919,50B Hillside Drive,"50B Hillside Drive, Singapore 548919",Residential,04/09/2025,,
New Building,558032,Serangoon Garden Estate,"31 Cowdray Avenue Serangoon Garden Estate, Singapore 558032",Non-Residential,04/09/2025,,
New Building,559592,8A Brighton Crescent,"8A Brighton Crescent, Singapore 559592",Residential,04/09/2025,,
New Building,559593,8B Brighton Crescent,"8B Brighton Crescent, Singapore 559593",Residential,04/09/2025,,
New Building,559890,Serangoon Garden Estate,"3B Berwick Drive Serangoon Garden Estate, Singapore 559890",Non-Residential,04/09/2025,,
New Building,559991,Serangoon Garden Estate,"3C Berwick Drive Serangoon Garden Estate, Singapore 559991",Non-Residential,04/09/2025,,
New Building,559992,Serangoon Garden Estate,"3D Berwick Drive Serangoon Garden Estate, Singapore 559992",Non-Residential,04/09/2025,,
New Building,559993,Serangoon Garden Estate,"3E Berwick Drive Serangoon Garden Estate, Singapore 559993",Non-Residential,04/09/2025,,
New Building,568618,Mayflower Gardens,"29 Mayflower Road Mayflower Gardens, Singapore 568618",Non-Residential,04/09/2025,,
New Building,575557,51 Upper Thomson Road,"51 Upper Thomson Road, Singapore 575557",Residential,04/09/2025,,
New Building,578703,9L Jalan Berjaya,"9L Jalan Berjaya, Singapore 578703",Residential,04/09/2025,,
New Building,578970,Adelphi Park Estate,"13 Gardenia Road Adelphi Park Estate, Singapore 578970",Non-Residential,04/09/2025,,
New Building,601338,338A Jurong East Avenue 1,"338A Jurong East Avenue 1, Singapore 601338",Residential,04/09/2025,,
New Building,610133,133 Yung Ho Walk,"133 Yung Ho Walk, Singapore 610133",Residential,04/09/2025,,
New Building,610134,134 Yung Ho Walk,"134 Yung Ho Walk, Singapore 610134",Residential,04/09/2025,,
New Building,610135,135 Yung Ho Walk,"135 Yung Ho Walk, Singapore 610135",Residential,04/09/2025,,
New Building,610136,136 Yung Ho Walk,"136 Yung Ho Walk, Singapore 610136",Residential,04/09/2025,,
New Building,611066,66A Yung Kuang Road,"66A Yung Kuang Road, Singapore 611066",Residential,04/09/2025,,
New Building,611134,134A Yung Ho Walk,"134A Yung Ho Walk, Singapore 611134",Residential,04/09/2025,,
New Building,611135,135A Yung Ho Walk,"135A Yung Ho Walk, Singapore 611135",Residential,04/09/2025,,
New Building,611136,136A Yung Ho Walk,"136A Yung Ho Walk, Singapore 611136",Residential,04/09/2025,,
New Building,612134,134B Yung Ho Walk,"134B Yung Ho Walk, Singapore 612134",Residential,04/09/2025,,
New Building,612135,135B Yung Ho Walk,"135B Yung Ho Walk, Singapore 612135",Residential,04/09/2025,,
New Building,619657,Taman Jurong Polyclinic,"20 Yung Kuang Road Taman Jurong Polyclinic, Singapore 619657",Non-Residential,04/09/2025,,
New Building,619662,6A Yung Ho Road,"6A Yung Ho Road, Singapore 619662",Residential,04/09/2025,,
New Building,619794,21 Jalan Tukang,"21 Jalan Tukang, Singapore 619794",Residential,04/09/2025,,
New Building,619834,2G Jalan Papan,"2G Jalan Papan, Singapore 619834",Residential,04/09/2025,,
New Building,619835,2E Jalan Papan,"2E Jalan Papan, Singapore 619835",Residential,04/09/2025,,
New Building,637132,10A Tuas South Avenue 12,"10A Tuas South Avenue 12, Singapore 637132",Residential,04/09/2025,,
New Building,639061,6 Tuas View Drive,"6 Tuas View Drive, Singapore 639061",Residential,04/09/2025,,
New Building,641427,427A Jurong West Avenue 1,"427A Jurong West Avenue 1, Singapore 641427",Residential,04/09/2025,,
New Building,649920,500 Jalan Bahar,"500 Jalan Bahar, Singapore 649920",Residential,04/09/2025,,
New Building,659839,10 Bukit Batok West Avenue 9,"10 Bukit Batok West Avenue 9, Singapore 659839",Residential,04/09/2025,,
New Building,670027,27 Woodlands Road,"27 Woodlands Road, Singapore 670027",Residential,04/09/2025,,
New Building,670033,33 Woodlands Road,"33 Woodlands Road, Singapore 670033",Residential,04/09/2025,,
New Building,679350,20A Segar Road,"20A Segar Road, Singapore 679350",Residential,04/09/2025,,
New Building,719969,103 Lim Chu Kang Lane 3,"103 Lim Chu Kang Lane 3, Singapore 719969",Residential,04/09/2025,,
New Building,730219,219 Marsiling Lane,"219 Marsiling Lane, Singapore 730219",Residential,04/09/2025,,
New Building,730220,220 Marsiling Lane,"220 Marsiling Lane, Singapore 730220",Residential,04/09/2025,,
New Building,730221,221 Marsiling Lane,"221 Marsiling Lane, Singapore 730221",Residential,04/09/2025,,
New Building,730223,223 Marsiling Lane,"223 Marsiling Lane, Singapore 730223",Residential,04/09/2025,,
New Building,730224,224 Marsiling Lane,"224 Marsiling Lane, Singapore 730224",Residential,04/09/2025,,
New Building,731219,219A Marsiling Lane,"219A Marsiling Lane, Singapore 731219",Residential,04/09/2025,,
New Building,731220,220A Marsiling Lane,"220A Marsiling Lane, Singapore 731220",Residential,04/09/2025,,
New Building,731221,221A Marsiling Lane,"221A Marsiling Lane, Singapore 731221",Residential,04/09/2025,,
New Building,731223,223A Marsiling Lane,"223A Marsiling Lane, Singapore 731223",Residential,04/09/2025,,
New Building,731224,224A Marsiling Lane,"224A Marsiling Lane, Singapore 731224",Residential,04/09/2025,,
New Building,732223,223B Marsiling Lane,"223B Marsiling Lane, Singapore 732223",Residential,04/09/2025,,
New Building,738951,80 Woodlands Drive 16,"80 Woodlands Drive 16, Singapore 738951",Residential,04/09/2025,,
New Building,739312,Woodlands Polyclinic ()annex Block),"10A Woodlands Street 31 Woodlands Polyclinic ()annex Block), Singapore 739312",Non-Residential,04/09/2025,,
New Building,758941,575 Sembawang Place,"575 Sembawang Place, Singapore 758941",Residential,04/09/2025,,
New Building,760962,962 Bah Soon Pah Road,"962 Bah Soon Pah Road, Singapore 760962",Residential,04/09/2025,,
New Building,760964,964 Bah Soon Pah Road,"964 Bah Soon Pah Road, Singapore 760964",Residential,04/09/2025,,
New Building,760965,965 Bah Soon Pah Road,"965 Bah Soon Pah Road, Singapore 760965",Residential,04/09/2025,,
New Building,760966,966 Bah Soon Pah Road,"966 Bah Soon Pah Road, Singapore 760966",Residential,04/09/2025,,
New Building,760967,967 Bah Soon Pah Road,"967 Bah Soon Pah Road, Singapore 760967",Residential,04/09/2025,,
New Building,760968,968 Bah Soon Pah Road,"968 Bah Soon Pah Road, Singapore 760968",Residential,04/09/2025,,
New Building,761962,962A Bah Soon Pah Road,"962A Bah Soon Pah Road, Singapore 761962",Residential,04/09/2025,,
New Building,761964,964A Bah Soon Pah Road,"964A Bah Soon Pah Road, Singapore 761964",Residential,04/09/2025,,
New Building,761965,965A Bah Soon Pah Road,"965A Bah Soon Pah Road, Singapore 761965",Residential,04/09/2025,,
New Building,761967,967A Bah Soon Pah Road,"967A Bah Soon Pah Road, Singapore 761967",Residential,04/09/2025,,
New Building,761968,968A Bah Soon Pah Road,"968A Bah Soon Pah Road, Singapore 761968",Residential,04/09/2025,,
New Building,762962,962B Bah Soon Pah Road,"962B Bah Soon Pah Road, Singapore 762962",Residential,04/09/2025,,
New Building,762964,964B Bah Soon Pah Road,"964B Bah Soon Pah Road, Singapore 762964",Residential,04/09/2025,,
New Building,762965,965B Bah Soon Pah Road,"965B Bah Soon Pah Road, Singapore 762965",Residential,04/09/2025,,
New Building,762967,967B Bah Soon Pah Road,"967B Bah Soon Pah Road, Singapore 762967",Residential,04/09/2025,,
New Building,762968,968B Bah Soon Pah Road,"968B Bah Soon Pah Road, Singapore 762968",Residential,04/09/2025,,
New Building,763965,965C Bah Soon Pah Road,"965C Bah Soon Pah Road, Singapore 763965",Residential,04/09/2025,,
New Building,808854,69A Neram Road,"69A Neram Road, Singapore 808854",Residential,04/09/2025,,
New Building,808855,69B Neram Road,"69B Neram Road, Singapore 808855",Residential,04/09/2025,,
New Building,388309,43A Lorong 25 Geylang,"43A Lorong 25 Geylang, Singapore 388309",Residential,04/09/2025,,
Name Change,59567,1 Magazine Road,"1 Magazine Road, Singapore 59567",Residential,04/09/2025,NIL,
Name Change,668382,79 Phoenix Avenue,"79 Phoenix Avenue, Singapore 668382",Residential,04/09/2025,PHOENIX RESIDENCES (U/C),
Name Change,699886,Copen Grand,"71 Tengah Garden Walk Copen Grand, Singapore 699886",Non-Residential,04/09/2025,COPEN GRAND (U/C),
Name Change,760515,515 Miltonia Close,"515 Miltonia Close, Singapore 760515",Residential,04/09/2025,NIL,
Name Change,211018,Farrer Park Fields,"18A Farrer Park Road Farrer Park Fields, Singapore 211018",Non-Residential,04/09/2025,NIL,
Name Change,763517,517C Miltonia Close,"517C Miltonia Close, Singapore 763517",Residential,04/09/2025,NIL,
Name Change,600291,291 Jurong East Street 24,"291 Jurong East Street 24, Singapore 600291",Residential,04/09/2025,NIL,
Name Change,761515,515A Miltonia Close,"515A Miltonia Close, Singapore 761515",Residential,04/09/2025,NIL,
Name Change,650458,458 Bukit Batok West Avenue 8,"458 Bukit Batok West Avenue 8, Singapore 650458",Residential,04/09/2025,NIL,
Name Change,598543,Jurong Park,"25 Jalan Kakatua Jurong Park, Singapore 598543",Non-Residential,04/09/2025,INNATE MONTESSORI PTE. LTD.,
Name Change,270050,50 Ghim Moh Close,"50 Ghim Moh Close, Singapore 270050",Residential,04/09/2025,NIL,
Name Change,462048,48B Bedok South Avenue 3,"48B Bedok South Avenue 3, Singapore 462048",Residential,04/09/2025,NIL,
Name Change,699887,Copen Grand,"73 Tengah Garden Walk Copen Grand, Singapore 699887",Non-Residential,04/09/2025,COPEN GRAND (U/C),
Name Change,469627,Kaki Bukit Community Centre,"670 Bedok North Street 3 Kaki Bukit Community Centre, Singapore 469627",Non-Residential,04/09/2025,KAKI BUKIT COMMUNITY CENTRE (U/C),
Name Change,761523,523A Yishun Street 53,"523A Yishun Street 53, Singapore 761523",Residential,04/09/2025,NIL,
Name Change,390087,Mountbatten Community Club,"87 Jalan Satu Mountbatten Community Club, Singapore 390087",Non-Residential,04/09/2025,MOUNTBATTEN COMMUNITY CLUB (U/C),
Name Change,48423,18 Cross Street,"18 Cross Street, Singapore 48423",Residential,04/09/2025,CROSS STREET EXCHANGE,
Name Change,792419,419B Fernvale L,"419B Fernvale L, Singapore 792419",Residential,04/09/2025,NIL,
Name Change,790484,484 Fernvale Drive,"484 Fernvale Drive, Singapore 790484",Residential,04/09/2025,NIL,
Name Change,650459,459 Bukit Batok West Avenue 8,"459 Bukit Batok West Avenue 8, Singapore 650459",Residential,04/09/2025,NIL,
Name Change,550128,128 Serangoon North Avenue 1,"128 Serangoon North Avenue 1, Singapore 550128",Residential,04/09/2025,NIL,
Name Change,411117,117A Jalan Kembangan,"117A Jalan Kembangan, Singapore 411117",Residential,04/09/2025,NIL,
Name Change,761524,524A Yishun Street 53,"524A Yishun Street 53, Singapore 761524",Residential,04/09/2025,NIL,
Name Change,692101,101B Plantation Close,"101B Plantation Close, Singapore 692101",Residential,04/09/2025,NIL,
Name Change,699912,Copen Grand,"57 Tengah Garden Walk Copen Grand, Singapore 699912",Non-Residential,04/09/2025,COPEN GRAND (U/C),
Name Change,829858,Punggol Coast Bus Interchange,"1 Sentul Walk Punggol Coast Bus Interchange, Singapore 829858",Non-Residential,04/09/2025,NIL,
Name Change,460048,48 Bedok South Avenue 3,"48 Bedok South Avenue 3, Singapore 460048",Residential,04/09/2025,NIL,
Name Change,760523,523 Yishun Street 53,"523 Yishun Street 53, Singapore 760523",Residential,04/09/2025,NIL,
Name Change,138530,NUS College,"22 College Avenue West NUS College, Singapore 138530",Non-Residential,04/09/2025,YALE-NUS COLLEGE CAMPUS,
Name Change,680823,823 Keat Hong Link,"823 Keat Hong Link, Singapore 680823",Residential,04/09/2025,NIL,
Name Change,462046,46B Bedok South Avenue 3,"46B Bedok South Avenue 3, Singapore 462046",Residential,04/09/2025,NIL,
Name Change,699891,Copen Grand,"61 Tengah Garden Walk Copen Grand, Singapore 699891",Non-Residential,04/09/2025,COPEN GRAND (U/C),
Name Change,213018,Farrer Park Fields,"18C Farrer Park Road Farrer Park Fields, Singapore 213018",Non-Residential,04/09/2025,NIL,
Name Change,547255,28 Parry Avenue,"28 Parry Avenue, Singapore 547255",Residential,04/09/2025,PARRY HALL,
Name Change,574551,20 Thomson Terrace,"20 Thomson Terrace, Singapore 574551",Residential,04/09/2025,THOMSON HILLS ESTATE (U/C),
Name Change,463048,48C Bedok South Avenue 3,"48C Bedok South Avenue 3, Singapore 463048",Residential,04/09/2025,NIL,
Name Change,288411,21 Shelford Road,"21 Shelford Road, Singapore 288411",Residential,04/09/2025,KELLET COURT,
Name Change,460047,47 Bedok South Avenue 3,"47 Bedok South Avenue 3, Singapore 460047",Residential,04/09/2025,NIL,
Name Change,388465,Jun Yuan Building,"50 Lorong 21 Geylang Jun Yuan Building, Singapore 388465",Non-Residential,04/09/2025,LE DAO BUILDING,
Name Change,699911,Copen Grand,"55 Tengah Garden Walk Copen Grand, Singapore 699911",Non-Residential,04/09/2025,COPEN GRAND (U/C),
Name Change,737853,Bethesda Christian Centre,"11 Woodlands Close Bethesda Christian Centre, Singapore 737853",Non-Residential,04/09/2025,CALROSE ACADEMY PTE. LTD.,
Name Change,760516,516 Miltonia Close,"516 Miltonia Close, Singapore 760516",Residential,04/09/2025,NIL,
Name Change,828608,Digipen Institute Technology of Singapore,"1 Punggol Coast Road Digipen Institute Technology of Singapore, Singapore 828608",Non-Residential,04/09/2025,NIL,
Name Change,601418,Teban Breeze,"418A Teban Gardens Road Teban Breeze, Singapore 601418",Non-Residential,04/09/2025,NIL,
Name Change,544835,Nkf Dialysis Centre Sengkang Community Hospital,"1 Anchorvale Street Nkf Dialysis Centre Sengkang Community Hospital, Singapore 544835",Non-Residential,04/09/2025,SENGKANG COMMUNITY HOSPITAL,
Name Change,460045,45 Bedok South Avenue 3,"45 Bedok South Avenue 3, Singapore 460045",Residential,04/09/2025,NIL,
Name Change,681824,824A Keat Hong Link,"824A Keat Hong Link, Singapore 681824",Residential,04/09/2025,NIL,
Name Change,140204,204 Queen's Crescent,"204 Queen's Crescent, Singapore 140204",Residential,04/09/2025,NIL,
Name Change,762519,519B Miltonia Close,"519B Miltonia Close, Singapore 762519",Residential,04/09/2025,NIL,
Name Change,271052,52A Ghim Moh Close,"52A Ghim Moh Close, Singapore 271052",Residential,04/09/2025,NIL,
Name Change,692100,100B Plantation Close,"100B Plantation Close, Singapore 692100",Residential,04/09/2025,NIL,
Name Change,48422,20 Cross Street,"20 Cross Street, Singapore 48422",Residential,04/09/2025,CROSS STREET EXCHANGE,
Name Change,760126,Chong Pang Community Club (temp Office),"126 Yishun Street 11 Chong Pang Community Club (temp Office), Singapore 760126",Non-Residential,04/09/2025,CHONG PANG COMMUNITY CLUB (TEMPORARY OFFICE),
Name Change,730590,590 Woodlands Drive 17,"590 Woodlands Drive 17, Singapore 730590",Residential,04/09/2025,NIL,
Name Change,463046,46C Bedok South Avenue 3,"46C Bedok South Avenue 3, Singapore 463046",Residential,04/09/2025,NIL,
Name Change,259601,Singapore Botanic Gardens (centre of Urban Greenery and Ecology),"1E Cluny Road Singapore Botanic Gardens (centre of Urban Greenery and Ecology), Singapore 259601",Non-Residential,04/09/2025,SINGAPORE ENVIRONMENT COUNCIL,
Name Change,436884,6A Tanjong Rhu Road,"6A Tanjong Rhu Road, Singapore 436884",Residential,04/09/2025,DE CENTURIAN,
Name Change,142205,205B Queen's Crescent,"205B Queen's Crescent, Singapore 142205",Residential,04/09/2025,NIL,
Name Change,59570,3 Magazine Road,"3 Magazine Road, Singapore 59570",Residential,04/09/2025,UNION SQUARE,
Name Change,271050,50A Ghim Moh Close,"50A Ghim Moh Close, Singapore 271050",Residential,04/09/2025,NIL,
Name Change,409075,Kampong Kembangan Community Club (temp Office),"10 Jalan Ubi Kampong Kembangan Community Club (temp Office), Singapore 409075",Non-Residential,04/09/2025,KAMPONG UBI COMMUNITY CENTRE,
Name Change,398993,Gostay Hotel,"12 Lorong 12 Geylang Gostay Hotel, Singapore 398993",Non-Residential,04/09/2025,NIL,
Name Change,208559,111J King George's Avenue,"111J King George's Avenue, Singapore 208559",Residential,04/09/2025,NIL,
Name Change,228170,105 Sophia Road,"105 Sophia Road, Singapore 228170",Residential,04/09/2025,SOPHIA REGENCY (U/C),
Name Change,569253,6 Ang Mo Kio Street 44,"6 Ang Mo Kio Street 44, Singapore 569253",Residential,04/09/2025,PATHLIGHT SCHOOL 2,
Name Change,270051,51 Ghim Moh Link,"51 Ghim Moh Link, Singapore 270051",Residential,04/09/2025,NIL,
Name Change,271051,51A Ghim Moh Close,"51A Ghim Moh Close, Singapore 271051",Residential,04/09/2025,NIL,
Name Change,790483,483 Fernvale Drive,"483 Fernvale Drive, Singapore 790483",Residential,04/09/2025,NIL,
Name Change,259367,26 Evans Road,"26 Evans Road, Singapore 259367",Residential,04/09/2025,YO:HA @ EVANS,
Name Change,761522,522A Yishun Street 53,"522A Yishun Street 53, Singapore 761522",Residential,04/09/2025,NIL,
Name Change,552128,128B Serangoon North Avenue 1,"128B Serangoon North Avenue 1, Singapore 552128",Residential,04/09/2025,NIL,
Name Change,130061,61 Commonwealth Avenue West,"61 Commonwealth Avenue West, Singapore 130061",Residential,04/09/2025,NIL,
Name Change,460046,46 Bedok South Avenue 3,"46 Bedok South Avenue 3, Singapore 460046",Residential,04/09/2025,NIL,
Name Change,142204,204B Queen's Crescent,"204B Queen's Crescent, Singapore 142204",Residential,04/09/2025,NIL,
Name Change,600292,292 Jurong East Street 24,"292 Jurong East Street 24, Singapore 600292",Residential,04/09/2025,NIL,
Name Change,768024,Nkf Dialysis Centre,"2 Yishun Central 2 Nkf Dialysis Centre, Singapore 768024",Non-Residential,04/09/2025,YISHUN COMMUNITY HOSPITAL,
Name Change,761516,516A Miltonia Close,"516A Miltonia Close, Singapore 761516",Residential,04/09/2025,NIL,
Name Change,130065,65 Commonwealth Avenue West,"65 Commonwealth Avenue West, Singapore 130065",Residential,04/09/2025,NIL,
