Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,458159,30 Frankel Avenue,"30 Frankel Avenue, Singapore 458159",Residential,15/01/2026,,
New Building,486030,Hansapoint,"10 Changi Business Park Central 2 Hansapoint, Singapore 486030",Non-Residential,15/01/2026,,
New Building,555938,Serangoon Garden Way,"27 Serangoon Garden Way, Singapore 555938",Non-Residential,15/01/2026,,
New Building,787110,906E Upper Thomson Road,"906E Upper Thomson Road, Singapore 787110",Residential,15/01/2026,,
Name Change,349482,25 Genting Road,"25 Genting Road, Singapore 349482",Residential,15/01/2026,NIL,
Name Change,168641,1M Yong Siak Street,"1M Yong Siak Street, Singapore 168641",Residential,15/01/2026,NIL,
Name Change,469752,200 Bedok North Avenue 1,"200 Bedok North Avenue 1, Singapore 469752",Residential,15/01/2026,NIL,
Name Change,99010,43 Siloso Beach Walk,"43 Siloso Beach Walk, Singapore 99010",Residential,15/01/2026,IFLY SINGAPORE,
Name Change,159562,102 Henderson Road,"102 Henderson Road, Singapore 159562",Residential,15/01/2026,ECON CARE RESIDENCE (HENDERSON),
Name Change,218587,130 Race Course Road,"130 Race Course Road, Singapore 218587",Residential,15/01/2026,NIL,
Name Change,599489,Ngee Ann Polytechnic (blk 20),"535 Clementi Road Ngee Ann Polytechnic (blk 20), Singapore 599489",Non-Residential,15/01/2026,NGEE ANN POLYTECHNIC (BLK 1),
Name Change,99114,2 Seah Im Road,"2 Seah Im Road, Singapore 99114",Residential,15/01/2026,NIL,
Name Change,828826,50 Punggol East,"50 Punggol East, Singapore 828826",Residential,15/01/2026,NIL,
Name Change,638768,33 Tuas Basin Link,"33 Tuas Basin Link, Singapore 638768",Residential,15/01/2026,NIL,
Name Change,298333,Thomson Police Complex (blk 12 Annex),"1 Mount Pleasant Road Thomson Police Complex (blk 12 Annex), Singapore 298333",Non-Residential,15/01/2026,THOMSON POLICE COMPLEX (BLK 10 ANNEX),
Name Change,549936,Outram Secondary School,"48 Anchorvale Crescent Outram Secondary School, Singapore 549936",Non-Residential,15/01/2026,OUTRAM SECONDARY SCHOOL (U/C),
Name Change,698928,Home Team Academy (blk 10),"501 Old Choa Chu Kang Road Home Team Academy (blk 10), Singapore 698928",Non-Residential,15/01/2026,HOME TEAM ACADEMY (BLK 1),
Name Change,208559,111J King George's Avenue,"111J King George's Avenue, Singapore 208559",Residential,15/01/2026,NIL,
Location Change,627886,17 Sakra Road,"17 Sakra Road, Singapore 627886",Residential,15/01/2026,NIL,442.05
Location Change,627621,2 Tembusu Drive,"2 Tembusu Drive, Singapore 627621",Residential,15/01/2026,NIL,359.78
Location Change,118326,1 Pulau Sebarok,"1 Pulau Sebarok, Singapore 118326",Residential,15/01/2026,NIL,823.33
Location Change,627877,50 Jurong Island Highway,"50 Jurong Island Highway, Singapore 627877",Residential,15/01/2026,NIL,347.98
Location Change,627867,100 Jurong Island Highway,"100 Jurong Island Highway, Singapore 627867",Residential,15/01/2026,NIL,2139.09
Location Change,679525,201 Chestnut Avenue,"201 Chestnut Avenue, Singapore 679525",Residential,15/01/2026,NIL,698.18
Location Change,628498,18 Pioneer Road,"18 Pioneer Road, Singapore 628498",Residential,15/01/2026,NIL,467.52
Location Change,628208,1 Seraya Avenue,"1 Seraya Avenue, Singapore 628208",Residential,15/01/2026,NIL,1170.47
Location Change,627806,11 Meranti Crescent,"11 Meranti Crescent, Singapore 627806",Residential,15/01/2026,NIL,434.16
Location Change,629888,15 Benoi Road,"15 Benoi Road, Singapore 629888",Residential,15/01/2026,NIL,705.58
Name And Location Change,729826,80 Mandai Lake Road,"80 Mandai Lake Road, Singapore 729826",Residential,15/01/2026,GIANT PANDA FOREST,496.47
