Metric,Value
Original Records,1504
Excluded Records (Under Construction/Temporary),419
Final Records After Processing,1021
Residential Buildings,823
Non-Residential Buildings,198
Duplicate Records Removed,64
Exclusion Rate (%),27.86
Processing Date,15/12/2025
