Postal Code,Building Name,Full Address,Non-Residential,Date Added
89808,395 New Bridge Road,"395 New Bridge Road, Singapore 89808",False,28/05/2025
129675,43F West Coast Road,"43F West Coast Road, Singapore 129675",False,28/05/2025
129676,43G West Coast Road,"43G West Coast Road, Singapore 129676",False,28/05/2025
140018,Tanglin Halt Courtyard,"18 Tanglin Halt Road Tanglin Halt Courtyard, Singapore 140018",True,28/05/2025
141017,Tanglin Halt Courtyard,"17A Tanglin Halt Road Tanglin Halt Courtyard, Singapore 141017",True,28/05/2025
218210,0598 Serangoon Road,"0598 Serangoon Road, Singapore 218210",False,28/05/2025
249628,22 Orchard Boulevard,"22 Orchard Boulevard, Singapore 249628",False,28/05/2025
259384,Chip Hock Gardens,"118 Farrer Road Chip Hock Gardens, Singapore 259384",True,28/05/2025
259407,Chip Hock Gardens,"120 Gallop Park Road Chip Hock Gardens, Singapore 259407",True,28/05/2025
278138,Henry Park,"46A Mount Sinai Road Henry Park, Singapore 278138",True,28/05/2025
278623,Mcmahon Park,"Holland Road Mcmahon Park, Singapore 278623",True,28/05/2025
279035,2 Holland Village Way,"2 Holland Village Way, Singapore 279035",False,28/05/2025
279036,4 Holland Village Way,"4 Holland Village Way, Singapore 279036",False,28/05/2025
279037,6 Holland Village Way,"6 Holland Village Way, Singapore 279037",False,28/05/2025
279577,Henry Park,"2A Grove Avenue Henry Park, Singapore 279577",True,28/05/2025
299920,Dunearn Estate,"Berrima Road, Singapore 299920",False,28/05/2025
320118,118 May Road,"118 May Road, Singapore 320118",False,28/05/2025
321118,118A May Road,"118A May Road, Singapore 321118",False,28/05/2025
380035,35 Upper Boon Keng Road,"35 Upper Boon Keng Road, Singapore 380035",False,28/05/2025
380036,36 Upper Boon Keng Road,"36 Upper Boon Keng Road, Singapore 380036",False,28/05/2025
380037,37 Upper Boon Keng Road,"37 Upper Boon Keng Road, Singapore 380037",False,28/05/2025
381036,36A Upper Boon Keng Road,"36A Upper Boon Keng Road, Singapore 381036",False,28/05/2025
381037,37A Upper Boon Keng Road,"37A Upper Boon Keng Road, Singapore 381037",False,28/05/2025
382037,37B Upper Boon Keng Road,"37B Upper Boon Keng Road, Singapore 382037",False,28/05/2025
410117,117 Jalan Kembangan,"117 Jalan Kembangan, Singapore 410117",False,28/05/2025
411117,117A Jalan Kembangan,"117A Jalan Kembangan, Singapore 411117",False,28/05/2025
412117,117B Jalan Kembangan,"117B Jalan Kembangan, Singapore 412117",False,28/05/2025
418001,18M Jalan Paras,"18M Jalan Paras, Singapore 418001",False,28/05/2025
419307,103A Jalan Senang,"103A Jalan Senang, Singapore 419307",False,28/05/2025
430024,24 Sampan Place,"24 Sampan Place, Singapore 430024",False,28/05/2025
430025,25 Sampan Place,"25 Sampan Place, Singapore 430025",False,28/05/2025
430026,26 Kampong Arang Road,"26 Kampong Arang Road, Singapore 430026",False,28/05/2025
430027,27 Kampong Arang Road,"27 Kampong Arang Road, Singapore 430027",False,28/05/2025
430028,28 Kampong Arang Road,"28 Kampong Arang Road, Singapore 430028",False,28/05/2025
430029,29 Kampong Arang Road,"29 Kampong Arang Road, Singapore 430029",False,28/05/2025
