Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,259974,13 Balmoral Crescent,"13 Balmoral Crescent, Singapore 259974",Residential,15/03/2026,,
New Building,762969,969B Bah Soon Pah Road,"969B Bah Soon Pah Road, Singapore 762969",Residential,15/03/2026,,
New Building,762971,971B Bah Soon Pah Road,"971B Bah Soon Pah Road, Singapore 762971",Residential,15/03/2026,,
New Building,804101,42 Luxus Hill Heights,"42 Luxus Hill Heights, Singapore 804101",Residential,15/03/2026,,
New Building,804104,45 Luxus Hill Heights,"45 Luxus Hill Heights, Singapore 804104",Residential,15/03/2026,,
Name Change,649000,Jin Fu Gong Temple,"20 Jurong West Street 92 Jin Fu Gong Temple, Singapore 649000",Non-Residential,15/03/2026,NIL,
Name Change,698928,Home Team Academy (blk 10),"501 Old Choa Chu Kang Road Home Team Academy (blk 10), Singapore 698928",Non-Residential,15/03/2026,HOME TEAM ACADEMY (BLK 1),
Location Change,629351,50 Gul Road,"50 Gul Road, Singapore 629351",Residential,15/03/2026,NIL,660.18
