Metric,Value
Original Records,195
Excluded Records (Under Construction/Temporary),19
Final Records After Processing,176
Residential Buildings,140
Non-Residential Buildings,36
Duplicate Records Removed,0
Exclusion Rate (%),9.74
Processing Date,28/05/2025
