Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,119317,Lyndenwoods,"69 Science Park Drive Lyndenwoods, Singapore 119317",Non-Residential,15/06/2025,,
New Building,259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",Non-Residential,15/06/2025,,
New Building,278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",Non-Residential,15/06/2025,,
New Building,299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",Non-Residential,15/06/2025,,
New Building,338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",Residential,15/06/2025,,
New Building,338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",Residential,15/06/2025,,
New Building,338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",Residential,15/06/2025,,
New Building,426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",Residential,15/06/2025,,
New Building,568618,Mayflower Gardens,"29 Mayflower Road Mayflower Gardens, Singapore 568618",Non-Residential,15/06/2025,,
Name Change,319380,Toa Payoh East Community Club,"160 Lorong 6 Toa Payoh Toa Payoh East Community Club, Singapore 319380",Non-Residential,15/06/2025,TOA PAYOH EAST COMMUNITY CLUB (PENDING RELOCATION),
Name Change,207398,Macpherson Hotel,"41 Upper Weld Road Macpherson Hotel, Singapore 207398",Non-Residential,15/06/2025,NIL,
Name Change,737853,Bethesda Christian Centre,"11 Woodlands Close Bethesda Christian Centre, Singapore 737853",Non-Residential,15/06/2025,CALROSE ACADEMY PTE. LTD.,
Name Change,409075,Kampong Kembangan Community Club (temp Office),"10 Jalan Ubi Kampong Kembangan Community Club (temp Office), Singapore 409075",Non-Residential,15/06/2025,KAMPONG UBI COMMUNITY CENTRE,
Name Change,38982,2 Temasek Boulevard,"2 Temasek Boulevard, Singapore 38982",Residential,15/06/2025,CONRAD CENTENNIAL SINGAPORE,
Name Change,257854,Gospel Light Bible-presbyterian Church,"60 Stevens Road Gospel Light Bible-presbyterian Church, Singapore 257854",Non-Residential,15/06/2025,NIL,
Name Change,575628,8 Sin Ming Road,"8 Sin Ming Road, Singapore 575628",Residential,15/06/2025,NIL,
