Postal Code,Building Name,Full Address,Non-Residential,Date Added
19964,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964",False,04/09/2025
48458,Amoy Hotel,"70 Telok Ayer Street Amoy Hotel, Singapore 48458",True,04/09/2025
120437,437 Clementi Close,"437 Clementi Close, Singapore 120437",False,04/09/2025
120438,438 Clementi Close,"438 Clementi Close, Singapore 120438",False,04/09/2025
121437,437A Clementi Close,"437A Clementi Close, Singapore 121437",False,04/09/2025
121438,438A Clementi Close,"438A Clementi Close, Singapore 121438",False,04/09/2025
122437,437B Clementi Close,"437B Clementi Close, Singapore 122437",False,04/09/2025
122438,438B Clementi Close,"438B Clementi Close, Singapore 122438",False,04/09/2025
140185,185 Mei Chin Road,"185 Mei Chin Road, Singapore 140185",False,04/09/2025
140186,186 Mei Chin Road,"186 Mei Chin Road, Singapore 140186",False,04/09/2025
140187,187 Mei Chin Road,"187 Mei Chin Road, Singapore 140187",False,04/09/2025
140189,189 Mei Chin Road,"189 Mei Chin Road, Singapore 140189",False,04/09/2025
140190,190 Mei Chin Road,"190 Mei Chin Road, Singapore 140190",False,04/09/2025
141186,186A Mei Chin Road,"186A Mei Chin Road, Singapore 141186",False,04/09/2025
141187,187A Mei Chin Road,"187A Mei Chin Road, Singapore 141187",False,04/09/2025
142186,186B Mei Chin Road,"186B Mei Chin Road, Singapore 142186",False,04/09/2025
169556,7 Kim Seng Road,"7 Kim Seng Road, Singapore 169556",False,04/09/2025
188544,65 Queen Street,"65 Queen Street, Singapore 188544",False,04/09/2025
188545,66 Queen Street,"66 Queen Street, Singapore 188545",False,04/09/2025
188546,67 Queen Street,"67 Queen Street, Singapore 188546",False,04/09/2025
190020,20 Crawford Street,"20 Crawford Street, Singapore 190020",False,04/09/2025
190021,21 Crawford Street,"21 Crawford Street, Singapore 190021",False,04/09/2025
191020,20A Crawford Street,"20A Crawford Street, Singapore 191020",False,04/09/2025
218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",False,04/09/2025
239595,17 Unity Street,"17 Unity Street, Singapore 239595",False,04/09/2025
247811,1 Zion Close,"1 Zion Close, Singapore 247811",False,04/09/2025
259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",True,04/09/2025
270067,67 Holland Village Way,"67 Holland Village Way, Singapore 270067",False,04/09/2025
270068,68 Holland Village Way,"68 Holland Village Way, Singapore 270068",False,04/09/2025
271068,68A Holland Village Way,"68A Holland Village Way, Singapore 271068",False,04/09/2025
278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",True,04/09/2025
279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",True,04/09/2025
299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",True,04/09/2025
299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",False,04/09/2025
308076,2 Moulmein Road,"2 Moulmein Road, Singapore 308076",False,04/09/2025
309297,2A Jalan Pasiran,"2A Jalan Pasiran, Singapore 309297",False,04/09/2025
309313,4 Jalan Pasir Ria,"4 Jalan Pasir Ria, Singapore 309313",False,04/09/2025
309314,4A Jalan Pasir Ria,"4A Jalan Pasir Ria, Singapore 309314",False,04/09/2025
309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",False,04/09/2025
309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",False,04/09/2025
309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",False,04/09/2025
309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",False,04/09/2025
338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",False,04/09/2025
338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",False,04/09/2025
338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",False,04/09/2025
367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",True,04/09/2025
370135,135 Merpati Road,"135 Merpati Road, Singapore 370135",False,04/09/2025
370136,136 Merpati Road,"136 Merpati Road, Singapore 370136",False,04/09/2025
371135,135A Merpati Road,"135A Merpati Road, Singapore 371135",False,04/09/2025
371136,136A Merpati Road,"136A Merpati Road, Singapore 371136",False,04/09/2025
419383,Kimnan Park,"68A Jalan Selamat Kimnan Park, Singapore 419383",True,04/09/2025
426739,72 Langsat Road,"72 Langsat Road, Singapore 426739",False,04/09/2025
438585,10 Founders Drive,"10 Founders Drive, Singapore 438585",False,04/09/2025
438662,47 Meyer Road,"47 Meyer Road, Singapore 438662",False,04/09/2025
456285,33B Woo Mon Chew Road,"33B Woo Mon Chew Road, Singapore 456285",False,04/09/2025
