blk_no,street,postal_code,name,lat,lon,change_type,location_change_meters,prev_name,prev_lat,prev_lon
31,TANNERY LANE,347788,TANNERY LODGE II,1.32873678278978,103.876294937093,name_change,,NIL,1.32873678278978,103.876294937093
17,SAKRA ROAD,627886,NIL,1.26485446056716,103.704820373564,location_change,442.0505910969017,NIL,1.26103987283295,103.703700648738
137,CECIL STREET,69537,CECIL PLACE,1.27967894092681,103.84859453785,name_change,,CECIL BUILDING,1.27967894092681,103.84859453785
21,WOODLANDS AVENUE 1,739062,WOODLANDS RING SECONDARY SCHOOL (TILL JAN 2029),1.43070452883799,103.777625748539,name_change,,FUCHUN SECONDARY SCHOOL,1.43070452883799,103.777625748539
501,PASIR RIS DRIVE 3,519490,NIL,1.37354705786224,103.950490160084,name_change,,PASIR RIS BUS INTERCHANGE,1.37354705786224,103.950490160084
58,DALVEY ROAD,259463,EMBASSY OF ISRAEL,1.31449150559045,103.822973803749,name_change,,NIL,1.31453843651666,103.823029597188
201,CHESTNUT AVENUE,679525,NIL,1.37749613665976,103.777438972627,location_change,698.1761120048952,NIL,1.37168064590228,103.779806932515
860,NEW UPPER CHANGI ROAD,467353,NEW UPPER CHANGI ROAD,1.32401711963192,103.938966799723,name_change,,NIL,1.32366796595959,103.939157444931
56,LENTOR GARDENS,788846,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
48,TUAS AVENUE 9,639191,PENTA-CHEM BUILDING,1.32948567079307,103.644128203142,name_change,,KIAN GUAN INDUSTRIES BUILDING,1.32948567079307,103.644128203142
60,LENTOR GARDENS,788848,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
80,BARTLEY ROAD,539786,NIL,1.34218395739981,103.87809644863,name_change,,MARIS STELLA HIGH SCHOOL,1.34218395739981,103.87809644863
61,MERANTI CRESCENT,627807,NIL,1.23879231174687,103.685897668792,location_change,626.4423138171596,NIL,1.23612189612029,103.68093588601
11,WOODLANDS CLOSE,737853,CALROSE ACADEMY PTE. LTD.,1.43475840297332,103.802721060156,name_change,,BETHESDA CHRISTIAN CENTRE,1.43482603452741,103.802773360648
61,WESTERHOUT ROAD,397662,KIP INN,1.31122558971043,103.881036628885,name_change,,AQ @ WESTERHOUT,1.31122558971043,103.881036628885
5,TAMPINES CENTRAL 6,529482,NIL,1.35344127682039,103.942027827003,name_change,,TAMPINES CENTRAL POST OFFICE,1.35343481251809,103.942097061129
110,TAGORE LANE,787545,E-MESH BUILDING,1.38475095254533,103.829103365034,name_change,,SINDO INDUSTRIAL ESTATE,1.38475095254533,103.829103365034
1,SERAYA AVENUE,628208,NIL,1.27111672941869,103.736254000329,location_change,1170.465548513613,NIL,1.27589242545013,103.726871135948
450,JALAN AHMAD IBRAHIM,639932,SINGAPORE RAIL TEST CENTRE,1.34572615709636,103.642018211704,name_change,,INTEGRATED TRAIN TESTING CENTRE,1.34600130572253,103.64044900588
1,LEONIE HILL,239219,ONE LEONIE RESIDENCES,1.29930788596273,103.832399949956,name_change,,NIL,1.29930788596273,103.832399949956
52,LENTOR GARDENS,788844,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
50,JURONG ISLAND HIGHWAY,627877,NIL,1.28176147502858,103.718748794438,location_change,347.98312654587124,NIL,1.2805727238784,103.715853150469
28,LENTOR CENTRAL,788880,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
95,GALLOP PARK ROAD,258991,GALLOP VILLAS,1.31767560438521,103.810412430262,name_change,,NIL,1.31764725578842,103.810591240208
49,NEW UPPER CHANGI ROAD,460049,BEDOK SOUTH BLOOM,1.32430117973484,103.938654033654,name_and_location_change,554.8849212844292,NIL,1.32310804617747,103.943500791777
38,LENTOR HILLS ROAD,788854,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
80,MANDAI LAKE ROAD,729826,GIANT PANDA FOREST,1.40365248268001,103.792498795944,name_change,,RIVER SAFARI,1.40400156118078,103.79142665808
54,LENTOR GARDENS,788845,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
17,JURONG PORT ROAD,619092,HH GROUP BUILDING,1.31954790471163,103.72128114366,name_change,,NIL,1.31954790471163,103.72128114366
10,WOODLANDS RING ROAD,738239,WOODLANDS RING SECONDARY SCHOOL (U/C),1.43648894729939,103.800148469692,name_change,,WOODLANDS RING SECONDARY SCHOOL,1.43648894729939,103.800148469692
1,JURONG WEST STREET 74,649149,GEK POH VILLE COMMUNITY CLUB,1.34868982375562,103.698726261467,name_change,,GEK POH VILLE COMMUNITY CLUB (PENDING U/C),1.34868982375562,103.698726261467
34,LENTOR HILLS ROAD,788852,LENTORIA (U/C),1.38196577099896,103.834569911036,name_change,,NIL,1.38196577099896,103.834569911036
90,STAMFORD ROAD,178903,SMU DE SUANTIO GALLERY,1.29797001327877,103.848868170098,name_change,,SINGAPORE MANAGEMENT UNIVERSITY (SCH OF ECONOMICS AND SOCIAL SCI),1.29792526598144,103.848850758227
501,OLD CHOA CHU KANG ROAD,698928,HOME TEAM ACADEMY (BLK 10),1.37187204750828,103.720870792771,name_change,,HOME TEAM ACADEMY (BLK 1),1.3728276965341,103.722414544985
71,PASIR RIS DRIVE 3,519872,PASIR RIS INTEGRATED TRANSPORT HUB,1.37404506072677,103.948704268491,name_change,,BUS INTECHANGE,1.37404506072677,103.948704268491
3A,PASIR RIS DRIVE 6,519422,VIDACITY,1.37066952335502,103.955733346201,name_change,,NIL,1.37066952335502,103.955733346201
100,JURONG ISLAND HIGHWAY,627867,NIL,1.26907088657711,103.69845992241,location_change,2139.089828315481,NIL,1.27776680299102,103.681296002911
543,YISHUN INDUSTRIAL PARK A,768765,PBA BUILDING,1.44276939320888,103.838693338166,name_change,,NIL,1.44276939320888,103.838693338166
24,LENTOR CENTRAL,788878,HILLOCK GREEN,1.38509631948606,103.833849401084,name_change,,NIL,1.38509631948606,103.833849401084
20A,TUAS SOUTH AVENUE 14,637311,TUAS LOGISTICS HUB,1.2717303743422,103.621613126657,name_change,,LOGOS TUAS LOGISTICS HUB,1.2717303743422,103.621613126657
535,CLEMENTI ROAD,599489,NGEE ANN POLYTECHNIC (BLK 1),1.33351616007246,103.776976659192,name_change,,NGEE ANN POLYTECHNIC (BLK 15),1.3356017543037,103.776460419135
2,JURONG EAST CENTRAL 1,609731,J'DEN (U/C),1.33335548871256,103.740182040775,name_change,,J'DEN,1.33335548871256,103.740182040775
58,LENTOR GARDENS,788847,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
62,LENTOR GARDENS,788849,LENTOR MANSION (U/C),1.38327514262867,103.833148101837,name_change,,NIL,1.38327514262867,103.833148101837
133,JALAN SULTAN,199016,HERITAGE COLLECTION ON VICTORIA,1.30462433931598,103.860126072123,name_change,,KAMPONG GLAM CONSERVATION AREA,1.30462433931598,103.860126072123
80,STAMFORD ROAD,178902,SMU SCHOOL OF COMPUTING & INFORMATION SYSTEMS 1,1.29737732421801,103.849551540547,name_change,,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),1.29737732421801,103.849551540547
