Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,39805,20 Raffles Avenue,"20 Raffles Avenue, Singapore 39805",Residential,15/02/2026,,
New Building,139685,5 Dover Lane,"5 Dover Lane, Singapore 139685",Residential,15/02/2026,,
New Building,150132,132 Bukit Merah View,"132 Bukit Merah View, Singapore 150132",Residential,15/02/2026,,
New Building,150138,138 Alexandra Road,"138 Alexandra Road, Singapore 150138",Residential,15/02/2026,,
New Building,150144,144 Redhill Close,"144 Redhill Close, Singapore 150144",Residential,15/02/2026,,
New Building,150145,145 Redhill Close,"145 Redhill Close, Singapore 150145",Residential,15/02/2026,,
New Building,151138,138A Alexandra Road,"138A Alexandra Road, Singapore 151138",Residential,15/02/2026,,
New Building,151144,144A Redhill Close,"144A Redhill Close, Singapore 151144",Residential,15/02/2026,,
New Building,151145,145A Redhill Close,"145A Redhill Close, Singapore 151145",Residential,15/02/2026,,
New Building,152138,138B Alexandra Road,"138B Alexandra Road, Singapore 152138",Residential,15/02/2026,,
New Building,152144,144B Redhill Close,"144B Redhill Close, Singapore 152144",Residential,15/02/2026,,
New Building,169738,21A Macalister Road,"21A Macalister Road, Singapore 169738",Residential,15/02/2026,,
New Building,259529,108 Dalvey Estate,"108 Dalvey Estate, Singapore 259529",Residential,15/02/2026,,
New Building,259902,9 Balmoral Crescent,"9 Balmoral Crescent, Singapore 259902",Residential,15/02/2026,,
New Building,259973,11 Balmoral Crescent,"11 Balmoral Crescent, Singapore 259973",Residential,15/02/2026,,
New Building,259974,13 Balmoral Crescent,"13 Balmoral Crescent, Singapore 259974",Residential,15/02/2026,,
New Building,268034,Shamrock Park,"25A Namly Rise Shamrock Park, Singapore 268034",Non-Residential,15/02/2026,,
New Building,277828,Henry Park,"19A Mount Sinai Lane Henry Park, Singapore 277828",Non-Residential,15/02/2026,,
New Building,279217,Chip Bee Gardens,"147A Holland Road Chip Bee Gardens, Singapore 279217",Non-Residential,15/02/2026,,
New Building,299511,64 Kheam Hock Road,"64 Kheam Hock Road, Singapore 299511",Residential,15/02/2026,,
New Building,299989,18B Berrima Road,"18B Berrima Road, Singapore 299989",Residential,15/02/2026,,
New Building,349903,31 Belimbing Avenue,"31 Belimbing Avenue, Singapore 349903",Residential,15/02/2026,,
New Building,358656,11 Lynwood Grove,"11 Lynwood Grove, Singapore 358656",Residential,15/02/2026,,
New Building,359975,10A Clifton Vale,"10A Clifton Vale, Singapore 359975",Residential,15/02/2026,,
New Building,369572,Mount Vernon Funeral Parlour Complex,"2 Mount Vernon Lane Mount Vernon Funeral Parlour Complex, Singapore 369572",Non-Residential,15/02/2026,,
New Building,389961,52A Aljunied Road,"52A Aljunied Road, Singapore 389961",Residential,15/02/2026,,
New Building,432031,31B Tanjong Rhu Close,"31B Tanjong Rhu Close, Singapore 432031",Residential,15/02/2026,,
New Building,438581,7 Meyer Place,"7 Meyer Place, Singapore 438581",Residential,15/02/2026,,
New Building,438582,9 Meyer Place,"9 Meyer Place, Singapore 438582",Residential,15/02/2026,,
New Building,438583,11 Meyer Place,"11 Meyer Place, Singapore 438583",Residential,15/02/2026,,
New Building,456537,East Coast Park,"38A Third Street East Coast Park, Singapore 456537",Non-Residential,15/02/2026,,
New Building,458159,30 Frankel Avenue,"30 Frankel Avenue, Singapore 458159",Residential,15/02/2026,,
New Building,458685,23 Elliot Walk,"23 Elliot Walk, Singapore 458685",Residential,15/02/2026,,
New Building,459918,39A Aida Street,"39A Aida Street, Singapore 459918",Residential,15/02/2026,,
New Building,460810,Ping Yi Court,"810 Chai Chee Street Ping Yi Court, Singapore 460810",Non-Residential,15/02/2026,,
New Building,460811,Ping Yi Court,"811 Chai Chee Street Ping Yi Court, Singapore 460811",Non-Residential,15/02/2026,,
New Building,461810,Ping Yi Court,"810A Chai Chee Street Ping Yi Court, Singapore 461810",Non-Residential,15/02/2026,,
New Building,461811,Ping Yi Court,"811A Chai Chee Street Ping Yi Court, Singapore 461811",Non-Residential,15/02/2026,,
New Building,462811,Ping Yi Court,"811B Chai Chee Street Ping Yi Court, Singapore 462811",Non-Residential,15/02/2026,,
New Building,463811,Ping Yi Court,"811C Chai Chee Street Ping Yi Court, Singapore 463811",Non-Residential,15/02/2026,,
New Building,464811,Ping Yi Court,"811D Chai Chee Street Ping Yi Court, Singapore 464811",Non-Residential,15/02/2026,,
New Building,486030,Hansapoint,"10 Changi Business Park Central 2 Hansapoint, Singapore 486030",Non-Residential,15/02/2026,,
New Building,547503,Recreation Road,"29 Recreation Road, Singapore 547503",Non-Residential,15/02/2026,,
New Building,555938,Serangoon Garden Way,"27 Serangoon Garden Way, Singapore 555938",Non-Residential,15/02/2026,,
New Building,570097,97 Bishan Street 12,"97 Bishan Street 12, Singapore 570097",Residential,15/02/2026,,
New Building,570099,99 Bishan Street 12,"99 Bishan Street 12, Singapore 570099",Residential,15/02/2026,,
New Building,570100,100 Bishan Street 12,"100 Bishan Street 12, Singapore 570100",Residential,15/02/2026,,
New Building,571100,100A Bishan Street 12,"100A Bishan Street 12, Singapore 571100",Residential,15/02/2026,,
New Building,572100,100B Bishan Street 12,"100B Bishan Street 12, Singapore 572100",Residential,15/02/2026,,
New Building,579240,Lauw & Sons Garden,"78 Clover Avenue Lauw & Sons Garden, Singapore 579240",Non-Residential,15/02/2026,,
New Building,589594,Hong Kong Park,"21A Hua Guan Avenue Hong Kong Park, Singapore 589594",Non-Residential,15/02/2026,,
New Building,600423,Teban Gardens Road,"423 Teban Gardens Road, Singapore 600423",Non-Residential,15/02/2026,,
New Building,600424,Teban Heights,"424 Teban Gardens Road Teban Heights, Singapore 600424",Non-Residential,15/02/2026,,
