blk_no,street,postal_code,name,lat,lon
2A,BAYFRONT AVENUE,018958,THE SHOPPES AT MARINA BAY SANDS,1.28423496027027,103.85898228297
12,MARINA BOULEVARD,018982,CONSULATE OF THE REPUBLIC OF ICELAND,1.27910567828192,103.854297424273
12,MARINA BOULEVARD,018982,DBS AUDITORIUM,1.27901700601652,103.854464808366
12,MARINA BOULEVARD,018982,MARINA BAY FINANCIAL CENTRE,1.27910976860464,103.854405527449
12,MARINA BOULEVARD,018982,MARINA BAY FINANCIAL CENTRE (TOWER 3),1.27912493489912,103.854457600432
10,MARINA BOULEVARD,018983,MARINA BAY FINANCIAL CENTRE (TOWER 2),1.27943997887765,103.853786753031
8A,MARINA BOULEVARD,018984,GROUND PLAZA (MARINA BAY LINK MALL),1.27992126239604,103.854773147641
8A,MARINA BOULEVARD,018984,MARINA BAY LINK MALL,1.28023825446086,103.853369662547
11,MARINA MALL,019396,NIL,1.28056977867553,103.868846533132
11,MARINA MALL,019396,GARDENS BY THE BAY MRT STATION (TE22),1.27848725876303,103.867454664421
10A,CENTRAL LANE 1,019927,NIL,1.27839433158337,103.856299289011
7,TEMASEK BOULEVARD,038987,EMBASSY OF THE KINGDOM OF SPAIN,1.29542540402342,103.858378559681
7,TEMASEK BOULEVARD,038987,SUNTEC TOWER ONE,1.29543569778908,103.858374825349
8,TEMASEK BOULEVARD,038988,EMBASSY OF THE REPUBLIC OF CHILE,1.29508403515588,103.859617505649
8,TEMASEK BOULEVARD,038988,EMBASSY OF THE STATE OF QATAR,1.29508403515588,103.859617505649
8,TEMASEK BOULEVARD,038988,HIGH COMMISSION OF THE REPUBLIC OF RWANDA,1.29512778965531,103.859545797162
8,TEMASEK BOULEVARD,038988,SUNTEC TOWER THREE,1.29524342627534,103.859568074944
48,PEKIN STREET,048778,AMOY HOTEL,1.28317011450092,103.848753557142
49,PEKIN STREET,048779,AMOY HOTEL,1.28317011450092,103.848753557142
52,PEKIN STREET,048782,AMOY HOTEL,1.28317011450092,103.848753557142
8B,CIRCULAR ROAD,049364,BOAT QUAY CONSERVATION AREA,1.28786603399491,103.849004959169
8A,CIRCULAR ROAD,049364,BOAT QUAY CONSERVATION AREA,1.28786603399491,103.849004959169
8,CIRCULAR ROAD,049364,BOAT QUAY CONSERVATION AREA,1.28786603426864,103.849004959713
14A,CIRCULAR ROAD,049370,BOAT QUAY CONSERVATION AREA,1.2875943708971,103.849014538745
14,CIRCULAR ROAD,049370,BOAT QUAY CONSERVATION AREA,1.28759436268169,103.849015090573
14B,CIRCULAR ROAD,049370,BOAT QUAY CONSERVATION AREA,1.2875943708971,103.849014538745
25,CHINA STREET,049567,FAR EAST SQUARE,1.28347631059091,103.847874757995
26,CHINA STREET,049568,FAR EAST SQUARE,1.28295937585708,103.847836670624
60,CECIL STREET,049709,ISCA HOUSE,1.28226112310587,103.849524714053
130,AMOY STREET,049959,FAR EAST SQUARE,1.28315769945694,103.848228946634
131,AMOY STREET,049960,FAR EAST SQUARE,1.28315769973068,103.848228946906
134,AMOY STREET,049963,FAR EAST SQUARE,1.28315769973068,103.848228946906
13,TEMPLE STREET,058561,KRETA AYER CONSERVATION AREA,1.28242234498139,103.84467470027
7,SMITH STREET,058921,NIL,1.28191267088174,103.844591879225
58B,SMITH STREET,058962,KRETA AYER CONSERVATION AREA,1.28291957993244,103.843370297183
58A,SMITH STREET,058962,KRETA AYER CONSERVATION AREA,1.28291957993244,103.843370297183
58,SMITH STREET,058962,KRETA AYER CONSERVATION AREA,1.28291957993244,103.843370297183
64,SMITH STREET,058965,YES CHINATOWN POINT HOTEL,1.28299209695303,103.843245630659
64B,SMITH STREET,058965,YES CHINATOWN POINT HOTEL,1.28299209695303,103.843245630387
64A,SMITH STREET,058965,YES CHINATOWN POINT HOTEL,1.28299209695303,103.843245630387
66A,SMITH STREET,058966,YES CHINATOWN POINT HOTEL,1.28301745272928,103.843204514385
66,SMITH STREET,058966,YES CHINATOWN POINT HOTEL,1.28301745245555,103.843204514113
