blk_no,street,postal_code,name,lat,lon
616,TELOK BLANGAH ROAD,109027,SPC TELOK BLANGAH,1.2717737825798,103.807090216509
28,JUBILEE ROAD,128576,NIL,1.30596715970789,103.767106745753
29C,JUBILEE ROAD,128581,NIL,1.30629086401594,103.766857622396
11,JALAN MAS PUTEH,128617,PASIR PANJANG GARDENS,1.30838235544567,103.761676843972
11A,JALAN MAS PUTEH,128617,PASIR PANJANG GARDENS,1.30838235544567,103.761676843972
1,FABER PARK,129092,FABER HILLS,1.32134478783903,103.758786380197
2,FABER PARK,129093,FABER HILLS,1.32097684010632,103.759048014431
4,FABER PARK,129095,FABER HILLS,1.32113218196844,103.759181809905
57,DAWSON ROAD,142057,DAWSON PLACE,1.29270339855062,103.810958956467
57,DAWSON ROAD,142057,SEEDLINGS MONTESSORI ALEXANDRA PTE LTD,1.2927033982769,103.810958960275
20,JALAN KLINIK,160020,NIL,1.28811451810467,103.829040334276
98A,HAVELOCK ROAD,161098,HAVELOCK HILLSIDE,1.2886000256343,103.830505948469
15,FARRER PARK ROAD,210015,FARRER PARK VIEW,1.31104346812009,103.851660614786
78,MERGUI ROAD,219054,NIL,1.31716737547633,103.852224507925
78,MERGUI ROAD,219054,CLYDES RESIDENCE,1.31734941207477,103.852212921601
61,MOHAMED SULTAN ROAD,239001,SULTAN-LINK,1.29195461064061,103.839607417498
22,MING TECK PARK,277389,MING TECK PARK,1.31903648634638,103.788063051772
8,EVELYN ROAD,309303,NIL,1.31600779746865,103.840736069742
82B,LORONG 4 TOA PAYOH,312082,NIL,1.33562239265484,103.848851474907
3,SAINT WILFRED ROAD,327920,NIL,1.32523298644982,103.861729832418
27,TANNERY LANE,347787,NIL,1.3288863558007,103.87601784661
85,MACPHERSON ROAD,348488,SENNETT ESTATE,1.32900382297316,103.871414065886
20,KEE CHOE AVENUE,348962,SENNETT ESTATE,1.33077518452069,103.873402965882
105,ONAN ROAD,424522,NIL,1.31408859206126,103.898416068033
121,ONAN ROAD,424533,NIL,1.31374952838966,103.898735443941
252,CARPMAEL ROAD,429963,NIL,1.30670672694454,103.902573392291
66,GOODMAN ROAD,439029,NIL,1.30456459863087,103.888939760176
161,MARINE PARADE,449527,NIL,1.30428037513604,103.906769348626
161,MARINE PARADE,449527,MARINE VILLE,1.30460442730697,103.906603298066
63A,SIGLAP ROAD,454997,FRANKEL ESTATE,1.31415570666216,103.922768845584
5,THIRD STREET,455487,EAST COAST PARK,1.31478006688487,103.924202308398
14,SIGLAP PLAIN,456003,FRANKEL ESTATE,1.31812150808492,103.91550040203
29,SIGLAP PLAIN,456018,FRANKEL ESTATE,1.31801617499064,103.916888584433
2,SIGLAP AVENUE,456286,FRANKEL ESTATE,1.31955775695392,103.915447422772
26,SIGLAP AVENUE,456303,FRANKEL ESTATE,1.31815419510018,103.917115368654
92D,UPPER EAST COAST ROAD,456322,NIL,1.31246869294702,103.928448180828
77,AIDA STREET,459983,OPERA ESTATE,1.32086182040572,103.926820915011
2A,BEDOK SOUTH AVENUE 1,462002,MULTI STOREY CAR PARK,1.32174864153475,103.933939224247
19,TANAH MERAH KECHIL RIDGE,465601,TANAH MERAH GREEN,1.33052363321937,103.945188430654
331,KEW CRESCENT,465954,KEW RESIDENCIA,1.31792804840322,103.948511823875
995B,BUANGKOK CRESCENT,532995,BUANGKOK TROPICA,1.386368520421,103.882829663803
412,UPPER PAYA LEBAR ROAD,534993,NIL,1.34999085463661,103.879970982912
12,POH HUAT ROAD,546707,NIL,1.36555607978512,103.884763588941
56,HILLSIDE DRIVE,549005,NIL,1.36011559176551,103.875332930282
21,FLORENCE ROAD,549482,FLORENCE GROVE,1.36251107015099,103.886287161641
103,GRACE WALK,554485,VERDANA VILLAS,1.35844371211658,103.86905772839
58,BROCKHAMPTON DRIVE,559106,SERANGOON GARDEN ESTATE,1.36137166521522,103.860914464481
20,JURONG WEST STREET 92,649000,JIN FU GONG TEMPLE,1.34101662020091,103.690499289121
102,GANGSA ROAD,670102,NIL,1.37910762831305,103.768153816778
7,TECK WHYE AVENUE,680007,TECK WHYE HEIGHTS I,1.38147444864872,103.754521535437
82,MENG SUAN ROAD,779302,NIL,1.40303493644019,103.814990493104
