Postal Code,Building Name,Full Address,Non-Residential,Date Added
39805,20 Raffles Avenue,"20 Raffles Avenue, Singapore 39805",False,15/02/2026
139685,5 Dover Lane,"5 Dover Lane, Singapore 139685",False,15/02/2026
150132,132 Bukit Merah View,"132 Bukit Merah View, Singapore 150132",False,15/02/2026
150138,138 Alexandra Road,"138 Alexandra Road, Singapore 150138",False,15/02/2026
150144,144 Redhill Close,"144 Redhill Close, Singapore 150144",False,15/02/2026
150145,145 Redhill Close,"145 Redhill Close, Singapore 150145",False,15/02/2026
151138,138A Alexandra Road,"138A Alexandra Road, Singapore 151138",False,15/02/2026
151144,144A Redhill Close,"144A Redhill Close, Singapore 151144",False,15/02/2026
151145,145A Redhill Close,"145A Redhill Close, Singapore 151145",False,15/02/2026
152138,138B Alexandra Road,"138B Alexandra Road, Singapore 152138",False,15/02/2026
152144,144B Redhill Close,"144B Redhill Close, Singapore 152144",False,15/02/2026
169738,21A Macalister Road,"21A Macalister Road, Singapore 169738",False,15/02/2026
259529,108 Dalvey Estate,"108 Dalvey Estate, Singapore 259529",False,15/02/2026
259902,9 Balmoral Crescent,"9 Balmoral Crescent, Singapore 259902",False,15/02/2026
259973,11 Balmoral Crescent,"11 Balmoral Crescent, Singapore 259973",False,15/02/2026
259974,13 Balmoral Crescent,"13 Balmoral Crescent, Singapore 259974",False,15/02/2026
268034,Shamrock Park,"25A Namly Rise Shamrock Park, Singapore 268034",True,15/02/2026
277828,Henry Park,"19A Mount Sinai Lane Henry Park, Singapore 277828",True,15/02/2026
279217,Chip Bee Gardens,"147A Holland Road Chip Bee Gardens, Singapore 279217",True,15/02/2026
299511,64 Kheam Hock Road,"64 Kheam Hock Road, Singapore 299511",False,15/02/2026
299989,18B Berrima Road,"18B Berrima Road, Singapore 299989",False,15/02/2026
349903,31 Belimbing Avenue,"31 Belimbing Avenue, Singapore 349903",False,15/02/2026
358656,11 Lynwood Grove,"11 Lynwood Grove, Singapore 358656",False,15/02/2026
359975,10A Clifton Vale,"10A Clifton Vale, Singapore 359975",False,15/02/2026
369572,Mount Vernon Funeral Parlour Complex,"2 Mount Vernon Lane Mount Vernon Funeral Parlour Complex, Singapore 369572",True,15/02/2026
389961,52A Aljunied Road,"52A Aljunied Road, Singapore 389961",False,15/02/2026
432031,31B Tanjong Rhu Close,"31B Tanjong Rhu Close, Singapore 432031",False,15/02/2026
438581,7 Meyer Place,"7 Meyer Place, Singapore 438581",False,15/02/2026
438582,9 Meyer Place,"9 Meyer Place, Singapore 438582",False,15/02/2026
438583,11 Meyer Place,"11 Meyer Place, Singapore 438583",False,15/02/2026
456537,East Coast Park,"38A Third Street East Coast Park, Singapore 456537",True,15/02/2026
458159,30 Frankel Avenue,"30 Frankel Avenue, Singapore 458159",False,15/02/2026
458685,23 Elliot Walk,"23 Elliot Walk, Singapore 458685",False,15/02/2026
459918,39A Aida Street,"39A Aida Street, Singapore 459918",False,15/02/2026
460810,Ping Yi Court,"810 Chai Chee Street Ping Yi Court, Singapore 460810",True,15/02/2026
460811,Ping Yi Court,"811 Chai Chee Street Ping Yi Court, Singapore 460811",True,15/02/2026
461810,Ping Yi Court,"810A Chai Chee Street Ping Yi Court, Singapore 461810",True,15/02/2026
461811,Ping Yi Court,"811A Chai Chee Street Ping Yi Court, Singapore 461811",True,15/02/2026
