Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,19964,59 Marina Coastal Drive,"59 Marina Coastal Drive, Singapore 19964",Residential,15/07/2025,,
New Building,119317,Lyndenwoods,"69 Science Park Drive Lyndenwoods, Singapore 119317",Non-Residential,15/07/2025,,
New Building,120437,437 Clementi Close,"437 Clementi Close, Singapore 120437",Residential,15/07/2025,,
New Building,120438,438 Clementi Close,"438 Clementi Close, Singapore 120438",Residential,15/07/2025,,
New Building,121437,437A Clementi Close,"437A Clementi Close, Singapore 121437",Residential,15/07/2025,,
New Building,121438,438A Clementi Close,"438A Clementi Close, Singapore 121438",Residential,15/07/2025,,
New Building,122437,437B Clementi C,"437B Clementi C, Singapore 122437",Residential,15/07/2025,,
New Building,122438,438B Clementi C,"438B Clementi C, Singapore 122438",Residential,15/07/2025,,
New Building,169564,1 Zion Promendade,"1 Zion Promendade, Singapore 169564",Residential,15/07/2025,,
New Building,218210,598 Serangoon Road,"598 Serangoon Road, Singapore 218210",Residential,15/07/2025,,
New Building,239637,11 River Valley Green,"11 River Valley Green, Singapore 239637",Residential,15/07/2025,,
New Building,259131,Ladyhill Park,"90 Fernhill Road Ladyhill Park, Singapore 259131",Non-Residential,15/07/2025,,
New Building,278529,Eden Park,"23A Maple Avenue Eden Park, Singapore 278529",Non-Residential,15/07/2025,,
New Building,279216,Ban Guan Park,"444 Holland Road Ban Guan Park, Singapore 279216",Non-Residential,15/07/2025,,
New Building,299061,Capitol Park (15),"15 Jalan Sejarah Capitol Park (15), Singapore 299061",Non-Residential,15/07/2025,,
New Building,299165,60A Kheam Hock Road,"60A Kheam Hock Road, Singapore 299165",Residential,15/07/2025,,
New Building,309651,10 Chancery Hill Road,"10 Chancery Hill Road, Singapore 309651",Residential,15/07/2025,,
New Building,309652,10A Chancery Hill Road,"10A Chancery Hill Road, Singapore 309652",Residential,15/07/2025,,
New Building,309738,16 Dyson Road,"16 Dyson Road, Singapore 309738",Residential,15/07/2025,,
New Building,309831,8A Chancery Hill Road,"8A Chancery Hill Road, Singapore 309831",Residential,15/07/2025,,
New Building,338779,231 Lavender Street,"231 Lavender Street, Singapore 338779",Residential,15/07/2025,,
New Building,338780,233 Lavender Street,"233 Lavender Street, Singapore 338780",Residential,15/07/2025,,
New Building,338781,235 Lavender Street,"235 Lavender Street, Singapore 338781",Residential,15/07/2025,,
New Building,367858,Bidadari Park Carpark,"115 Upper Aljunied Road Bidadari Park Carpark, Singapore 367858",Non-Residential,15/07/2025,,
