Metric,Value
Original Records,1229
Excluded Records (Under Construction/Temporary),412
Final Records After Processing,752
Residential Buildings,586
Non-Residential Buildings,166
Duplicate Records Removed,65
Exclusion Rate (%),33.52
Processing Date,15/10/2025
