Metric,Value
Original Records,391
Excluded Records (Under Construction/Temporary),22
Final Records After Processing,365
Residential Buildings,297
Non-Residential Buildings,68
Duplicate Records Removed,4
Exclusion Rate (%),5.63
Processing Date,15/02/2026
